Periods;Index/Production/Production (2021=100);Index/Production/Calender adjusted production (2021=100);Index/Production/Seasonally adjusted production  (2021=100);Year-on-year-change/Production/Production (%);Year-on-year-change/Production/Calender adjusted production (%);Change on previous period/Change seasonally adjusted production (%)
2005 January;    92.0;    90.8;    94.1;    -1.1;    -1.7;    -2.0
2005 February;    88.6;    89.1;    95.8;     1.6;     1.5;     1.8
2005 March;   102.8;    99.7;    95.3;    -0.8;     0.1;    -0.5
2005 April;    99.6;    95.8;    97.6;     3.0;     2.9;     2.4
2005 May;    96.6;    96.8;    96.2;     3.0;     1.1;    -1.4
2005 June;   100.0;   100.6;    98.3;     2.0;     2.3;     2.2
2005 July;    93.5;    97.0;    96.7;    -2.2;    -0.1;    -1.6
2005 August;    88.9;    91.2;    95.1;     2.7;     0.5;    -1.7
2005 September;    97.9;   100.2;    95.1;    -0.5;    -1.5;     0.0
2005 October;    96.9;    99.7;    93.3;    -2.3;    -2.7;    -1.9
2005 November;   104.2;   102.1;    97.5;     1.3;     1.2;     4.6
2005 December;   105.2;    99.8;    97.8;    -1.6;     0.9;     0.2
2006 January;    96.9;    94.6;    97.4;     5.4;     4.2;    -0.4
2006 February;    91.0;    91.6;    98.8;     2.7;     2.8;     1.4
2006 March;   110.4;   106.1;   101.6;     7.4;     6.4;     2.9
2006 April;    98.7;    97.8;   100.4;    -0.9;     2.1;    -1.2
2006 May;   101.1;    98.0;    97.4;     4.7;     1.2;    -3.0
2006 June;   101.2;   102.5;    99.7;     1.1;     1.9;     2.4
2006 July;    93.6;    98.0;    97.2;     0.2;     1.1;    -2.5
2006 August;    91.5;    92.8;    96.8;     2.9;     1.7;    -0.4
2006 September;    96.6;   100.6;    94.8;    -1.4;     0.4;    -2.0
2006 October;   100.7;   101.3;    94.8;     4.0;     1.6;     0.0
2006 November;   105.3;   102.8;    98.6;     1.0;     0.7;     4.0
2006 December;   102.8;   100.0;    99.2;    -2.3;     0.2;     0.6
2007 January;    96.1;    94.1;    98.9;    -0.9;    -0.6;    -0.3
2007 February;    90.2;    92.0;   100.2;    -0.9;     0.4;     1.2
2007 March;   104.8;   104.1;   100.2;    -5.1;    -2.0;     0.1
2007 April;    97.9;    97.3;    98.8;    -0.8;    -0.5;    -1.5
2007 May;   102.7;   100.8;    99.3;     1.7;     2.9;     0.5
2007 June;   103.5;   105.9;   101.5;     2.3;     3.3;     2.2
2007 July;    99.7;   102.5;   101.7;     6.5;     4.6;     0.2
2007 August;    97.4;    97.7;   102.0;     6.5;     5.3;     0.2
2007 September;   103.7;   108.3;   103.7;     7.4;     7.7;     1.7
2007 October;   114.2;   111.0;   104.3;    13.4;     9.5;     0.6
2007 November;   116.5;   112.1;   106.8;    10.7;     9.1;     2.4
2007 December;   112.1;   109.2;   106.4;     9.1;     9.1;    -0.4
2008 January;   101.0;   101.2;   102.3;     5.2;     7.5;    -3.8
2008 February;    96.4;    98.1;   104.1;     6.9;     6.6;     1.7
2008 March;   108.2;   111.2;   104.9;     3.3;     6.8;     0.8
2008 April;   111.7;   107.2;   110.6;    14.1;    10.2;     5.4
2008 May;   102.4;   100.9;   101.4;    -0.3;     0.1;    -8.3
2008 June;   104.6;   105.3;   102.8;     1.0;    -0.6;     1.4
2008 July;   101.7;   100.5;   102.8;     2.0;    -2.0;     0.0
2008 August;    93.1;    94.4;   101.4;    -4.5;    -3.4;    -1.4
2008 September;   107.4;   106.6;   104.2;     3.5;    -1.6;     2.8
2008 October;   113.1;   110.6;   104.4;    -1.0;    -0.4;     0.2
2008 November;   103.5;   105.7;    99.2;   -11.2;    -5.7;    -5.0
2008 December;   105.0;   101.2;    95.3;    -6.3;    -7.3;    -3.9
2009 January;    97.2;    98.9;    98.2;    -3.7;    -2.2;     3.0
2009 February;    86.8;    89.4;    94.4;   -10.0;    -8.9;    -3.8
2009 March;    97.0;    97.5;    92.6;   -10.4;   -12.3;    -1.9
2009 April;    89.2;    86.6;    89.2;   -20.2;   -19.2;    -3.7
2009 May;    92.1;    92.7;    93.9;   -10.0;    -8.2;     5.2
2009 June;    96.3;    96.0;    94.8;    -8.0;    -8.8;     1.0
2009 July;    96.4;    93.8;    96.9;    -5.2;    -6.7;     2.2
2009 August;    86.7;    88.7;    96.0;    -6.8;    -6.0;    -0.9
2009 September;    98.0;    97.7;    95.4;    -8.7;    -8.3;    -0.6
2009 October;   103.8;   102.7;    97.4;    -8.2;    -7.2;     2.1
2009 November;   103.4;   102.9;    97.0;    -0.1;    -2.7;    -0.4
2009 December;   109.5;   104.3;    98.1;     4.3;     3.0;     1.2
2010 January;   100.8;   103.4;   102.1;     3.7;     4.5;     4.1
2010 February;    93.2;    96.3;   100.8;     7.4;     7.7;    -1.3
2010 March;   108.6;   108.1;   102.5;    12.0;    10.9;     1.6
2010 April;   100.8;    98.7;   102.4;    13.0;    13.9;    -0.1
2010 May;   103.3;   104.1;   107.3;    12.1;    12.3;     4.8
2010 June;   104.0;   102.7;   100.9;     8.0;     7.0;    -5.9
2010 July;    98.5;    97.1;    99.5;     2.2;     3.6;    -1.4
2010 August;    93.5;    93.9;   101.8;     7.8;     5.9;     2.3
2010 September;   103.4;   102.9;   100.6;     5.5;     5.3;    -1.1
2010 October;   107.7;   108.8;   103.2;     3.8;     6.0;     2.6
2010 November;   112.8;   110.8;   104.4;     9.1;     7.6;     1.1
2010 December;   117.5;   111.6;   104.8;     7.3;     7.0;     0.4
2011 January;   101.4;   103.3;   103.3;     0.6;     0.0;    -1.4
2011 February;    95.2;    98.7;   104.3;     2.2;     2.6;     0.9
2011 March;   110.4;   109.7;   103.7;     1.6;     1.5;    -0.5
2011 April;    99.1;    97.6;   100.4;    -1.7;    -1.1;    -3.2
2011 May;   106.1;   100.8;   101.7;     2.8;    -3.1;     1.3
2011 June;   101.3;   103.5;   101.0;    -2.6;     0.8;    -0.7
2011 July;   100.2;   101.0;   103.5;     1.8;     4.0;     2.5
2011 August;    97.7;    96.1;   103.8;     4.5;     2.3;     0.2
2011 September;   105.7;   104.4;   101.8;     2.2;     1.5;    -1.9
2011 October;   104.8;   105.8;    99.9;    -2.7;    -2.7;    -1.9
2011 November;   108.4;   106.4;   100.2;    -3.9;    -3.9;     0.3
2011 December;   107.4;   104.7;   100.1;    -8.5;    -6.2;    -0.1
2012 January;    98.4;    99.4;   100.5;    -3.0;    -3.8;     0.4
2012 February;   100.4;   101.0;   104.4;     5.5;     2.3;     3.9
2012 March;   104.8;   106.7;   101.4;    -5.1;    -2.7;    -2.9
2012 April;   102.2;   101.4;   104.3;     3.2;     3.8;     2.9
2012 May;   105.1;   101.2;   103.0;    -1.0;     0.4;    -1.2
2012 June;   103.9;   104.7;   102.9;     2.6;     1.2;    -0.1
2012 July;    98.9;    97.4;    99.4;    -1.3;    -3.6;    -3.4
2012 August;    96.7;    94.3;   100.9;    -1.0;    -1.8;     1.5
2012 September;   100.5;   102.5;   100.1;    -5.0;    -1.9;    -0.8
2012 October;   108.5;   105.5;   100.0;     3.5;    -0.3;    -0.1
2012 November;   109.3;   107.4;   101.3;     0.9;     0.9;     1.3
2012 December;   103.3;   104.9;   100.2;    -3.8;     0.2;    -1.1
2013 January;   101.8;   101.3;   101.8;     3.4;     1.9;     1.6
2013 February;    96.1;    98.7;   102.8;    -4.3;    -2.3;     0.9
2013 March;   110.0;   112.4;   104.7;     5.0;     5.3;     1.9
2013 April;   103.9;   102.0;   104.8;     1.6;     0.7;     0.1
2013 May;   106.7;   102.9;   104.6;     1.5;     1.6;    -0.2
2013 June;    99.6;   102.2;   100.7;    -4.1;    -2.4;    -3.7
2013 July;    98.7;    95.6;    98.4;    -0.2;    -1.8;    -2.3
2013 August;    94.4;    93.3;   100.7;    -2.4;    -1.1;     2.4
2013 September;   103.5;   103.6;   102.4;     3.1;     1.1;     1.6
2013 October;   107.6;   104.7;    99.9;    -0.8;    -0.7;    -2.5
2013 November;   109.5;   109.3;   102.6;     0.1;     1.8;     2.7
2013 December;   106.6;   106.2;   101.3;     3.1;     1.3;    -1.3
2014 January;    97.3;    97.1;    98.7;    -4.4;    -4.1;    -2.5
2014 February;    89.2;    92.0;    97.8;    -7.2;    -6.8;    -0.9
2014 March;    99.8;   102.0;    96.5;    -9.3;    -9.2;    -1.4
2014 April;   102.5;    99.9;   101.6;    -1.3;    -2.1;     5.4
2014 May;   104.3;   101.0;   101.3;    -2.3;    -1.8;    -0.4
2014 June;    98.9;   100.7;    99.6;    -0.7;    -1.4;    -1.7
2014 July;   100.3;    98.2;   100.2;     1.6;     2.7;     0.7
2014 August;    93.0;    94.1;   100.6;    -1.4;     0.9;     0.4
2014 September;   103.4;   102.2;    98.9;    -0.1;    -1.4;    -1.7
2014 October;   105.8;   103.3;    97.9;    -1.7;    -1.4;    -1.1
2014 November;   102.9;   105.1;    98.4;    -6.0;    -3.8;     0.5
2014 December;   107.3;   103.8;    98.4;     0.6;    -2.3;     0.0
2015 January;    97.9;    98.2;   100.5;     0.7;     1.1;     0.9
2015 February;    94.1;    94.4;   101.1;     5.5;     2.6;     0.6
2015 March;   101.3;   100.9;    98.5;     1.5;    -1.1;    -2.6
2015 April;    94.3;    93.5;    96.2;    -8.0;    -6.4;    -2.2
2015 May;    92.9;    95.2;    95.6;   -10.9;    -5.7;    -0.6
2015 June;   101.0;    98.8;    98.3;     2.1;    -1.9;     2.8
2015 July;    96.8;    94.7;    98.2;    -3.5;    -3.5;    -0.2
2015 August;    85.2;    86.9;    94.7;    -8.4;    -7.6;    -3.5
2015 September;    98.7;    97.3;    96.3;    -4.5;    -4.8;     1.6
2015 October;   101.3;   101.2;    98.6;    -4.2;    -2.0;     2.4
2015 November;   101.0;   101.4;    98.7;    -1.9;    -3.6;     0.2
2015 December;    98.6;    96.1;    96.1;    -8.1;    -7.4;    -2.6
2016 January;    93.9;    95.9;    98.3;    -4.1;    -2.3;     2.3
2016 February;    96.2;    93.3;    99.1;     2.2;    -1.2;     0.8
2016 March;   103.9;   103.1;   100.2;     2.6;     2.2;     1.0
2016 April;    98.2;    97.8;    99.8;     4.1;     4.6;    -0.4
2016 May;    97.0;    97.5;    98.0;     4.3;     2.3;    -1.8
2016 June;   102.7;   100.5;    99.6;     1.7;     1.7;     1.6
2016 July;    93.7;    94.6;    98.1;    -3.2;    -0.2;    -1.5
2016 August;    89.6;    88.5;    97.1;     5.2;     1.9;    -1.1
2016 September;    98.8;    97.4;    97.0;     0.1;     0.1;    -0.1
2016 October;    98.0;    99.8;    98.1;    -3.3;    -1.4;     1.1
2016 November;   104.8;   103.2;   100.6;     3.8;     1.8;     2.6
2016 December;   102.4;   101.7;   101.5;     3.9;     5.8;     0.9
2017 January;    97.0;    95.9;    98.8;     3.3;     0.0;    -2.7
2017 February;    96.2;    96.6;   101.5;     0.1;     3.5;     2.7
2017 March;   106.5;   104.1;   100.5;     2.5;     1.0;    -1.0
2017 April;    93.7;    96.6;    98.9;    -4.6;    -1.3;    -1.5
2017 May;   100.8;    97.9;    99.0;     3.9;     0.4;     0.1
2017 June;   101.7;   101.0;   100.2;    -0.9;     0.5;     1.2
2017 July;    94.3;    95.4;    99.4;     0.6;     0.8;    -0.8
2017 August;    91.4;    90.1;    99.3;     2.0;     1.8;    -0.1
2017 September;    99.8;   100.2;   100.1;     1.0;     2.9;     0.8
2017 October;   103.9;   103.7;   101.6;     5.9;     3.9;     1.6
