"Periods";"Consumer confidence (average balance of the subquestions)";"Economic climate (average balance of the subquestions)"
"1986 April";"       2";"       6"
"1986 May";"       8";"      17"
"1986 June";"      15";"      33"
"1986 July";"      20";"      45"
"1986 August";"      21";"      47"
"1986 September";"      21";"      45"
"1986 October";"      21";"      45"
"1986 November";"      21";"      44"
"1986 December";"      20";"      43"
"1987 January";"      22";"      45"
"1987 February";"      23";"      45"
"1987 March";"      22";"      43"
"1987 April";"      10";"      15"
"1987 May";"       1";"      -2"
"1987 June";"      -2";"     -10"
"1987 July";"      -3";"     -13"
"1987 August";"       2";"      -3"
"1987 September";"      11";"      19"
"1987 October";"       6";"       9"
"1987 November";"       4";"       4"
"1987 December";"       1";"      -2"
"1988 January";"      -3";"     -13"
"1988 February";"      -3";"     -14"
"1988 March";"       1";"      -8"
"1988 April";"       5";"       2"
"1988 May";"       6";"       4"
"1988 June";"       6";"       4"
"1988 July";"       9";"      10"
"1988 August";"      15";"      20"
"1988 September";"      13";"      16"
"1988 October";"      14";"      22"
"1988 November";"      18";"      29"
"1988 December";"      18";"      32"
"1989 January";"      20";"      34"
"1989 February";"      18";"      31"
"1989 March";"      20";"      33"
"1989 April";"      20";"      32"
"1989 May";"      17";"      26"
"1989 June";"      19";"      28"
"1989 July";"      23";"      35"
"1989 August";"      23";"      34"
"1989 September";"      23";"      34"
"1989 October";"      24";"      35"
"1989 November";"      25";"      36"
"1989 December";"      24";"      34"
"1990 January";"      23";"      34"
"1990 February";"      19";"      26"
"1990 March";"      19";"      26"
"1990 April";"      18";"      22"
"1990 May";"      16";"      17"
"1990 June";"      15";"      14"
"1990 July";"      15";"      13"
"1990 August";"      15";"      10"
"1990 September";"       9";"      -4"
"1990 October";"       2";"     -17"
"1990 November";"      -5";"     -31"
"1990 December";"      -6";"     -32"
"1991 January";"      -7";"     -32"
"1991 February";"     -11";"     -38"
"1991 March";"      -7";"     -27"
"1991 April";"      -8";"     -28"
"1991 May";"      -5";"     -23"
"1991 June";"      -4";"     -23"
"1991 July";"      -7";"     -27"
"1991 August";"      -9";"     -30"
"1991 September";"     -11";"     -34"
"1991 October";"     -15";"     -41"
"1991 November";"     -14";"     -41"
"1991 December";"     -12";"     -38"
"1992 January";"     -12";"     -38"
"1992 February";"     -14";"     -40"
"1992 March";"     -14";"     -39"
"1992 April";"     -14";"     -38"
"1992 May";"     -12";"     -35"
"1992 June";"      -7";"     -27"
"1992 July";"      -3";"     -18"
"1992 August";"      -2";"     -18"
"1992 September";"      -3";"     -21"
"1992 October";"      -5";"     -25"
"1992 November";"     -10";"     -37"
"1992 December";"     -16";"     -48"
"1993 January";"     -17";"     -47"
"1993 February";"     -20";"     -53"
"1993 March";"     -24";"     -62"
"1993 April";"     -24";"     -60"
"1993 May";"     -23";"     -55"
"1993 June";"     -22";"     -53"
"1993 July";"     -22";"     -53"
"1993 August";"     -17";"     -45"
"1993 September";"     -13";"     -35"
"1993 October";"     -17";"     -39"
"1993 November";"     -14";"     -34"
"1993 December";"     -16";"     -38"
