"Jaar","Commercial services (%)","Non-commercial services (%)","Goods sector (%)"
"1950","33.8","15.4","50.8"
"1951","34.2","15.1","50.7"
"1952","33.4","15.1","51.5"
"1953","32.9","15.1","52.0"
"1954","33.0","15.5","51.5"
"1955","33.8","15.7","50.6"
"1956","34.3","15.8","49.9"
"1957","33.7","16.3","50.0"
"1958","33.0","16.8","50.2"
"1959","33.1","16.5","50.4"
"1960","32.9","16.3","50.8"
"1961","33.4","16.8","49.8"
"1962","33.9","17.5","48.6"
"1963","34.3","17.9","47.8"
"1964","33.7","18.3","48.0"
"1965","33.6","18.7","47.7"
"1966","33.3","19.4","47.3"
"1967","33.5","19.8","46.6"
"1968","33.5","19.8","46.7"
"1969","36.7","20.6","42.7"
"1970","37.2","21.0","41.8"
"1971","37.2","21.9","40.9"
"1972","37.0","22.7","40.3"
"1973","37.6","22.9","39.6"
"1974","36.8","23.3","39.9"
"1975","37.2","25.1","37.7"
"1976","37.1","25.1","37.8"
"1977","38.2","25.7","36.1"
"1978","39.2","26.0","34.8"
"1979","39.1","26.4","34.6"
"1980","38.9","26.2","34.9"
"1981","38.4","25.9","35.7"
"1982","39.1","26.2","34.7"
"1983","40.3","25.7","34.0"
"1984","40.5","24.3","35.2"
"1985","40.7","23.9","35.4"
"1986","42.9","23.8","33.2"
"1987","43.8","24.4","31.9"
"1988","44.2","23.8","32.0"
"1989","44.7","23.0","32.2"
"1990","45.0","22.9","32.1"
"1991","45.8","22.7","31.5"
"1992","46.6","23.0","30.4"
"1993","47.3","23.4","29.4"
"1994","48.2","22.8","29.1"
"1995","48.5","22.3","29.1"
"1996","49.6","21.8","28.6"
"1997","50.9","21.4","27.7"
"1998","52.1","21.0","26.9"
"1999","53.0","20.9","26.0"
"2000","53.3","20.6","26.1"
"2001","52.5","21.1","26.4"
"2002","52.5","22.2","25.3"
"2003","52.3","22.9","24.8"
"2004","52.5","23.0","24.5"
"2005","52.4","22.7","24.9"
"2006","52.5","22.2","25.2"
"2007","53.2","21.8","25.0"
"2008","52.7","22.1","25.2"
"2009","52.3","24.1","23.6"
"2010","52.4","24.4","23.2"
"2011","52.4","24.3","23.3"
"2012","52.1","24.6","23.3"
"2013","52.4","24.7","22.8"
"2014","53.7","24.6","21.7"
"2015","54.5","24.1","21.4"
"2016","54.9","24.1","21.0"
"2017","55.0","23.7","21.3"
"2018","55.0","23.6","21.4"
"2019","55.2","23.6","21.2"
"2020","54.7","23.8","21.5"
"2021","54.8","23.4","21.8"
"2022","54.6","22.7","22.7"
"2023","54.5","22.8","22.7"
"Note: The data on previous years is based on different methods; there are methodological breaks in 1995 and 1969."
