pair,horizon,n,m_overlap,nw_truncation,dm_abs,p_abs,dm_sq,p_sq,p_bootstrap,d_ac1,d_ac_max_to_m,d_mean_half1,d_mean_half2,p_abs_holm_within,p_abs_holm_joint,p_abs_hochberg_within,p_abs_hochberg_joint,p_abs_bh_within,p_abs_bh_joint,p_sq_holm_within,p_sq_holm_joint,p_sq_hochberg_within,p_sq_hochberg_joint,p_sq_bh_within,p_sq_bh_joint
OLS-All vs Filter,1,50,1,0,0.0934,0.9259,-0.1984,0.8435,0.9256,-0.241,0.241,7.1,-6.0,0.9259,1.0,0.9259,0.9317,0.9259,0.9317,1.0,1.0,0.8435,0.8935,0.8435,0.8641
OLS-All vs Filter,3,50,1,0,-1.1507,0.2554,-0.2925,0.7712,0.2544,-0.009,0.009,3.7,-22.4,0.866,1.0,0.567,0.9317,0.3402,0.4903,1.0,1.0,0.8435,0.8935,0.8435,0.8144
OLS-All vs Filter,7,50,1,0,-1.0845,0.2835,-0.4213,0.6754,0.2842,-0.038,0.038,7.1,-37.3,0.866,1.0,0.567,0.9317,0.3402,0.4989,1.0,1.0,0.8435,0.8935,0.8435,0.788
OLS-All vs Filter,30,50,2,1,1.4388,0.1566,1.7965,0.0786,0.1666,0.371,0.371,69.7,2.4,0.783,1.0,0.567,0.9317,0.3402,0.4323,0.4716,1.0,0.4716,0.8935,0.3092,0.413
OLS-All vs Filter,90,50,6,5,1.6293,0.1097,1.4691,0.1482,0.1474,0.459,0.459,107.6,27.4,0.6582,1.0,0.567,0.9317,0.3402,0.4323,0.741,1.0,0.6184,0.8935,0.3092,0.413
OLS-All vs Filter,180,50,12,11,1.2519,0.2165,1.4459,0.1546,0.3086,0.555,0.594,123.8,12.8,0.866,1.0,0.567,0.9317,0.3402,0.4786,0.741,1.0,0.6184,0.8935,0.3092,0.413
OLS-All vs Ridge,1,50,1,0,2.0612,0.0446,2.0589,0.0448,0.0416,0.253,0.253,18.0,3.9,0.2676,1.0,0.2676,0.9317,0.247,0.4323,0.224,1.0,0.224,0.8935,0.1284,0.413
OLS-All vs Ridge,3,50,1,0,0.4996,0.6196,0.5594,0.5785,0.6208,-0.058,0.058,7.7,-1.9,0.6196,1.0,0.6196,0.9317,0.6196,0.7229,0.5785,1.0,0.5785,0.8935,0.5785,0.7146
OLS-All vs Ridge,7,50,1,0,1.2119,0.2314,1.687,0.098,0.226,-0.161,0.161,11.8,6.1,0.5252,1.0,0.4628,0.9317,0.2777,0.4859,0.294,1.0,0.294,0.8935,0.147,0.413
OLS-All vs Ridge,30,50,2,1,1.6912,0.0971,2.2714,0.0276,0.0972,0.223,0.223,43.1,-9.7,0.4855,1.0,0.4628,0.9317,0.247,0.4323,0.1656,1.0,0.1656,0.8935,0.1284,0.413
OLS-All vs Ridge,90,50,6,5,1.4105,0.1647,1.3912,0.1705,0.203,0.396,0.396,41.1,1.6,0.5252,1.0,0.4628,0.9317,0.247,0.4323,0.341,1.0,0.341,0.8935,0.2046,0.413
OLS-All vs Ridge,180,50,12,11,1.5345,0.1313,1.8936,0.0642,0.2126,0.427,0.427,29.2,9.8,0.5252,1.0,0.4628,0.9317,0.247,0.4323,0.2568,1.0,0.2568,0.8935,0.1284,0.413
Filter vs Ridge,1,50,1,0,1.4692,0.1482,1.6875,0.0979,0.1424,-0.154,0.154,10.9,9.9,0.6015,1.0,0.3016,0.9317,0.2223,0.4323,0.4895,1.0,0.3931,0.8935,0.2936,0.413
Filter vs Ridge,3,50,1,0,1.5402,0.1299,0.8616,0.3931,0.1358,-0.017,0.017,4.0,20.5,0.6015,1.0,0.3016,0.9317,0.2223,0.4323,0.6168,1.0,0.3931,0.8935,0.3931,0.5376
