,date,Electricity_price_households,Electricity_price_non_households
0,2009-01-01,0.198,0.132
1,2009-01-02,0.198,0.132
2,2009-01-03,0.198,0.132
3,2009-01-04,0.198,0.132
4,2009-01-05,0.198,0.132
5,2009-01-06,0.198,0.132
6,2009-01-07,0.198,0.132
7,2009-01-08,0.198,0.132
8,2009-01-09,0.198,0.132
9,2009-01-10,0.198,0.132
10,2009-01-11,0.198,0.132
11,2009-01-12,0.198,0.132
12,2009-01-13,0.198,0.132
13,2009-01-14,0.198,0.132
14,2009-01-15,0.198,0.132
15,2009-01-16,0.198,0.132
16,2009-01-17,0.198,0.132
17,2009-01-18,0.198,0.132
18,2009-01-19,0.198,0.132
19,2009-01-20,0.198,0.132
20,2009-01-21,0.198,0.132
21,2009-01-22,0.198,0.132
22,2009-01-23,0.198,0.132
23,2009-01-24,0.198,0.132
24,2009-01-25,0.198,0.132
25,2009-01-26,0.198,0.132
26,2009-01-27,0.198,0.132
27,2009-01-28,0.198,0.132
28,2009-01-29,0.198,0.132
29,2009-01-30,0.198,0.132
30,2009-01-31,0.198,0.132
31,2009-02-01,0.198,0.132
32,2009-02-02,0.198,0.132
33,2009-02-03,0.198,0.132
34,2009-02-04,0.198,0.132
35,2009-02-05,0.198,0.132
36,2009-02-06,0.198,0.132
37,2009-02-07,0.198,0.132
38,2009-02-08,0.198,0.132
39,2009-02-09,0.198,0.132
40,2009-02-10,0.198,0.132
41,2009-02-11,0.198,0.132
42,2009-02-12,0.198,0.132
43,2009-02-13,0.198,0.132
44,2009-02-14,0.198,0.132
45,2009-02-15,0.198,0.132
46,2009-02-16,0.198,0.132
47,2009-02-17,0.198,0.132
48,2009-02-18,0.198,0.132
49,2009-02-19,0.198,0.132
50,2009-02-20,0.198,0.132
51,2009-02-21,0.198,0.132
52,2009-02-22,0.198,0.132
53,2009-02-23,0.198,0.132
54,2009-02-24,0.198,0.132
55,2009-02-25,0.198,0.132
56,2009-02-26,0.198,0.132
57,2009-02-27,0.198,0.132
58,2009-02-28,0.198,0.132
59,2009-03-01,0.198,0.132
60,2009-03-02,0.198,0.132
61,2009-03-03,0.198,0.132
62,2009-03-04,0.198,0.132
63,2009-03-05,0.198,0.132
64,2009-03-06,0.198,0.132
65,2009-03-07,0.198,0.132
66,2009-03-08,0.198,0.132
67,2009-03-09,0.198,0.132
68,2009-03-10,0.198,0.132
69,2009-03-11,0.198,0.132
70,2009-03-12,0.198,0.132
71,2009-03-13,0.198,0.132
72,2009-03-14,0.198,0.132
73,2009-03-15,0.198,0.132
74,2009-03-16,0.198,0.132
75,2009-03-17,0.198,0.132
76,2009-03-18,0.198,0.132
77,2009-03-19,0.198,0.132
78,2009-03-20,0.198,0.132
79,2009-03-21,0.198,0.132
80,2009-03-22,0.198,0.132
81,2009-03-23,0.198,0.132
82,2009-03-24,0.198,0.132
83,2009-03-25,0.198,0.132
84,2009-03-26,0.198,0.132
85,2009-03-27,0.198,0.132
86,2009-03-28,0.198,0.132
87,2009-03-29,0.198,0.132
88,2009-03-30,0.198,0.132
89,2009-03-31,0.198,0.132
90,2009-04-01,0.198,0.132
91,2009-04-02,0.198,0.132
92,2009-04-03,0.198,0.132
93,2009-04-04,0.198,0.132
94,2009-04-05,0.198,0.132
95,2009-04-06,0.198,0.132
96,2009-04-07,0.198,0.132
97,2009-04-08,0.198,0.132
98,2009-04-09,0.198,0.132
99,2009-04-10,0.198,0.132
100,2009-04-11,0.198,0.132
101,2009-04-12,0.198,0.132
102,2009-04-13,0.198,0.132
103,2009-04-14,0.198,0.132
104,2009-04-15,0.198,0.132
105,2009-04-16,0.198,0.132
106,2009-04-17,0.198,0.132
107,2009-04-18,0.198,0.132
108,2009-04-19,0.198,0.132
109,2009-04-20,0.198,0.132
110,2009-04-21,0.198,0.132
111,2009-04-22,0.198,0.132
112,2009-04-23,0.198,0.132
113,2009-04-24,0.198,0.132
114,2009-04-25,0.198,0.132
115,2009-04-26,0.198,0.132
116,2009-04-27,0.198,0.132
117,2009-04-28,0.198,0.132
118,2009-04-29,0.198,0.132
119,2009-04-30,0.198,0.132
120,2009-05-01,0.198,0.132
121,2009-05-02,0.198,0.132
122,2009-05-03,0.198,0.132
123,2009-05-04,0.198,0.132
124,2009-05-05,0.198,0.132
125,2009-05-06,0.198,0.132
126,2009-05-07,0.198,0.132
127,2009-05-08,0.198,0.132
128,2009-05-09,0.198,0.132
129,2009-05-10,0.198,0.132
130,2009-05-11,0.198,0.132
131,2009-05-12,0.198,0.132
132,2009-05-13,0.198,0.132
133,2009-05-14,0.198,0.132
134,2009-05-15,0.198,0.132
135,2009-05-16,0.198,0.132
136,2009-05-17,0.198,0.132
137,2009-05-18,0.198,0.132
138,2009-05-19,0.198,0.132
139,2009-05-20,0.198,0.132
140,2009-05-21,0.198,0.132
141,2009-05-22,0.198,0.132
142,2009-05-23,0.198,0.132
143,2009-05-24,0.198,0.132
144,2009-05-25,0.198,0.132
145,2009-05-26,0.198,0.132
146,2009-05-27,0.198,0.132
147,2009-05-28,0.198,0.132
148,2009-05-29,0.198,0.132
149,2009-05-30,0.198,0.132
150,2009-05-31,0.198,0.132
151,2009-06-01,0.198,0.132
152,2009-06-02,0.198,0.132
153,2009-06-03,0.198,0.132
154,2009-06-04,0.198,0.132
155,2009-06-05,0.198,0.132
156,2009-06-06,0.198,0.132
157,2009-06-07,0.198,0.132
158,2009-06-08,0.198,0.132
159,2009-06-09,0.198,0.132
160,2009-06-10,0.198,0.132
161,2009-06-11,0.198,0.132
162,2009-06-12,0.198,0.132
163,2009-06-13,0.198,0.132
164,2009-06-14,0.198,0.132
165,2009-06-15,0.198,0.132
166,2009-06-16,0.198,0.132
167,2009-06-17,0.198,0.132
168,2009-06-18,0.198,0.132
169,2009-06-19,0.198,0.132
170,2009-06-20,0.198,0.132
171,2009-06-21,0.198,0.132
172,2009-06-22,0.198,0.132
173,2009-06-23,0.198,0.132
174,2009-06-24,0.198,0.132
175,2009-06-25,0.198,0.132
176,2009-06-26,0.198,0.132
177,2009-06-27,0.198,0.132
178,2009-06-28,0.198,0.132
179,2009-06-29,0.198,0.132
180,2009-06-30,0.198,0.132
181,2009-07-01,0.19,0.127
182,2009-07-02,0.19,0.127
183,2009-07-03,0.19,0.127
184,2009-07-04,0.19,0.127
185,2009-07-05,0.19,0.127
186,2009-07-06,0.19,0.127
187,2009-07-07,0.19,0.127
188,2009-07-08,0.19,0.127
189,2009-07-09,0.19,0.127
190,2009-07-10,0.19,0.127
191,2009-07-11,0.19,0.127
192,2009-07-12,0.19,0.127
193,2009-07-13,0.19,0.127
194,2009-07-14,0.19,0.127
195,2009-07-15,0.19,0.127
196,2009-07-16,0.19,0.127
197,2009-07-17,0.19,0.127
198,2009-07-18,0.19,0.127
199,2009-07-19,0.19,0.127
200,2009-07-20,0.19,0.127
201,2009-07-21,0.19,0.127
202,2009-07-22,0.19,0.127
203,2009-07-23,0.19,0.127
204,2009-07-24,0.19,0.127
205,2009-07-25,0.19,0.127
206,2009-07-26,0.19,0.127
207,2009-07-27,0.19,0.127
208,2009-07-28,0.19,0.127
209,2009-07-29,0.19,0.127
210,2009-07-30,0.19,0.127
211,2009-07-31,0.19,0.127
212,2009-08-01,0.19,0.127
213,2009-08-02,0.19,0.127
214,2009-08-03,0.19,0.127
215,2009-08-04,0.19,0.127
216,2009-08-05,0.19,0.127
217,2009-08-06,0.19,0.127
218,2009-08-07,0.19,0.127
219,2009-08-08,0.19,0.127
220,2009-08-09,0.19,0.127
221,2009-08-10,0.19,0.127
222,2009-08-11,0.19,0.127
223,2009-08-12,0.19,0.127
224,2009-08-13,0.19,0.127
225,2009-08-14,0.19,0.127
226,2009-08-15,0.19,0.127
227,2009-08-16,0.19,0.127
228,2009-08-17,0.19,0.127
229,2009-08-18,0.19,0.127
