Periods;Indices/Volume/Original (2021=100);Indices/Volume/Working day adjusted (2021=100)
1995 January;    33.4;    33.0
1995 February;    31.5;    31.7
1995 March;    37.2;    36.3
1995 April;    33.5;    34.3
1995 May;    33.3;    32.2
1995 June;    34.2;    34.0
1995 July;    29.1;    30.0
1995 August;    29.8;    29.2
1995 September;    34.2;    34.6
1995 October;    30.9;    31.0
1995 November;    33.7;    33.2
1995 December;    30.9;    32.2
1996 January;    34.6;    34.1
1996 February;    34.2;    33.3
1996 March;    37.4;    38.5
1996 April;    32.7;    32.5
1996 May;    33.1;    32.7
1996 June;    33.8;    34.8
1996 July;    33.1;    32.4
1996 August;    30.5;    30.7
1996 September;    34.1;    34.5
1996 October;    33.4;    32.6
1996 November;    34.0;    34.4
1996 December;    33.4;    33.9
1997 January;    36.3;    35.7
1997 February;    36.1;    36.4
1997 March;    38.1;    40.0
1997 April;    38.1;    37.1
1997 May;    35.3;    35.7
1997 June;    37.7;    37.7
1997 July;    36.4;    35.6
1997 August;    32.7;    33.7
1997 September;    39.0;    38.4
1997 October;    37.4;    36.6
1997 November;    36.4;    37.8
1997 December;    36.8;    36.4
1998 January;    37.4;    37.7
1998 February;    38.3;    38.5
1998 March;    43.2;    43.3
1998 April;    39.9;    39.6
1998 May;    37.5;    38.2
1998 June;    40.5;    40.3
1998 July;    39.5;    38.7
1998 August;    33.9;    34.9
1998 September;    41.1;    40.5
1998 October;    39.5;    39.7
1998 November;    40.0;    40.4
1998 December;    39.8;    38.6
1999 January;    39.5;    40.9
1999 February;    40.0;    40.2
1999 March;    48.7;    47.5
1999 April;    43.0;    42.6
1999 May;    40.2;    41.8
1999 June;    44.6;    43.6
1999 July;    41.0;    41.2
1999 August;    37.8;    38.0
1999 September;    44.7;    44.0
1999 October;    42.5;    43.8
1999 November;    45.3;    44.6
1999 December;    44.4;    42.2
2000 January;    43.9;    44.6
2000 February;    47.7;    46.5
2000 March;    54.9;    53.5
2000 April;    46.3;    47.5
2000 May;    50.3;    47.7
2000 June;    48.0;    48.8
2000 July;    45.9;    47.2
2000 August;    46.6;    45.6
2000 September;    49.3;    49.9
2000 October;    49.1;    49.2
2000 November;    52.6;    51.9
2000 December;    48.4;    50.4
2001 January;    50.3;    49.5
2001 February;    48.6;    48.9
2001 March;    56.2;    56.3
2001 April;    48.0;    48.9
2001 May;    49.9;    48.3
2001 June;    50.1;    51.2
2001 July;    47.5;    47.7
2001 August;    46.4;    45.3
2001 September;    47.9;    49.7
2001 October;    48.4;    47.3
2001 November;    48.8;    48.1
2001 December;    45.5;    47.4
2002 January;    47.2;    46.4
2002 February;    47.6;    48.0
2002 March;    54.9;    56.5
2002 April;    49.2;    48.9
2002 May;    49.1;    48.5
2002 June;    49.5;    50.9
2002 July;    48.9;    47.8
2002 August;    45.5;    45.7
2002 September;    50.4;    50.9
2002 October;    50.0;    48.9
2002 November;    50.2;    50.8
2002 December;    47.3;    48.0
2003 January;    50.5;    49.6
2003 February;    49.5;    49.9
2003 March;    55.1;    56.7
2003 April;    50.6;    50.3
2003 May;    49.3;    49.0
2003 June;    49.6;    50.7
2003 July;    49.8;    48.7
2003 August;    43.9;    45.2
2003 September;    53.0;    52.3
2003 October;    52.9;    51.8
2003 November;    50.6;    52.5
2003 December;    50.1;    49.5
2004 January;    50.3;    50.8
2004 February;    51.0;    51.0
2004 March;    61.0;    59.5
2004 April;    55.8;    55.4
2004 May;    51.8;    53.8
2004 June;    58.8;    57.4
2004 July;    55.5;    55.7
2004 August;    51.4;    51.6
2004 September;    59.0;    58.2
2004 October;    55.8;    57.5
2004 November;    58.9;    58.0
2004 December;    57.0;    54.2
2005 January;    55.0;    55.9
2005 February;    55.1;    55.4
2005 March;    63.7;    63.4
2005 April;    61.1;    59.9
2005 May;    56.7;    57.5
2005 June;    60.5;    59.1
2005 July;    56.7;    58.5
2005 August;    56.1;    54.9
2005 September;    62.1;    61.2
2005 October;    58.1;    59.9
2005 November;    62.3;    61.4
2005 December;    59.0;    58.8
2006 January;    59.4;    58.8
2006 February;    59.2;    59.5
2006 March;    72.1;    70.3
2006 April;    62.7;    64.2
2006 May;    63.7;    61.6
2006 June;    66.3;    66.0
2006 July;    59.8;    61.6
2006 August;    61.4;    60.0
2006 September;    65.9;    66.6
2006 October;    64.0;    64.3
2006 November;    68.1;    67.1
2006 December;    62.1;    64.7
2007 January;    63.7;    62.6
2007 February;    62.5;    62.9
2007 March;    73.7;    73.9
2007 April;    65.0;    66.2
2007 May;    65.9;    65.1
2007 June;    68.9;    69.0
2007 July;    66.0;    66.2
2007 August;    65.2;    63.7
2007 September;    67.7;    70.3
2007 October;    69.2;    67.7
2007 November;    73.0;    71.9
2007 December;    63.0;    65.7
2008 January;    69.1;    67.9
2008 February;    68.8;    67.0
2008 March;    71.6;    75.0
2008 April;    72.0;    70.1
2008 May;    65.0;    65.9
2008 June;    67.8;    67.9
2008 July;    68.4;    66.9
2008 August;    62.3;    64.2
2008 September;    71.5;    70.5
2008 October;    69.1;    67.6
2008 November;    63.8;    66.2
2008 December;    59.9;    59.2
2009 January;    57.9;    58.5
2009 February;    57.7;    58.0
2009 March;    64.4;    64.5
2009 April;    58.4;    58.0
2009 May;    56.1;    57.3
2009 June;    59.2;    59.0
2009 July;    62.4;    61.1
2009 August;    55.7;    57.4
2009 September;    64.5;    63.6
2009 October;    63.3;    63.5
2009 November;    64.8;    65.6
2009 December;    62.1;    60.2
2010 January;    60.6;    62.8
2010 February;    61.9;    62.3
2010 March;    74.4;    72.6
2010 April;    66.4;    65.9
2010 May;    62.7;    65.2
2010 June;    68.3;    66.7
2010 July;    67.6;    67.9
2010 August;    64.0;    64.3
2010 September;    70.2;    69.2
2010 October;    68.4;    70.4
2010 November;    72.6;    71.5
2010 December;    70.6;    67.1
2011 January;    68.5;    69.6
2011 February;    68.2;    68.6
2011 March;    79.6;    77.7
2011 April;    71.9;    71.8
2011 May;    70.5;    68.7
2011 June;    69.1;    70.1
2011 July;    69.6;    71.7
2011 August;    68.9;    67.4
2011 September;    72.8;    71.7
2011 October;    67.3;    69.4
2011 November;    73.0;    72.0
2011 December;    70.8;    70.4
2012 January;    71.0;    70.3
2012 February;    71.1;    69.3
2012 March;    79.2;    79.3
2012 April;    72.5;    73.9
2012 May;    73.3;    72.4
2012 June;    73.0;    73.1
2012 July;    72.7;    73.0
2012 August;    70.8;    69.2
2012 September;    71.6;    74.3
2012 October;    76.1;    74.4
2012 November;    77.0;    75.8
2012 December;    69.6;    72.5
2013 January;    74.5;    73.2
2013 February;    70.7;    71.2
2013 March;    79.9;    82.1
2013 April;    74.7;    74.1
2013 May;    75.7;    74.8
2013 June;    73.9;    75.9
2013 July;    76.6;    74.9
2013 August;    71.3;    71.6
2013 September;    73.6;    74.4
2013 October;    76.2;    74.5
2013 November;    77.0;    77.9
2013 December;    72.1;    73.2
2014 January;    75.1;    73.9
2014 February;    73.3;    73.8
2014 March;    81.4;    83.7
2014 April;    79.0;    76.9
2014 May;    74.6;    74.1
2014 June;    76.9;    78.6
2014 July;    79.4;    77.6
2014 August;    70.1;    72.2
2014 September;    80.1;    78.9
2014 October;    78.7;    77.0
2014 November;    77.4;    80.3
2014 December;    78.3;    77.4
2015 January;    78.5;    79.3
2015 February;    76.7;    77.2
2015 March;    86.3;    86.5
2015 April;    81.8;    81.2
2015 May;    75.6;    78.6
2015 June;    84.6;    82.5
2015 July;    83.7;    81.9
2015 August;    74.9;    77.1
2015 September;    83.0;    81.8
2015 October;    81.3;    81.6
2015 November;    82.9;    83.8
2015 December;    83.2;    80.7
2016 January;    80.0;    82.9
2016 February;    82.1;    79.9
2016 March;    89.9;    89.5
2016 April;    86.0;    85.9
2016 May;    82.4;    83.5
2016 June;    86.5;    84.5
2016 July;    82.1;    84.6
2016 August;    81.0;    79.2
2016 September;    87.9;    86.6
2016 October;    82.0;    84.5
2016 November;    90.4;    89.0
2016 December;    85.5;    85.1
2017 January;    85.1;    84.2
2017 February;    84.8;    85.4
2017 March;    99.5;    97.1
2017 April;    82.8;    86.5
2017 May;    90.2;    87.3
2017 June;    93.9;    93.5
2017 July;    88.0;    90.6
2017 August;    86.9;    85.0
2017 September;    92.6;    93.6
2017 October;    89.9;    90.3
2017 November;    96.8;    95.4
2017 December;    86.8;    90.5
2018 January;    89.7;    88.2
2018 February;    88.7;    89.3
2018 March;   100.3;   100.4
2018 April;    90.3;    92.0
2018 May;    93.3;    92.1
2018 June;    94.2;    94.3
2018 July;    92.7;    93.1
2018 August;    90.6;    88.6
2018 September;    93.2;    96.7
2018 October;    95.5;    93.4
2018 November;    97.4;    95.9
2018 December;    87.4;    91.1
2019 January;    91.3;    89.8
2019 February;    88.0;    88.6
2019 March;    98.9;   101.6
2019 April;    95.6;    93.1
2019 May;    94.7;    91.6
2019 June;    89.9;    94.3
2019 July;    94.1;    92.1
2019 August;    90.7;    91.0
2019 September;    96.0;    97.1
2019 October;   100.4;    98.2
2019 November;    96.2;    97.3
2019 December;    92.7;    94.1
2020 January;    93.8;    92.2
2020 February;    89.1;    89.0
2020 March;    95.7;    95.9
2020 April;    81.2;    80.6
2020 May;    79.0;    80.5
2020 June;    91.2;    90.8
2020 July;    94.0;    92.0
2020 August;    85.2;    87.7
2020 September;    98.9;    97.5
2020 October;   100.9;   101.3
2020 November;    97.8;    98.9
2020 December;    96.8;    93.8
2021 January;    91.3;    94.6
2021 February;    90.7;    91.2
2021 March;   109.1;   106.4
2021 April;   100.5;    99.8
2021 May;    93.3;    97.0
2021 June;   105.0;   102.5
2021 July;   100.1;   100.5
2021 August;    94.6;    95.0
2021 September;   104.1;   102.5
2021 October;    98.4;   101.3
2021 November;   107.5;   105.9
2021 December;   105.6;   100.3
2022 January*;    92.7;    94.1
2022 February*;    90.0;    90.6
2022 March*;   107.0;   104.4
2022 April*;    97.3;    99.1
2022 May*;    99.4;    98.7
2022 June*;   107.7;   107.2
2022 July*;    97.5;   100.4
2022 August*;    96.1;    94.0
2022 September*;   106.9;   105.3
2022 October*;   106.8;   110.1
2022 November*;   112.4;   110.8
2022 December*;   105.4;   104.9
2023 January*;    99.6;    98.6
2023 February*;    94.0;    94.6
2023 March*;   111.9;   109.2
2023 April*;    95.7;   100.1
2023 May*;   100.2;    99.0
2023 June*;   109.3;   106.7
2023 July*;    94.4;    97.2
2023 August*;    95.2;    93.1
2023 September*;   100.1;   101.2
2023 October*;   102.7;   103.1
2023 November*;   106.0;   104.4
2023 December*;    99.0;   103.2
2024 January*;    93.1;    91.6
2024 February*;    91.1;    88.8
2024 March*;   101.9;   104.7
2024 April*;   102.5;    99.7
2024 May*;    97.0;    95.8
2024 June*;   103.1;   106.0
2024 July*;   102.0;    99.7
2024 August*;    93.1;    93.4
2024 September*;   102.5;   103.7
2024 October*;   108.0;   105.6
2024 November*;   107.7;   108.9
2024 December*;   100.6;   102.1
2025 January*;    95.5;    93.9
2025 February*;    89.7;    90.3
2025 March*;   105.5;   108.5
2025 April*;   103.0;   100.2
