Periods;Indices/Value /Working day adjusted (2015=100);Indices/Volume/Working day adjusted (2015=100)
1995 January;35,1;40,6
1995 February;33,5;39,1
1995 March;39,6;44,8
1995 April;36,8;42
1995 May;34,5;39,6
1995 June;36,7;41,8
1995 July;32,1;36,8
1995 August;32,3;35,9
1995 September;37,4;42,5
1995 October;35;39,3
1995 November;37,2;42,1
1995 December;36,8;40,8
1996 January;35,7;42
1996 February;34,6;41
1996 March;41,6;47,2
1996 April;35,3;39,9
1996 May;35,5;40,2
1996 June;37,6;42,5
1996 July;35,1;39,9
1996 August;34;37,7
1996 September;38,1;42,4
1996 October;37,7;41,4
1996 November;39,2;43,6
1996 December;39,6;42,9
1997 January;38,4;44
1997 February;38,6;44,8
1997 March;44,1;49,2
1997 April;40,9;45,5
1997 May;39,5;43,9
1997 June;41,8;46,2
1997 July;39,8;43,8
1997 August;39;41,4
1997 September;43,7;47,3
1997 October;43,7;46,5
1997 November;44,5;47,8
1997 December;43,6;46,2
1998 January;41,2;46,5
1998 February;41,4;47,5
1998 March;48,1;53,3
1998 April;43,8;48,8
1998 May;41,6;46,9
1998 June;44,1;49,6
1998 July;42,4;47,7
1998 August;38,7;42,9
1998 September;44,1;49,9
1998 October;44,6;50,4
1998 November;45;51,3
1998 December;43,5;49
1999 January;41,3;50,3
1999 February;40,1;49,6
1999 March;49,8;58,6
1999 April;44,9;52,4
1999 May;43,8;51,2
1999 June;46,5;53,5
1999 July;43,9;50,6
1999 August;41,8;46,7
1999 September;48,3;54,2
1999 October;48,9;55,4
1999 November;50,6;56,7
1999 December;49,5;53,5
2000 January;47,3;54,9
2000 February;49,4;57,4
2000 March;58,7;66,2
2000 April;52,6;58,2
2000 May;53,6;58,8
2000 June;55,7;60,1
2000 July;53,3;58,1
2000 August;53,5;56,3
2000 September;59,2;61,4
2000 October;60;62,6
2000 November;63,1;66
2000 December;62;63,9
2001 January;56;61,3
2001 February;54,8;60,5
2001 March;64;69,6
2001 April;56;60,2
2001 May;55,4;59,5
2001 June;59,1;62,9
2001 July;54,3;58,8
2001 August;52,3;56
2001 September;57,2;61,1
2001 October;55,3;60,3
2001 November;56,1;61,3
2001 December;56;60,2
2002 January;50,3;57,5
2002 February;51,1;59,4
2002 March;61,2;69,7
2002 April;54,4;60,3
2002 May;53,9;60
2002 June;56,4;62,5
2002 July;52,4;59,2
2002 August;51,4;56,4
2002 September;57,5;62,9
2002 October;56,6;62,4
2002 November;58;64,6
2002 December;56,3;61,1
2003 January;53,9;61,5
2003 February;53,8;61,7
2003 March;61,6;70
2003 April;55;62
2003 May;52,8;60,4
2003 June;54,8;62,4
2003 July;52,2;60,2
2003 August;49,8;55,7
2003 September;57,4;64,6
2003 October;58,4;66
2003 November;58,8;66,7
2003 December;56,4;63,2
2004 January;53,4;62,7
2004 February;53;63
2004 March;63,5;73,7
2004 April;60,5;68,2
2004 May;58,7;66,2
2004 June;63,5;70,7
2004 July;60,7;68,8
2004 August;57,7;63,6
2004 September;65,1;71,9
2004 October;66,3;73
2004 November;66,2;73,9
2004 December;62,9;69,1
2005 January;60,5;68,9
2005 February;60,2;68,6
2005 March;70,5;78,5
2005 April;67,3;73,6
2005 May;64,2;70,9
2005 June;66,9;72,8
2005 July;65,7;72
2005 August;63,7;67,9
2005 September;70,8;75,6
2005 October;71,4;76,1
2005 November;73,2;78,3
2005 December;72,2;74,7
2006 January;68;72,6
2006 February;68,2;73,6
2006 March;81,4;87
2006 April;74,9;78,8
2006 May;72,2;76
2006 June;77,5;81,3
2006 July;71,9;75,9
2006 August;72,1;74,2
2006 September;78;82,1
2006 October;77,6;81,8
2006 November;81,3;85,5
2006 December;80,3;82,2
2007 January;73,8;77,5
2007 February;73,2;77,7
2007 March;87;91,3
2007 April;78,3;81,5
2007 May;77,3;80,3
2007 June;81,8;84,8
2007 July;78,3;81,7
2007 August;76,5;78,7
2007 September;83,1;86,5
2007 October;83,9;86,3
2007 November;89,6;91,7
2007 December;83,7;83,4
2008 January;83,7;84,1
2008 February;81,8;82,8
2008 March;92,6;92,6
2008 April;87,3;86,3
2008 May;83,1;81,2
2008 June;86,5;83,5
2008 July;85,1;82,6
2008 August;82,5;79,1
2008 September;88,9;87
2008 October;87,1;86,1
2008 November;82,9;84
2008 December;73,4;75,5
2009 January;68,5;72,2
2009 February;66,5;71,7
2009 March;73,9;79,7
2009 April;65,9;71,5
2009 May;64,6;70,4
2009 June;68,1;72,6
2009 July;68,7;75,4
2009 August;65,6;70,7
2009 September;71,9;78,5
2009 October;75;80,8
2009 November;77,5;83,4
2009 December;72,3;76,7
2010 January;72,9;77,4
2010 February;72,1;77
2010 March;85,9;89,8
2010 April;80;81,2
2010 May;79,4;80,2
2010 June;82,4;82
2010 July;81,4;83,7
2010 August;78,5;79,3
2010 September;83,7;85,4
2010 October;87,7;89,4
2010 November;90,1;91,1
2010 December;86,9;85,4
2011 January;87,1;85,6
2011 February;87,1;84,7
2011 March;99,4;95,9
2011 April;92,3;88,1
2011 May;88,3;84,3
2011 June;89,7;86,3
2011 July;90,7;88,1
2011 August;86,1;83,1
2011 September;91,3;88,4
2011 October;91,8;88
2011 November;95,7;91,5
2011 December;94,4;89,4
2012 January;92,3;86,5
2012 February;91,1;85,3
2012 March;104,8;97,6
2012 April;97,3;90,5
2012 May;95,3;89
2012 June;94,2;89,5
2012 July;94,6;89,7
2012 August;92,1;85,3
2012 September;97,4;91,1
2012 October;101,6;94,5
2012 November;103,1;96,3
2012 December;98,8;91,8
2013 January;97;90,2
2013 February;94,1;87,5
2013 March;107,5;100,7
2013 April;96;90,8
2013 May;97,1;91,8
2013 June;96,9;92,6
2013 July;95,7;92
2013 August;92,5;87,8
2013 September;95,3;91,2
2013 October;98,5;94,4
2013 November;102,4;98,5
2013 December;98;92,6
2014 January;95,5;90,9
2014 February;95;90,6
2014 March;105,9;102,5
2014 April;96,8;94,1
2014 May;93,4;90,6
2014 June;98,6;96
