strategy,feature,cv,condition
OLS-All,temp_c,0.6142513394237143,with_fourier
OLS-All,wind_ms,2.9320052822543663,with_fourier
OLS-All,precip_mm,0.28213371458363273,with_fourier
OLS-All,sunshine_h,0.7394659861698959,with_fourier
OLS-All,global_rad,5.0,with_fourier
OLS-All,pressure_hpa,0.6358154866456472,with_fourier
OLS-All,humidity_pct,0.1673728307693504,with_fourier
OLS-All,cloudiness,2.4960122324227836,with_fourier
OLS-All,nao,2.3544764239576987,with_fourier
OLS-All,price_eur_kwh,0.7315946206434522,with_fourier
OLS-All,gdp_mln_eur,1.7786117769205538,with_fourier
OLS-All,population,0.9940493192028775,with_fourier
OLS-All,wind_energy_gwh,5.0,with_fourier
OLS-All,solar_energy_gwh,1.8815471366143062,with_fourier
OLS-All,day_of_week,0.79617924253747,with_fourier
OLS-All,month,1.2162987735339665,with_fourier
OLS-All,is_weekend,0.04909804818232894,with_fourier
OLS-All,is_holiday,0.0425569352616378,with_fourier
OLS-All,sin1_ann,4.811321289772916,with_fourier
OLS-All,cos1_ann,0.28237838854193914,with_fourier
OLS-All,sin2_ann,0.8454949182167477,with_fourier
OLS-All,cos2_ann,0.5678366008954128,with_fourier
Filter,temp_c,0.8641809438199421,with_fourier
Filter,wind_ms,3.0326414827570662,with_fourier
Filter,precip_mm,0.279613486609637,with_fourier
Filter,global_rad,0.6658235214192948,with_fourier
Filter,pressure_hpa,0.7098242885360595,with_fourier
Filter,humidity_pct,0.23172286157539462,with_fourier
Filter,cloudiness,2.0636731821014953,with_fourier
Filter,nao,1.7309960989252877,with_fourier
Filter,price_eur_kwh,1.1586687696458913,with_fourier
Filter,gdp_mln_eur,1.446492607115918,with_fourier
Filter,wind_energy_gwh,0.7311442892527183,with_fourier
Filter,solar_energy_gwh,1.4899240056941754,with_fourier
Filter,day_of_week,0.8667460618751642,with_fourier
Filter,month,1.1190970585483704,with_fourier
Filter,is_weekend,0.050317178825842634,with_fourier
Filter,is_holiday,0.03934150685182143,with_fourier
Filter,sin1_ann,5.0,with_fourier
Filter,cos1_ann,0.3555868242261517,with_fourier
Filter,sin2_ann,2.2454134158147787,with_fourier
Filter,cos2_ann,0.5832822308187076,with_fourier
Ridge,temp_c,0.2888196045619591,with_fourier
Ridge,wind_ms,2.631744753701014,with_fourier
Ridge,precip_mm,0.6156800405916453,with_fourier
Ridge,sunshine_h,1.0650990619044194,with_fourier
Ridge,global_rad,1.7562572146256141,with_fourier
Ridge,pressure_hpa,0.6036461296209051,with_fourier
Ridge,humidity_pct,0.5122100948620533,with_fourier
Ridge,cloudiness,1.8420063417844197,with_fourier
Ridge,nao,5.0,with_fourier
Ridge,price_eur_kwh,2.6368700673994345,with_fourier
Ridge,gdp_mln_eur,0.6091202158889442,with_fourier
Ridge,population,0.6478360265925984,with_fourier
Ridge,wind_energy_gwh,0.6629238072208966,with_fourier
Ridge,solar_energy_gwh,0.9129842872195965,with_fourier
Ridge,day_of_week,0.7374972902848952,with_fourier
Ridge,month,0.3290902411960923,with_fourier
Ridge,is_weekend,0.11920506811132864,with_fourier
Ridge,is_holiday,0.1665052868945179,with_fourier
Ridge,sin1_ann,1.4530115890387163,with_fourier
Ridge,cos1_ann,0.0766538966086396,with_fourier
Ridge,sin2_ann,3.986829832058876,with_fourier
Ridge,cos2_ann,0.13088036878627793,with_fourier
Lasso,temp_c,0.6404501908250672,with_fourier
Lasso,wind_ms,2.910715137869996,with_fourier
Lasso,precip_mm,0.2822403310153451,with_fourier
Lasso,sunshine_h,0.7351832156904146,with_fourier
Lasso,global_rad,5.0,with_fourier
Lasso,pressure_hpa,0.6154575255472049,with_fourier
Lasso,humidity_pct,0.16710703266045357,with_fourier
Lasso,cloudiness,2.447988655764114,with_fourier
Lasso,nao,2.380315074616973,with_fourier
Lasso,price_eur_kwh,0.7328417885838383,with_fourier
Lasso,gdp_mln_eur,1.7592027030080402,with_fourier
Lasso,population,0.9851923947602573,with_fourier
Lasso,wind_energy_gwh,5.0,with_fourier
Lasso,solar_energy_gwh,1.703186726577602,with_fourier
Lasso,day_of_week,0.7985034103613255,with_fourier
Lasso,month,1.244397071432356,with_fourier
Lasso,is_weekend,0.0491734567454554,with_fourier
Lasso,is_holiday,0.03993137139408837,with_fourier
Lasso,sin1_ann,5.0,with_fourier
Lasso,cos1_ann,0.28100185257676474,with_fourier
Lasso,sin2_ann,0.8510521658975003,with_fourier
Lasso,cos2_ann,0.5634050612128298,with_fourier
OLS-All,temp_c,0.09591141362001454,no_fourier
OLS-All,wind_ms,1.182435162045911,no_fourier
OLS-All,precip_mm,5.0,no_fourier
OLS-All,sunshine_h,0.21632648363553297,no_fourier
OLS-All,global_rad,0.1706446105846118,no_fourier
OLS-All,pressure_hpa,0.2916808798950543,no_fourier
OLS-All,humidity_pct,0.41293059740825305,no_fourier
OLS-All,cloudiness,2.3290836417466148,no_fourier
OLS-All,nao,2.4287655797986427,no_fourier
OLS-All,price_eur_kwh,0.6710268433773753,no_fourier
OLS-All,gdp_mln_eur,0.38517139689952806,no_fourier
OLS-All,population,0.4997471449740745,no_fourier
OLS-All,wind_energy_gwh,3.548223593671728,no_fourier
OLS-All,solar_energy_gwh,5.0,no_fourier
OLS-All,day_of_week,1.0024911195493533,no_fourier
OLS-All,month,0.7511416504909976,no_fourier
OLS-All,is_weekend,0.05002946919537885,no_fourier
OLS-All,is_holiday,0.04466117256173342,no_fourier
Filter,temp_c,0.13164470716705506,no_fourier
Filter,wind_ms,0.9387061571332644,no_fourier
Filter,precip_mm,5.0,no_fourier
Filter,global_rad,0.2360071234908799,no_fourier
Filter,pressure_hpa,0.40111813409331293,no_fourier
Filter,humidity_pct,0.8237700334582626,no_fourier
Filter,cloudiness,0.43629758810832514,no_fourier
Filter,nao,2.0950897529518566,no_fourier
Filter,price_eur_kwh,1.5838012601104765,no_fourier
Filter,gdp_mln_eur,2.8599516593541003,no_fourier
Filter,wind_energy_gwh,5.0,no_fourier
Filter,solar_energy_gwh,3.3937158084754193,no_fourier
Filter,day_of_week,0.9047273193403748,no_fourier
Filter,month,0.748776015824599,no_fourier
Filter,is_weekend,0.051472440452056116,no_fourier
Filter,is_holiday,0.049877312346092356,no_fourier
Ridge,temp_c,0.12547377379717523,no_fourier
Ridge,wind_ms,1.1516304471658996,no_fourier
Ridge,precip_mm,5.0,no_fourier
Ridge,sunshine_h,0.23127602338739459,no_fourier
Ridge,global_rad,0.08681528161952527,no_fourier
Ridge,pressure_hpa,0.48059691657280335,no_fourier
Ridge,humidity_pct,2.4555556839611516,no_fourier
Ridge,cloudiness,5.0,no_fourier
Ridge,nao,5.0,no_fourier
Ridge,price_eur_kwh,5.0,no_fourier
Ridge,gdp_mln_eur,0.44931140531079855,no_fourier
Ridge,population,0.5124794171365848,no_fourier
Ridge,wind_energy_gwh,5.0,no_fourier
Ridge,solar_energy_gwh,1.4090379237688568,no_fourier
Ridge,day_of_week,0.7690009992379135,no_fourier
Ridge,month,0.4767764541260432,no_fourier
Ridge,is_weekend,0.12051732684791851,no_fourier
Ridge,is_holiday,0.1862000262808208,no_fourier
Lasso,temp_c,0.09641884194243233,no_fourier
Lasso,wind_ms,1.1818420694056817,no_fourier
Lasso,precip_mm,5.0,no_fourier
Lasso,sunshine_h,0.21437089300702614,no_fourier
Lasso,global_rad,0.17001480228751814,no_fourier
Lasso,pressure_hpa,0.2944647765526443,no_fourier
Lasso,humidity_pct,0.41690057201171693,no_fourier
Lasso,cloudiness,2.3287731218019303,no_fourier
Lasso,nao,2.4846075812788544,no_fourier
Lasso,price_eur_kwh,0.6691967117923642,no_fourier
Lasso,gdp_mln_eur,0.3857799674335593,no_fourier
Lasso,population,0.4894613092740475,no_fourier
Lasso,wind_energy_gwh,3.70761876420475,no_fourier
Lasso,solar_energy_gwh,3.8903158547331267,no_fourier
Lasso,day_of_week,0.9966771461232692,no_fourier
Lasso,month,0.7264048001802635,no_fourier
Lasso,is_weekend,0.049987486841026,no_fourier
Lasso,is_holiday,0.04472900398777849,no_fourier
