strategy,horizon,mape,condition
OLS-All,1,2.965004305487734,with_fourier
OLS-All,3,3.2059097620169954,with_fourier
OLS-All,7,4.895313686605446,with_fourier
OLS-All,30,4.356853279329264,with_fourier
OLS-All,90,5.161963525889574,with_fourier
OLS-All,180,4.843490848724683,with_fourier
Filter,1,2.9558289299577853,with_fourier
Filter,3,3.332803312481579,with_fourier
Filter,7,5.038446602421934,with_fourier
Filter,30,4.072335566837633,with_fourier
Filter,90,4.635382309914814,with_fourier
Filter,180,4.491161592518334,with_fourier
Ridge,1,2.813059384768647,with_fourier
Ridge,3,3.228319393509449,with_fourier
Ridge,7,4.76109125997432,with_fourier
Ridge,30,4.202292058541844,with_fourier
Ridge,90,5.006634255784794,with_fourier
Ridge,180,4.7671199633076675,with_fourier
Lasso,1,2.964317598014035,with_fourier
Lasso,3,3.2057996355446425,with_fourier
Lasso,7,4.895245084647865,with_fourier
Lasso,30,4.354912841655619,with_fourier
Lasso,90,5.159730576949677,with_fourier
Lasso,180,4.841349295157828,with_fourier
OLS-All,1,3.0471952038348826,no_fourier
OLS-All,3,3.51732386186649,no_fourier
OLS-All,7,4.546089867847196,no_fourier
OLS-All,30,5.252323561632929,no_fourier
OLS-All,90,6.738415650861591,no_fourier
OLS-All,180,6.7478235802159405,no_fourier
Filter,1,2.979268075352728,no_fourier
Filter,3,3.8694734633296637,no_fourier
Filter,7,4.913905089085052,no_fourier
Filter,30,4.6197766729487,no_fourier
Filter,90,5.380889410671556,no_fourier
Filter,180,4.936477102242161,no_fourier
Ridge,1,3.000392375909612,no_fourier
Ridge,3,3.5444921782473706,no_fourier
Ridge,7,4.438860362395458,no_fourier
Ridge,30,5.030505423630729,no_fourier
Ridge,90,6.4721148429243165,no_fourier
Ridge,180,6.149769065686519,no_fourier
Lasso,1,3.0461907529185783,no_fourier
Lasso,3,3.5184533941547316,no_fourier
Lasso,7,4.546741971681825,no_fourier
Lasso,30,5.244523765719562,no_fourier
Lasso,90,6.73220879833244,no_fourier
Lasso,180,6.730894870519129,no_fourier
