pair,effect_size,power,n_simulations,n_features
OLS-All vs Ridge,0.05,0.0561,10000,22
OLS-All vs Ridge,0.1,0.0827,10000,22
OLS-All vs Ridge,0.15,0.1153,10000,22
OLS-All vs Ridge,0.2,0.1555,10000,22
OLS-All vs Ridge,0.25,0.2291,10000,22
OLS-All vs Ridge,0.3,0.3568,10000,22
OLS-All vs Ridge,0.35,0.413,10000,22
OLS-All vs Ridge,0.4,0.5024,10000,22
OLS-All vs Ridge,0.45,0.5312,10000,22
OLS-All vs Ridge,0.5,0.6056,10000,22
OLS-All vs Filter,0.05,0.265,10000,20
OLS-All vs Filter,0.1,0.6052,10000,20
OLS-All vs Filter,0.15,0.7621,10000,20
OLS-All vs Filter,0.2,0.8451,10000,20
OLS-All vs Filter,0.25,0.9388,10000,20
OLS-All vs Filter,0.3,0.9479,10000,20
OLS-All vs Filter,0.35,0.9531,10000,20
OLS-All vs Filter,0.4,0.9665,10000,20
OLS-All vs Filter,0.45,0.9709,10000,20
OLS-All vs Filter,0.5,0.9844,10000,20
Filter vs Ridge,0.05,0.0598,10000,20
Filter vs Ridge,0.1,0.0757,10000,20
Filter vs Ridge,0.15,0.1096,10000,20
Filter vs Ridge,0.2,0.1329,10000,20
Filter vs Ridge,0.25,0.1911,10000,20
Filter vs Ridge,0.3,0.2194,10000,20
Filter vs Ridge,0.35,0.2515,10000,20
Filter vs Ridge,0.4,0.2972,10000,20
Filter vs Ridge,0.45,0.3366,10000,20
Filter vs Ridge,0.5,0.3854,10000,20
Filter vs Lasso,0.05,0.0758,10000,16
Filter vs Lasso,0.1,0.0859,10000,16
Filter vs Lasso,0.15,0.0887,10000,16
Filter vs Lasso,0.2,0.154,10000,16
Filter vs Lasso,0.25,0.1604,10000,16
Filter vs Lasso,0.3,0.2394,10000,16
Filter vs Lasso,0.35,0.2636,10000,16
Filter vs Lasso,0.4,0.2636,10000,16
Filter vs Lasso,0.45,0.2636,10000,16
Filter vs Lasso,0.5,0.3655,10000,16
Ridge vs Lasso,0.05,0.0702,10000,18
Ridge vs Lasso,0.1,0.0632,10000,18
Ridge vs Lasso,0.15,0.0613,10000,18
Ridge vs Lasso,0.2,0.0633,10000,18
Ridge vs Lasso,0.25,0.073,10000,18
Ridge vs Lasso,0.3,0.0792,10000,18
Ridge vs Lasso,0.35,0.0994,10000,18
Ridge vs Lasso,0.4,0.1161,10000,18
Ridge vs Lasso,0.45,0.1385,10000,18
Ridge vs Lasso,0.5,0.1752,10000,18
