Periods;Indices/Volume/Original (2021=100);Indices/Volume/Working day adjusted (2021=100)
1995 January;    29.0;    28.8
1995 February;    29.1;    29.4
1995 March;    34.8;    34.0
1995 April;    28.9;    29.7
1995 May;    32.0;    31.0
1995 June;    31.9;    31.7
1995 July;    27.8;    28.6
1995 August;    27.8;    27.2
1995 September;    30.7;    31.0
1995 October;    29.8;    29.9
1995 November;    31.2;    30.8
1995 December;    29.3;    30.4
1996 January;    31.6;    31.0
1996 February;    31.5;    30.4
1996 March;    34.4;    35.4
1996 April;    30.2;    29.9
1996 May;    32.5;    32.0
1996 June;    31.2;    32.1
1996 July;    31.2;    30.5
1996 August;    29.5;    29.6
1996 September;    32.3;    32.6
1996 October;    32.9;    32.2
1996 November;    31.9;    32.3
1996 December;    31.4;    31.8
1997 January;    33.4;    32.9
1997 February;    34.1;    34.4
1997 March;    36.6;    38.3
1997 April;    35.3;    34.4
1997 May;    34.6;    35.0
1997 June;    35.6;    35.7
1997 July;    34.7;    33.9
1997 August;    31.7;    32.7
1997 September;    37.3;    36.8
1997 October;    35.6;    34.8
1997 November;    34.3;    35.6
1997 December;    34.6;    34.1
1998 January;    35.9;    36.2
1998 February;    37.1;    37.4
1998 March;    42.2;    42.2
1998 April;    36.3;    36.0
1998 May;    36.2;    37.0
1998 June;    39.1;    38.9
1998 July;    37.3;    36.5
1998 August;    34.3;    35.4
1998 September;    39.8;    39.2
1998 October;    37.3;    37.4
1998 November;    37.9;    38.4
1998 December;    37.9;    36.8
1999 January;    37.4;    38.7
1999 February;    38.6;    39.0
1999 March;    46.0;    44.9
1999 April;    39.1;    38.8
1999 May;    39.7;    41.3
1999 June;    41.7;    40.8
1999 July;    40.2;    40.4
1999 August;    38.4;    38.5
1999 September;    43.6;    42.9
1999 October;    40.5;    41.7
1999 November;    43.1;    42.5
1999 December;    43.3;    41.4
2000 January;    41.9;    42.7
2000 February;    45.7;    44.1
2000 March;    51.2;    50.0
2000 April;    43.5;    44.6
2000 May;    48.8;    46.5
2000 June;    46.1;    46.6
2000 July;    44.1;    45.4
2000 August;    44.7;    43.7
2000 September;    47.5;    48.0
2000 October;    45.5;    45.7
2000 November;    48.0;    47.3
2000 December;    47.2;    49.1
2001 January;    48.9;    48.1
2001 February;    46.1;    46.6
2001 March;    53.0;    53.1
2001 April;    45.2;    46.0
2001 May;    48.9;    47.5
2001 June;    46.9;    47.9
2001 July;    46.8;    47.0
2001 August;    46.2;    45.2
2001 September;    45.7;    47.5
2001 October;    45.5;    44.5
2001 November;    46.1;    45.4
2001 December;    43.4;    45.1
2002 January;    45.8;    45.0
2002 February;    44.9;    45.4
2002 March;    50.9;    52.4
2002 April;    47.3;    46.9
2002 May;    47.2;    46.5
2002 June;    46.2;    47.5
2002 July;    46.0;    44.9
2002 August;    44.9;    45.1
2002 September;    47.8;    48.4
2002 October;    47.5;    46.4
2002 November;    46.1;    46.6
2002 December;    45.4;    46.0
2003 January;    47.5;    46.6
2003 February;    47.1;    47.6
2003 March;    52.1;    53.6
2003 April;    48.2;    47.8
2003 May;    48.7;    48.5
2003 June;    46.6;    47.5
2003 July;    47.3;    46.3
2003 August;    43.7;    45.0
2003 September;    49.2;    48.4
2003 October;    49.2;    48.1
2003 November;    46.9;    48.7
2003 December;    50.5;    49.8
2004 January;    46.6;    47.0
2004 February;    48.7;    48.2
2004 March;    56.9;    55.5
2004 April;    50.8;    50.3
2004 May;    50.6;    52.6
2004 June;    54.4;    53.2
2004 July;    51.1;    51.3
2004 August;    51.3;    51.5
2004 September;    54.0;    53.2
2004 October;    50.8;    52.4
2004 November;    54.4;    53.6
2004 December;    56.7;    54.2
2005 January;    51.3;    52.3
2005 February;    51.7;    52.2
2005 March;    58.1;    57.6
2005 April;    55.6;    54.7
2005 May;    54.3;    54.9
2005 June;    56.4;    55.1
2005 July;    53.0;    54.6
2005 August;    54.7;    53.4
2005 September;    57.5;    56.6
2005 October;    54.2;    55.8
2005 November;    57.7;    56.9
2005 December;    58.5;    58.3
2006 January;    57.1;    56.7
2006 February;    55.3;    55.8
2006 March;    66.1;    64.5
2006 April;    57.8;    59.4
2006 May;    63.2;    61.3
2006 June;    61.2;    60.8
2006 July;    57.3;    59.1
2006 August;    60.0;    58.7
2006 September;    61.3;    62.0
2006 October;    62.0;    62.2
2006 November;    63.1;    62.2
2006 December;    60.6;    63.1
2007 January;    61.0;    59.9
2007 February;    60.3;    60.9
2007 March;    67.6;    67.7
2007 April;    61.2;    62.2
2007 May;    66.0;    65.1
2007 June;    63.5;    63.7
2007 July;    63.3;    63.5
2007 August;    65.1;    63.7
2007 September;    63.8;    66.3
2007 October;    64.4;    63.0
2007 November;    66.6;    65.7
2007 December;    61.4;    63.9
2008 January;    65.9;    64.7
2008 February;    66.0;    63.7
2008 March;    66.4;    69.5
2008 April;    65.3;    63.7
2008 May;    64.9;    65.7
2008 June;    64.3;    64.5
2008 July;    64.6;    63.1
2008 August;    62.3;    64.2
2008 September;    68.3;    67.3
2008 October;    65.2;    63.8
2008 November;    61.9;    64.2
2008 December;    60.2;    59.4
2009 January;    56.6;    57.1
2009 February;    56.2;    56.7
2009 March;    62.3;    62.4
2009 April;    55.1;    54.6
2009 May;    55.5;    56.7
2009 June;    55.4;    55.0
2009 July;    58.7;    57.4
2009 August;    55.0;    56.7
2009 September;    59.0;    58.1
2009 October;    57.3;    57.5
2009 November;    59.4;    60.1
2009 December;    62.0;    60.2
2010 January;    59.0;    61.0
2010 February;    57.2;    57.8
2010 March;    68.3;    66.6
2010 April;    62.2;    61.6
2010 May;    63.4;    65.8
2010 June;    66.8;    65.3
2010 July;    63.6;    63.8
2010 August;    61.2;    61.5
2010 September;    63.5;    62.5
2010 October;    63.9;    65.9
2010 November;    66.1;    65.1
2010 December;    66.5;    63.5
2011 January;    65.2;    66.3
2011 February;    62.8;    63.4
2011 March;    74.7;    72.9
2011 April;    63.6;    63.6
2011 May;    68.2;    66.8
