Periods;Indices/Value /Working day adjusted (2015=100);Indices/Volume/Working day adjusted (2015=100)
1995 January;35,2;37,4
1995 February;34,8;38,1
1995 March;41;44,1
1995 April;36,2;38,7
1995 May;36,5;40,5
1995 June;37,4;41,4
1995 July;33,7;37,4
1995 August;32,7;35,5
1995 September;36,8;40,5
1995 October;37,1;40
1995 November;38,9;41,2
1995 December;39,3;40,7
1996 January;37,3;40,3
1996 February;35,4;39,5
1996 March;42,7;46
1996 April;36,8;39,1
1996 May;37,7;41,8
1996 June;38;41,9
1996 July;36,2;39,9
1996 August;35,8;38,7
1996 September;39,1;42,6
1996 October;41;43
1996 November;41,7;43,2
1996 December;42,1;42,6
1997 January;40,6;42,7
1997 February;41,2;44,8
1997 March;46,7;49,8
1997 April;42,4;44,9
1997 May;41,8;45,8
1997 June;42,9;46,7
1997 July;41,5;44,4
1997 August;41;42,8
1997 September;45;48,1
1997 October;44,9;46,6
1997 November;46,4;47,7
1997 December;44,8;45,7
1998 January;44,3;47
1998 February;44,1;48,7
1998 March;50,9;54,9
1998 April;43,9;47,1
1998 May;43,2;48,3
1998 June;45,2;50,8
1998 July;42,4;47,7
1998 August;41,7;46,3
1998 September;45,2;51,3
1998 October;45,3;50,2
1998 November;46,9;51,4
1998 December;45,1;49,3
1999 January;43,5;50,4
1999 February;42,5;50,7
1999 March;51,1;58,4
1999 April;45,2;50,7
1999 May;46,4;54
1999 June;46,6;53,3
1999 July;46,6;52,9
1999 August;45,5;50,4
1999 September;50,4;56,2
1999 October;50,6;55,9
1999 November;53,5;56,9
1999 December;53,4;55,3
2000 January;51,3;55,5
2000 February;52,5;57,4
2000 March;61,2;65
2000 April;54,5;58,3
2000 May;56,3;60,7
2000 June;57,3;60,9
2000 July;55,2;59,4
2000 August;54,8;57,1
2000 September;60,7;62,8
2000 October;60,7;61,2
2000 November;64,4;63,3
2000 December;64,2;65,8
2001 January;58,6;62,5
2001 February;55,9;60,6
2001 March;64,7;69
2001 April;56,5;60,1
2001 May;57,5;62
2001 June;59;62,6
2001 July;57,2;61,5
2001 August;55,6;59,1
2001 September;57,4;62,1
2001 October;55,9;59,6
2001 November;57,5;60,8
2001 December;56,5;60,4
2002 January;52;58,5
2002 February;51,5;59
2002 March;61,3;68,1
2002 April;55,4;61,3
2002 May;53,3;60,9
2002 June;54,7;62,1
2002 July;51,6;58,8
2002 August;52,9;59
2002 September;56,2;63,3
2002 October;56,6;62,2
2002 November;57,1;62,4
