scheme,strategy,feature,cv
linear,OLS-All,cloudiness,2.4960122324228204
linear,OLS-All,cos1_ann,0.28237838854193953
linear,OLS-All,cos2_ann,0.5678366008954135
linear,OLS-All,day_of_week,0.7961792425375681
linear,OLS-All,gdp_mln_eur,1.7786117769205587
linear,OLS-All,global_rad,5.0
linear,OLS-All,humidity_pct,0.16737283076936016
linear,OLS-All,is_holiday,0.042556935261636654
linear,OLS-All,is_weekend,0.04909804818232997
linear,OLS-All,month,1.216298773533966
linear,OLS-All,nao,2.3544764239576965
linear,OLS-All,population,0.9940493192028844
linear,OLS-All,precip_mm,0.28213371458363257
linear,OLS-All,pressure_hpa,0.6358154866457585
linear,OLS-All,price_eur_kwh,0.7315946206434524
linear,OLS-All,sin1_ann,4.8113212897727875
linear,OLS-All,sin2_ann,0.845494918216744
linear,OLS-All,solar_energy_gwh,1.8815471366143734
linear,OLS-All,sunshine_h,0.7394659861699102
linear,OLS-All,temp_c,0.6142513394237049
linear,OLS-All,wind_energy_gwh,5.0
linear,OLS-All,wind_ms,2.9320052822542415
linear,Filter,cloudiness,2.0636731821014727
linear,Filter,cos1_ann,0.3555868242261524
linear,Filter,cos2_ann,0.5832822308187071
linear,Filter,day_of_week,0.8667460618751379
linear,Filter,gdp_mln_eur,1.4464926071159199
linear,Filter,global_rad,0.6658235214193309
linear,Filter,humidity_pct,0.23172286157540542
linear,Filter,is_holiday,0.03934150685182111
linear,Filter,is_weekend,0.05031717882584207
linear,Filter,month,1.1190970585483562
linear,Filter,nao,1.7309960989252668
linear,Filter,precip_mm,0.27961348660964125
linear,Filter,pressure_hpa,0.7098242885360665
linear,Filter,price_eur_kwh,1.1586687696459077
linear,Filter,sin1_ann,5.0
linear,Filter,sin2_ann,2.2454134158148342
linear,Filter,solar_energy_gwh,1.489924005694204
linear,Filter,temp_c,0.8641809438199543
linear,Filter,wind_energy_gwh,0.7311442892527068
linear,Filter,wind_ms,3.032641482757119
linear,Ridge,cloudiness,1.8420063417843902
linear,Ridge,cos1_ann,0.07665389660863829
linear,Ridge,cos2_ann,0.13088036878627807
linear,Ridge,day_of_week,0.7374972902849297
linear,Ridge,gdp_mln_eur,0.6091202158889444
linear,Ridge,global_rad,1.7562572146255
linear,Ridge,humidity_pct,0.5122100948620497
linear,Ridge,is_holiday,0.16650528689451805
linear,Ridge,is_weekend,0.11920506811133126
linear,Ridge,month,0.3290902411960869
linear,Ridge,nao,5.0
linear,Ridge,population,0.6478360265925808
linear,Ridge,precip_mm,0.6156800405916366
linear,Ridge,pressure_hpa,0.6036461296209041
linear,Ridge,price_eur_kwh,2.6368700673993715
linear,Ridge,sin1_ann,1.4530115890387734
linear,Ridge,sin2_ann,3.986829832058817
linear,Ridge,solar_energy_gwh,0.9129842872195977
linear,Ridge,sunshine_h,1.0650990619044323
linear,Ridge,temp_c,0.2888196045619658
linear,Ridge,wind_energy_gwh,0.6629238072208881
linear,Ridge,wind_ms,2.631744753701037
linear,Lasso,cloudiness,2.4479886557641226
linear,Lasso,cos1_ann,0.28100185257676497
linear,Lasso,cos2_ann,0.5634050612128292
linear,Lasso,day_of_week,0.7985034103613329
linear,Lasso,gdp_mln_eur,1.7592027030080388
linear,Lasso,global_rad,5.0
linear,Lasso,humidity_pct,0.16710703266045393
linear,Lasso,is_holiday,0.03993137139408771
linear,Lasso,is_weekend,0.04917345674545529
linear,Lasso,month,1.2443970714323573
linear,Lasso,nao,2.3803150746169774
linear,Lasso,population,0.985192394760257
linear,Lasso,precip_mm,0.2822403310153422
linear,Lasso,pressure_hpa,0.6154575255472068
linear,Lasso,price_eur_kwh,0.7328417885838384
linear,Lasso,sin1_ann,5.0
linear,Lasso,sin2_ann,0.8510521658974992
linear,Lasso,solar_energy_gwh,1.7031867265776022
linear,Lasso,sunshine_h,0.7351832156904086
linear,Lasso,temp_c,0.6404501908250693
linear,Lasso,wind_energy_gwh,5.0
linear,Lasso,wind_ms,2.910715137869995
ffill,OLS-All,cloudiness,3.5245943469177115
ffill,OLS-All,cos1_ann,0.14301466381894523
ffill,OLS-All,cos2_ann,0.2333056728216971
ffill,OLS-All,day_of_week,0.8171745412922385
ffill,OLS-All,gdp_mln_eur,0.9968509812934856
ffill,OLS-All,global_rad,5.0
ffill,OLS-All,humidity_pct,0.24013201470616802
ffill,OLS-All,is_holiday,0.04065215161816089
ffill,OLS-All,is_weekend,0.049284577936117166
ffill,OLS-All,month,1.346723199895706
ffill,OLS-All,nao,5.0
ffill,OLS-All,population,1.0447369655860927
ffill,OLS-All,precip_mm,0.3775729500542728
ffill,OLS-All,pressure_hpa,0.6654963212003175
ffill,OLS-All,price_eur_kwh,0.7432807887900256
ffill,OLS-All,sin1_ann,5.0
ffill,OLS-All,sin2_ann,0.7660220223524227
ffill,OLS-All,solar_energy_gwh,1.892682974596794
ffill,OLS-All,sunshine_h,0.7729496518244634
ffill,OLS-All,temp_c,0.6351069764752769
ffill,OLS-All,wind_energy_gwh,5.0
ffill,OLS-All,wind_ms,3.1263157240787103
ffill,Filter,cloudiness,1.4890311723385983
ffill,Filter,cos1_ann,0.17785939117088415
ffill,Filter,cos2_ann,0.19253644254032387
ffill,Filter,day_of_week,0.8907163543222991
ffill,Filter,gdp_mln_eur,0.7462313278850411
ffill,Filter,global_rad,0.5789846535287838
ffill,Filter,humidity_pct,0.3176310148203564
ffill,Filter,is_holiday,0.03843527330024194
