scheme,strategy,horizon,mape
linear,OLS-All,1,2.965004305487734
linear,OLS-All,3,3.2059097620169954
linear,OLS-All,7,4.895313686605446
linear,OLS-All,30,4.356853279329264
linear,OLS-All,90,5.161963525889574
linear,OLS-All,180,4.843490848724683
linear,Filter,1,2.9558289299577853
linear,Filter,3,3.332803312481579
linear,Filter,7,5.038446602421934
linear,Filter,30,4.072335566837633
linear,Filter,90,4.635382309914814
linear,Filter,180,4.491161592518334
linear,Ridge,1,2.813059384768647
linear,Ridge,3,3.228319393509449
linear,Ridge,7,4.76109125997432
linear,Ridge,30,4.202292058541844
linear,Ridge,90,5.006634255784794
linear,Ridge,180,4.7671199633076675
linear,Lasso,1,2.964317598014035
linear,Lasso,3,3.2057996355446425
linear,Lasso,7,4.895245084647865
linear,Lasso,30,4.354912841655619
linear,Lasso,90,5.159730576949677
linear,Lasso,180,4.841349295157828
ffill,OLS-All,1,2.941045023393089
ffill,OLS-All,3,3.222528934667329
ffill,OLS-All,7,4.795866390470107
ffill,OLS-All,30,4.46942634563927
ffill,OLS-All,90,5.396158736129824
ffill,OLS-All,180,5.170800154769911
ffill,Filter,1,2.973579295874249
ffill,Filter,3,3.265041106817183
ffill,Filter,7,5.037557341636524
ffill,Filter,30,4.0134251318954375
ffill,Filter,90,4.434908107324258
ffill,Filter,180,3.9746678891603335
ffill,Ridge,1,2.833153084238346
ffill,Ridge,3,3.255518335944411
ffill,Ridge,7,4.70350026565924
ffill,Ridge,30,4.410827202871275
ffill,Ridge,90,5.309849352083216
ffill,Ridge,180,4.951560927838996
ffill,Lasso,1,2.9408509889592014
ffill,Lasso,3,3.2228972325547236
ffill,Lasso,7,4.795687284972217
ffill,Lasso,30,4.470228223537833
ffill,Lasso,90,5.396192391148639
ffill,Lasso,180,5.170829228505427
