,Year,Month,NAO
0,1950,1,0.92
1,1951,1,0.08
2,1952,1,0.93
3,1953,1,0.33
4,1954,1,0.37
5,1955,1,-1.84
6,1956,1,-0.22
7,1957,1,1.05
8,1958,1,-0.54
9,1959,1,-0.87
10,1960,1,-1.29
11,1961,1,0.41
12,1962,1,0.61
13,1963,1,-2.12
14,1964,1,-0.95
15,1965,1,-0.12
16,1966,1,-1.74
17,1967,1,-0.89
18,1968,1,0.13
19,1969,1,-0.83
20,1970,1,-1.5
21,1971,1,-1.13
22,1972,1,0.27
23,1973,1,0.04
24,1974,1,1.34
25,1975,1,0.58
26,1976,1,-0.25
27,1977,1,-1.04
28,1978,1,0.66
29,1979,1,-1.38
30,1980,1,-0.75
31,1981,1,0.37
32,1982,1,-0.89
33,1983,1,1.59
34,1984,1,1.66
35,1985,1,-1.61
36,1986,1,1.11
37,1987,1,-1.15
38,1988,1,1.02
39,1989,1,1.17
40,1990,1,1.04
41,1991,1,0.86
42,1992,1,-0.13
43,1993,1,1.6
44,1994,1,1.04
45,1995,1,0.93
46,1996,1,-0.12
47,1997,1,-0.49
48,1998,1,0.39
49,1999,1,0.77
50,2000,1,0.6
51,2001,1,0.25
52,2002,1,0.44
53,2003,1,0.16
54,2004,1,-0.29
55,2005,1,1.52
56,2006,1,1.27
57,2007,1,0.22
58,2008,1,0.89
59,2009,1,-0.01
60,2010,1,-1.11
61,2011,1,-0.88
62,2012,1,1.17
63,2013,1,0.35
64,2014,1,0.29
65,2015,1,1.79
66,2016,1,0.12
67,2017,1,0.48
68,2018,1,1.44
69,2019,1,0.59
70,2020,1,1.34
71,2021,1,-1.11
72,2022,1,1.08
73,2023,1,1.25
74,2024,1,0.21
75,2025,1,-0.52
76,1950,2,0.4
77,1951,2,0.7
78,1952,2,-0.83
79,1953,2,-0.49
80,1954,2,0.74
81,1955,2,-1.12
82,1956,2,-1.12
83,1957,2,0.11
84,1958,2,-1.06
85,1959,2,0.68
86,1960,2,-1.89
87,1961,2,0.45
88,1962,2,0.55
89,1963,2,-0.96
90,1964,2,-1.43
91,1965,2,-1.55
92,1966,2,-1.39
93,1967,2,0.19
94,1968,2,-1.29
95,1969,2,-1.55
96,1970,2,0.64
97,1971,2,0.24
98,1972,2,0.32
99,1973,2,0.85
100,1974,2,-0.14
101,1975,2,-0.62
102,1976,2,0.93
103,1977,2,-0.49
104,1978,2,-2.2
105,1979,2,-0.67
106,1980,2,0.05
107,1981,2,0.92
108,1982,2,1.15
109,1983,2,-0.53
110,1984,2,0.72
111,1985,2,-0.49
112,1986,2,-1.0
113,1987,2,-0.73
114,1988,2,0.76
115,1989,2,2.0
116,1990,2,1.41
117,1991,2,1.04
118,1992,2,1.07
119,1993,2,0.5
120,1994,2,0.46
121,1995,2,1.14
122,1996,2,-0.07
123,1997,2,1.7
124,1998,2,-0.11
125,1999,2,0.29
126,2000,2,1.7
127,2001,2,0.45
128,2002,2,1.1
129,2003,2,0.62
130,2004,2,-0.14
131,2005,2,-0.06
132,2006,2,-0.51
133,2007,2,-0.47
134,2008,2,0.73
135,2009,2,0.06
136,2010,2,-1.98
137,2011,2,0.7
138,2012,2,0.42
139,2013,2,-0.45
140,2014,2,1.34
141,2015,2,1.32
142,2016,2,1.58
143,2017,2,1.0
144,2018,2,1.58
145,2019,2,0.29
146,2020,2,1.26
147,2021,2,0.14
148,2022,2,1.68
149,2023,2,0.92
150,2024,2,1.09
151,2025,2,1.6
152,1950,3,-0.36
153,1951,3,-1.02
154,1952,3,-1.49
155,1953,3,-0.04
156,1954,3,-0.83
157,1955,3,-0.53
158,1956,3,-0.05
159,1957,3,-1.26
160,1958,3,-1.96
161,1959,3,-0.15
162,1960,3,-0.5
163,1961,3,0.55
164,1962,3,-2.47
165,1963,3,-0.43
166,1964,3,-1.2
167,1965,3,-1.51
168,1966,3,0.56
169,1967,3,1.51
170,1968,3,0.4
171,1969,3,-1.56
172,1970,3,-0.96
173,1971,3,-0.84
174,1972,3,0.72
175,1973,3,0.3
176,1974,3,-0.03
177,1975,3,-0.61
178,1976,3,0.75
179,1977,3,-0.81
180,1978,3,0.7
181,1979,3,0.78
182,1980,3,-0.31
183,1981,3,-1.19
184,1982,3,1.15
185,1983,3,0.95
186,1984,3,-0.37
187,1985,3,0.2
188,1986,3,1.71
189,1987,3,0.14
190,1988,3,-0.17
191,1989,3,1.85
192,1990,3,1.46
193,1991,3,-0.2
194,1992,3,0.87
195,1993,3,0.67
196,1994,3,1.26
197,1995,3,1.25
198,1996,3,-0.24
199,1997,3,1.46
200,1998,3,0.87
201,1999,3,0.23
202,2000,3,0.77
203,2001,3,-1.26
204,2002,3,0.69
205,2003,3,0.32
206,2004,3,1.02
207,2005,3,-1.83
208,2006,3,-1.28
209,2007,3,1.44
210,2008,3,0.08
211,2009,3,0.57
212,2010,3,-0.88
213,2011,3,0.61
214,2012,3,1.27
215,2013,3,-1.61
216,2014,3,0.8
217,2015,3,1.45
218,2016,3,0.73
219,2017,3,0.74
220,2018,3,-0.93
221,2019,3,1.23
222,2020,3,1.01
223,2021,3,0.73
224,2022,3,0.77
225,2023,3,-1.11
226,2024,3,-0.21
227,2025,3,
228,1950,4,0.73
229,1951,4,-0.22
230,1952,4,1.01
231,1953,4,-1.67
232,1954,4,1.34
233,1955,4,-0.42
234,1956,4,-1.06
235,1957,4,0.49
236,1958,4,0.37
237,1959,4,0.36
