 STN,YYYYMMDD,   SQ,   SP,    Q,   DR,   RH,  VVN,  VVX,   NG
  260,19900101,    0,    0,   83,    0,   -1,   20,   50,    8
  260,19900102,    0,    0,  112,    0,   -1,    6,   36,    7
  260,19900103,    0,    0,   49,    0,    0,   12,   35,    8
  260,19900104,    0,    0,   48,   10,    1,    7,   50,    7
  260,19900105,    0,    0,   76,    0,    0,   12,   35,    8
  260,19900106,    7,    9,  245,   13,   15,   25,   59,    7
  260,19900107,    6,    8,  174,    1,    2,    9,   56,    8
  260,19900108,    0,    0,   43,    0,   -1,    2,   40,    8
  260,19900109,    0,    0,  104,   10,    2,    1,   35,    8
  260,19900110,    0,    0,   57,    9,    5,    2,   50,    8
  260,19900111,    0,    0,  108,    2,    2,   35,   56,    8
  260,19900112,   38,   47,  297,    0,    0,   12,   65,    4
  260,19900113,    0,    0,   38,   12,    7,    1,   14,    8
  260,19900114,    0,    0,  132,    0,    0,    1,   38,    7
  260,19900115,    0,    0,   48,   85,   29,   20,   56,    8
  260,19900116,    0,    0,  136,    0,   -1,   40,   68,    8
  260,19900117,   34,   41,  356,   16,   26,   20,   80,    5
  260,19900118,   62,   74,  444,    0,    0,   60,   80,    2
  260,19900119,   -1,    0,  210,   25,   27,   56,   68,    8
  260,19900120,   23,   27,  350,   11,    4,   38,   70,    6
  260,19900121,    0,    0,   64,   14,    3,   37,   60,    7
  260,19900122,    0,    0,   43,   25,    6,   35,   62,    8
  260,19900123,    0,    0,   43,  137,  141,   20,   65,    8
  260,19900124,   24,   28,  255,   40,   33,   56,   81,    5
  260,19900125,    0,    0,   58,   54,   73,   35,   78,    7
  260,19900126,   24,   27,  358,   21,   33,   65,   80,    6
  260,19900127,   23,   26,  315,    5,    4,   63,   75,    6
  260,19900128,    2,    2,  146,   53,   51,   59,   80,    7
  260,19900129,   36,   40,  428,    0,   -1,   65,   80,    5
  260,19900130,   13,   15,  263,   22,   12,   65,   75,    7
  260,19900131,    0,    0,  213,    0,   -1,   65,   80,    8
  260,19900201,   25,   28,  353,    0,   -1,   65,   80,    5
  260,19900202,   51,   56,  473,   44,   45,   59,   80,    5
  260,19900203,    0,    0,   61,   67,  127,   35,   70,    6
  260,19900204,   40,   43,  542,    0,    0,   60,   75,    4
  260,19900205,   80,   86,  707,    0,    0,   67,   75,    3
  260,19900206,   66,   70,  660,    0,    0,   60,   75,    4
  260,19900207,    0,    0,   89,   43,   30,   56,   75,    7
  260,19900208,    7,    7,  187,   29,   98,   30,   80,    5
  260,19900209,   40,   42,  501,    0,   -1,   62,   75,    3
  260,19900210,    6,    6,  281,   37,   45,   26,   75,    7
  260,19900211,   31,   32,  496,   57,   74,   56,   80,    6
  260,19900212,   10,   10,  303,   49,   41,   56,   80,    7
  260,19900213,   12,   12,  416,   72,   83,   56,   80,    7
  260,19900214,   -1,    0,  419,    9,    4,   57,   75,    7
  260,19900215,   14,   14,  328,   88,   94,   45,   80,    6
  260,19900216,   88,   88,  826,    0,    0,   63,   75,    1
  260,19900217,    0,    0,  222,    9,    5,   40,   70,    7
  260,19900218,    0,    0,  213,  127,   68,    5,   63,    6
  260,19900219,   52,   51,  695,    0,   -1,    0,   65,    7
  260,19900220,    7,    7,  537,    0,    0,   63,   70,    7
  260,19900221,   43,   42,  541,    1,    1,   43,   80,    3
  260,19900222,   88,   85,  996,    0,    0,   58,   68,    3
  260,19900223,   90,   86,  955,    0,    0,   35,   65,    1
  260,19900224,   38,   36,  762,    0,    0,   25,   68,    5
  260,19900225,   12,   11,  422,   31,   28,   57,   75,    6
  260,19900226,   19,   18,  395,   80,   80,    3,   80,    7
  260,19900227,   17,   16,  372,   31,   36,   58,   80,    7
  260,19900228,    9,    8,  304,   89,  241,   18,   75,    8
  260,19900301,   40,   37,  769,   49,   70,   40,   75,    6
  260,19900302,   52,   48,  813,   17,    8,   15,   80,    4
  260,19900303,   72,   66,  948,    0,   -1,   60,   75,    5
  260,19900304,    0,    0,  267,    0,   -1,   62,   70,    8
  260,19900305,    1,    1,  465,    7,    2,   60,   70,    7
  260,19900306,    0,    0,  409,   17,    8,   57,   68,    8
  260,19900307,    1,    1,  420,    0,   -1,   58,   70,    8
  260,19900308,   24,   21,  598,    0,    0,   50,   65,    7
  260,19900309,    8,    7,  415,    0,   -1,   45,   75,    8
  260,19900310,    4,    3,  439,   50,   30,   20,   67,    7
  260,19900311,   47,   41,  982,    0,    0,   38,   65,    6
  260,19900312,   91,   79, 1222,    0,    0,   56,   75,    2
  260,19900313,   30,   26, 1029,    6,    8,    1,   58,    6
  260,19900314,   84,   72, 1211,    0,   -1,   23,   70,    4
  260,19900315,   92,   78, 1389,    0,    0,   30,   70,    3
