Periods;;Total renew. energy excl. stat. transfer.;Total renew. energy inc. stat. transfer.;Statistical transfer;Total, including non-renewable;Hydropower;Total wind energy;Total solar energy;Total geothermal energy and soil energy;Outside air heat;Renewable cold;Total biomass
1990;% of total final energy consumption;1.20;1.20;;;0.02;0.01;0.01;;.;;1,16
1991;% of total final energy consumption;1,16;1,16;;;0.02;0.02;0.01;.;.;;1,12
1992;% of total final energy consumption;1,21;1,21;;;0.02;0.03;0.01;.;.;;1,16
1993;% of total final energy consumption;1.20;1.20;;;0.02;0.03;0.01;.;.;;1,15
1994;% of total final energy consumption;1,24;1,24;;;0.02;0.04;0.01;0.00;0.00;;1,17
1995;% of total final energy consumption;1.25;1.25;;;0.02;0.06;0.01;0.00;0.00;;1,17
1996;% of total final energy consumption;1,27;1,27;;;0.02;0.07;0.01;0.00;0.00;;1,17
1997;% of total final energy consumption;1,46;1,46;;;0.02;0.08;0.01;0.00;0.00;;1,34
1998;% of total final energy consumption;1,51;1,51;;;0.02;0.10;0.02;0.00;0.00;;1,37
1999;% of total final energy consumption;1.60;1.60;;;0.02;0.11;0.02;0.01;0.00;;1.45
2000;% of total final energy consumption;1.62;1.62;;;0.02;0.13;0.02;0.01;0.00;;1.45
2001;% of total final energy consumption;1.68;1.68;;;0.02;0.14;0.03;0.01;0.00;;1.49
2002;% of total final energy consumption;1.85;1.85;;;0.02;0.17;0.03;0.01;0.00;;1.62
2003;% of total final energy consumption;1.84;1.84;;;0.02;0.22;0.03;0.01;0.00;;1.55
2004;% of total final energy consumption;2,04;2,04;;;0.02;0.27;0.03;0.02;0.00;;1.69
2005;% of total final energy consumption;2.48;2.48;;;0.02;0.32;0.04;0.03;0.00;;2,08
2006;% of total final energy consumption;2.78;2.78;;;0.02;0.40;0.04;0.04;0.00;;2.28
2007;% of total final energy consumption;3.30;3.30;;;0.02;0.51;0.04;0.05;0.00;;2.68
2008;% of total final energy consumption;3.60;3.60;;;0.02;0.62;0.04;0.07;0.01;;2.84
2009;% of total final energy consumption;4.27;4.27;;;0.02;0.73;0.05;0.09;0.02;;3.36
2010;% of total final energy consumption;3.92;3.92;;;0.02;0.69;0.05;0.11;0.02;;3.03
2011;% of total final energy consumption;4.53;4.53;;;0.02;0.78;0.06;0.13;0.03;;3.51
2012;% of total final energy consumption;4.66;4.66;;;0.02;0.81;0.08;0.15;0.04;;3.56
2013;% of total final energy consumption;4.69;4.69;;;0.02;0.88;0.12;0.19;0.06;;3,44
2014;% of total final energy consumption;5.42;5.42;;;0.02;1,04;0.19;0.24;0.08;;3.85
2015;% of total final energy consumption;5.73;5.73;;;0.02;1,22;0.25;0.30;0.10;;3.85
2016;% of total final energy consumption;5.84;5.84;;;0.02;1,44;0.33;0.32;0.13;;3,61
2017;% of total final energy consumption;6.50;6.50;;;0.02;1.65;0.43;0.34;0.17;;3.90
2018;% of total final energy consumption;7.39;7.39;;;0.02;1,71;0.69;0.38;0.22;;4.37
2019;% of total final energy consumption;8.89;8.89;;;0.02;1.87;0.99;0.49;0.30;;5.22
2020;% of total final energy consumption;11.47;14.00;2.53;;0.02;2.58;1.68;0.58;0.41;;6.20
2021;% of total final energy consumption;13,12;13,12;;;0.02;3,41;2,08;0.59;0.52;0.18;6,31
2022;% of total final energy consumption;15,13;15,13;;;0.02;4.15;3,29;0.69;0.76;0.28;5.94
2023 **;% of total final energy consumption;17,42;17,42;;;0.02;5.40;4.00;0.75;1.05;0.33;5.87
