order,seasonal_order,aic,bic,converged,fit_s,lb_p7,lb_p14,lb_p21,lb_p28,lb_p365,stage,strategy
"(0, 0, 1)","(0, 1, 1, 7)",62392.64871718735,62411.72330956713,True,1.2,0.0,0.0,0.0,0.0,0.0,nonseasonal,Filter
"(0, 0, 2)","(0, 1, 1, 7)",61604.11275453554,61629.54460639892,True,1.4,7.686450022201078e-240,1.408799913152391e-283,8.913706564895771e-282,1.5248967117756772e-277,0.0,nonseasonal,Filter
"(1, 0, 0)","(0, 1, 1, 7)",61109.39820786748,61128.47350356458,True,1.3,2.4955662932488768e-47,3.035219445506597e-55,1.0118464536305136e-52,2.9020697053345285e-49,4.982648912096443e-79,nonseasonal,Filter
"(1, 0, 1)","(0, 1, 1, 7)",60898.06803274584,60923.50082258554,True,1.5,5.1306705841245464e-20,1.7620148177116692e-22,6.755532941374665e-20,2.078373621188237e-17,2.3652484715063927e-44,nonseasonal,Filter
"(1, 0, 2)","(0, 1, 1, 7)",60875.10004375875,60906.88985858798,True,2.0,4.608923778119213e-19,2.0428717219846043e-21,1.0185664324232329e-18,2.6467550793899135e-16,4.339271035422183e-43,nonseasonal,Filter
"(2, 0, 0)","(0, 1, 1, 7)",60922.98101336406,60948.41474096018,True,1.5,1.7477880681076264e-19,1.5385448829307306e-22,3.6131580292607585e-20,8.975528788110957e-18,1.4225395921134351e-44,nonseasonal,Filter
"(2, 0, 1)","(0, 1, 1, 7)",60885.770053028515,60917.561040328146,True,2.9,7.319158210328568e-15,3.4075733980240396e-17,1.0444917402650444e-14,1.6847551158789712e-12,1.4395755321629739e-38,nonseasonal,Filter
"(2, 0, 2)","(0, 1, 1, 7)",61082.34388958797,61120.491667383045,False,5.3,2.4806202010192054e-07,5.022695470882552e-14,1.4125887816240072e-15,1.2081901410162063e-15,3.720114388525666e-48,nonseasonal,Filter
"(3, 0, 0)","(0, 1, 1, 7)",60923.331265488036,60955.12342498319,True,1.6,7.648272455516445e-20,1.1290373006466837e-22,3.151261702436325e-20,8.261585284313959e-18,7.877468633576146e-45,nonseasonal,Filter
"(3, 0, 1)","(0, 1, 1, 7)",60903.20070365348,60941.34988841303,True,3.0,6.832628703237241e-18,1.2793648624052105e-20,2.226477796360401e-18,2.91605198319434e-16,2.351586056228933e-40,nonseasonal,Filter
"(3, 0, 2)","(0, 1, 1, 7)",60873.80805467183,60918.31379543275,False,5.3,4.358418934259193e-15,5.4457952597198905e-17,1.4365728421428698e-14,1.7911484536790217e-12,5.2108999172598505e-37,nonseasonal,Filter
"(1, 1, 1)","(0, 1, 1, 7)",60997.969847176384,61023.401699039765,True,3.4,2.318302300686789e-14,2.635731170916757e-21,5.912640987033895e-22,1.220956445956939e-20,3.201083159019354e-45,nonseasonal,Filter
"(0, 1, 1)","(0, 1, 1, 7)",61134.592861703175,61153.666750600714,True,1.4,3.972016296915012e-46,3.9236650155458716e-50,9.161149883314563e-47,2.3261058038954844e-43,4.58862550455141e-65,nonseasonal,Filter
"(3, 0, 2)","(0, 1, 1, 7)",60873.80805467183,60918.31379543275,False,5.0,4.358418934259193e-15,5.4457952597198905e-17,1.4365728421428698e-14,1.7911484536790217e-12,5.2108999172598505e-37,seasonal,Filter
"(3, 0, 2)","(1, 1, 0, 7)",62120.16991032139,62164.67565108231,False,3.2,3.4765275879618494e-15,8.623056581560186e-100,1.4041401467594837e-98,3.4576837194602583e-97,1.3415312217119592e-102,seasonal,Filter
"(3, 0, 2)","(1, 1, 1, 7)",61211.90690124204,61262.770604968806,False,5.4,0.012134823477387091,0.00011443418472105338,0.0017979460730132187,0.01253899607038818,5.6435084845185715e-22,seasonal,Filter
"(3, 0, 2)","(0, 1, 2, 7)",61108.29127137563,61159.14183110226,False,10.4,0.011642833574025036,0.00015192207215062123,0.0021494000480867387,0.015346271934943466,5.105895242612337e-22,seasonal,Filter
"(3, 0, 2)","(1, 0, 1, 7)",60970.7045284069,61021.58135457363,False,2.6,3.5829787238325053e-09,2.588331204488544e-11,1.100026231887992e-09,4.6121345735097656e-08,6.430632997525189e-35,seasonal,Filter
"(3, 0, 2)","(1, 0, 0, 7)",61745.51617439563,61790.03339729152,False,2.6,4.987227453799965e-15,9.681644929696261e-21,2.0827430651194066e-27,9.250639918681468e-42,0.0,seasonal,Filter
"(3, 0, 2)","(0, 0, 1, 7)",62088.29385515193,62132.811078047824,False,1.9,6.24947520119358e-11,6.43905186523099e-92,1.617452585443127e-137,1.4779511729547217e-200,0.0,seasonal,Filter
