order,seasonal_order,aic,bic,converged,fit_s,lb_p7,lb_p14,lb_p21,lb_p28,lb_p365,strategy
"(0, 0, 1)","(0, 1, 1, 7)",62358.844308534084,62377.918900913864,True,0.8,0.0,0.0,0.0,0.0,0.0,OLS-All
"(0, 0, 2)","(0, 1, 1, 7)",61576.92353370856,61602.355385571944,True,1.2,1.7044952453108893e-238,2.0712614467747624e-281,2.3535242208382314e-279,2.608886118807526e-275,0.0,OLS-All
"(1, 0, 0)","(0, 1, 1, 7)",61085.44483600937,61104.520131706464,True,1.4,3.949444786696878e-47,1.618842584235544e-55,5.416516796208048e-53,1.5097603564048263e-49,7.326934976039602e-80,OLS-All
"(1, 0, 1)","(0, 1, 1, 7)",60875.325014295115,60900.75780413482,True,1.8,3.1827901763315077e-19,6.144655440205058e-22,2.310249246786305e-19,6.672985564429665e-17,4.1862631785326704e-44,OLS-All
"(1, 0, 2)","(0, 1, 1, 7)",60852.32822083555,60884.11803566478,True,2.0,2.1466669124649466e-18,5.319409994775358e-21,2.5099556502869506e-18,6.141179944988099e-16,9.142498159240234e-43,OLS-All
"(2, 0, 0)","(0, 1, 1, 7)",60899.17693894692,60924.61066654304,True,1.8,6.847828011885516e-19,2.6715596424667565e-22,6.530637643682898e-20,1.6447367163392168e-17,5.954034299932028e-45,OLS-All
"(2, 0, 1)","(0, 1, 1, 7)",60865.26999019219,60897.06097749182,True,2.6,8.797905085530924e-15,2.8442588763570345e-17,8.395422678059964e-15,1.2246956383666322e-12,1.1680300239744652e-38,OLS-All
"(2, 0, 2)","(0, 1, 1, 7)",60934.16189860011,60972.30967639518,False,5.5,1.0975594273853658e-29,1.5188679856615166e-36,1.4124160054823096e-34,5.955586578243822e-33,1.9152175038198298e-50,OLS-All
"(3, 0, 0)","(0, 1, 1, 7)",60899.334057630695,60931.12621712585,True,1.8,3.348614508856668e-19,2.40452352373503e-22,6.897899868455548e-20,1.8150825598071754e-17,5.4065224196486466e-45,OLS-All
"(3, 0, 1)","(0, 1, 1, 7)",60845.359759775296,60883.50894453485,False,4.4,8.836238697210844e-12,1.3278795746386609e-14,1.7249074477299778e-12,1.3700566593783248e-10,3.691039439544504e-36,OLS-All
