strategy,horizon,mape_universal,mape_own_order,delta,own_order,own_seasonal
OLS-All,1,2.5251868373537474,2.528569135716513,0.003382298362765823,"(3, 0, 1)","(0, 1, 1, 7)"
OLS-All,3,3.347820405526984,3.343553280403139,-0.004267125123845084,"(3, 0, 1)","(0, 1, 1, 7)"
OLS-All,7,4.350503257336104,4.345862898712869,-0.004640358623235308,"(3, 0, 1)","(0, 1, 1, 7)"
OLS-All,30,4.918230232817474,4.857972958640065,-0.06025727417740878,"(3, 0, 1)","(0, 1, 1, 7)"
OLS-All,90,5.5018461224754045,5.485565057868036,-0.016281064607368556,"(3, 0, 1)","(0, 1, 1, 7)"
OLS-All,180,5.244128518963113,5.236408993206159,-0.007719525756954226,"(3, 0, 1)","(0, 1, 1, 7)"
Filter,1,2.5172102076951384,2.529696582556911,0.012486374861772731,"(3, 0, 2)","(0, 1, 1, 7)"
Filter,3,3.4366489350204725,3.4325098562845406,-0.004139078735931889,"(3, 0, 2)","(0, 1, 1, 7)"
Filter,7,4.490026758754571,4.478992982129934,-0.011033776624636893,"(3, 0, 2)","(0, 1, 1, 7)"
Filter,30,4.69120514044944,4.651757408257726,-0.03944773219171349,"(3, 0, 2)","(0, 1, 1, 7)"
Filter,90,5.050120889313758,5.04081434826983,-0.009306541043928362,"(3, 0, 2)","(0, 1, 1, 7)"
Filter,180,4.811108167475071,4.808643326540708,-0.002464840934362833,"(3, 0, 2)","(0, 1, 1, 7)"
PCA,1,2.6929337538078415,2.6993864277504747,0.006452673942633158,"(2, 0, 2)","(0, 1, 1, 7)"
PCA,3,3.945573675531894,3.943243528967924,-0.0023301465639700147,"(2, 0, 2)","(0, 1, 1, 7)"
PCA,7,4.419165784097849,4.40942204772475,-0.009743736373099665,"(2, 0, 2)","(0, 1, 1, 7)"
PCA,30,4.5323444940315385,4.532822946204568,0.0004784521730298863,"(2, 0, 2)","(0, 1, 1, 7)"
PCA,90,4.9943577325914905,4.980689968036782,-0.013667764554708306,"(2, 0, 2)","(0, 1, 1, 7)"
PCA,180,4.458093617358151,4.446889918912769,-0.011203698445382493,"(2, 0, 2)","(0, 1, 1, 7)"
Ridge,1,2.4353560322646555,2.4271325141000673,-0.008223518164588217,"(2, 0, 2)","(0, 1, 1, 7)"
Ridge,3,3.3308417530896945,3.3061672670143456,-0.024674486075348945,"(2, 0, 2)","(0, 1, 1, 7)"
Ridge,7,4.276555112184889,4.24773254442068,-0.028822567764208884,"(2, 0, 2)","(0, 1, 1, 7)"
Ridge,30,4.803156465716045,4.885114260181379,0.08195779446533447,"(2, 0, 2)","(0, 1, 1, 7)"
Ridge,90,5.356563917768022,5.462270861201028,0.10570694343300602,"(2, 0, 2)","(0, 1, 1, 7)"
Ridge,180,5.11245209817605,5.185282372069128,0.07283027389307861,"(2, 0, 2)","(0, 1, 1, 7)"
Lasso,1,2.5216649899867134,2.5236436481516042,0.0019786581648908452,"(2, 0, 2)","(0, 1, 1, 7)"
Lasso,3,3.4083765036690234,3.4028227090672667,-0.005553794601756756,"(2, 0, 2)","(0, 1, 1, 7)"
Lasso,7,4.21308906352191,4.211493030456408,-0.0015960330655016008,"(2, 0, 2)","(0, 1, 1, 7)"
Lasso,30,4.839674252127421,4.824249336095489,-0.015424916031931524,"(2, 0, 2)","(0, 1, 1, 7)"
Lasso,90,5.462316328625036,5.458763812510771,-0.003552516114265103,"(2, 0, 2)","(0, 1, 1, 7)"
Lasso,180,5.2576151237370485,5.254356759684305,-0.003258364052743268,"(2, 0, 2)","(0, 1, 1, 7)"
