variant,strategy,horizon,mape,n,delta_vs_v0,delta_vs_oracle
V0_baseline,OLS-All,1,2.765718250369042,50,0.0,0.24051825036904217
V0_baseline,OLS-All,3,3.8025125669992286,50,0.0,0.4547125669992287
V0_baseline,OLS-All,7,4.225220920477754,50,0.0,-0.12527907952224648
V0_baseline,OLS-All,30,4.768301448543354,50,0.0,-0.149898551456646
V0_baseline,OLS-All,90,5.432136395556645,50,0.0,-0.06966360444335518
V0_baseline,OLS-All,180,5.604072723018791,50,0.0,0.3599727230187906
V1_nwp_proxy,OLS-All,1,2.5362025539349062,50,-0.22951569643413583,0.011002553934906345
V1_nwp_proxy,OLS-All,3,3.372493609656317,50,-0.4300189573429116,0.02469360965631706
V1_nwp_proxy,OLS-All,7,4.225220920477754,50,0.0,-0.12527907952224648
V1_nwp_proxy,OLS-All,30,4.768301448543354,50,0.0,-0.149898551456646
V1_nwp_proxy,OLS-All,90,5.432136395556645,50,0.0,-0.06966360444335518
V1_nwp_proxy,OLS-All,180,5.604072723018791,50,0.0,0.3599727230187906
V2_ar_decay,OLS-All,1,2.6004978299601085,50,-0.1652204204089336,0.07529782996010859
V2_ar_decay,OLS-All,3,3.6249203679862716,50,-0.17759219901295697,0.2771203679862717
V2_ar_decay,OLS-All,7,4.435188573404052,50,0.2099676529262986,0.08468857340405211
V2_ar_decay,OLS-All,30,4.777173790450429,50,0.00887234190707531,-0.14102620954957068
V2_ar_decay,OLS-All,90,5.439428083708027,50,0.007291688151381592,-0.062371916291973584
V2_ar_decay,OLS-All,180,5.6097833324164075,50,0.005710609397616473,0.36568333241640705
V3_trend_clim,OLS-All,1,2.765718250369042,50,0.0,0.24051825036904217
V3_trend_clim,OLS-All,3,3.8025125669992286,50,0.0,0.4547125669992287
V3_trend_clim,OLS-All,7,4.225220920477754,50,0.0,-0.12527907952224648
V3_trend_clim,OLS-All,30,4.788680850550157,50,0.020379402006803105,-0.12951914944984289
V3_trend_clim,OLS-All,90,5.44995215876943,50,0.017815763212785107,-0.05184784123057007
V3_trend_clim,OLS-All,180,5.619163781883177,50,0.01509105886438622,0.3750637818831768
V4_pub_lag,OLS-All,1,2.8135275649271394,50,0.04780931455809734,0.2883275649271395
V4_pub_lag,OLS-All,3,3.843410126080421,50,0.040897559081192636,0.4956101260804213
V4_pub_lag,OLS-All,7,4.48912608678185,50,0.2639051663040961,0.13862608678184962
V4_pub_lag,OLS-All,30,4.924926047284586,50,0.15662459874123247,0.006726047284586478
V4_pub_lag,OLS-All,90,5.584826557896357,50,0.1526901623397121,0.08302655789635693
V4_pub_lag,OLS-All,180,5.908698534662992,50,0.3046258116442013,0.6645985346629919
V0_baseline,Filter,1,2.785708283451807,50,0.0,0.2685082834518071
V0_baseline,Filter,3,3.8558472039608565,50,0.0,0.4192472039608566
V0_baseline,Filter,7,4.287308264429582,50,0.0,-0.20269173557041853
V0_baseline,Filter,30,4.5868696895483545,50,0.0,-0.10433031045164576
V0_baseline,Filter,90,5.339265570613729,50,0.0,0.2891655706137293
V0_baseline,Filter,180,5.3802126454977435,50,0.0,0.5691126454977438
V1_nwp_proxy,Filter,1,2.540811671198769,50,-0.24489661225303783,0.02361167119876928
