strategy,horizon,mape_oracle,mape_real,delta_mape,nrmse_oracle,nrmse_real,delta_nrmse
OLS-All,1,2.5252,2.765718250369042,0.24051825036904217,8.0166,3.416269607953417,-4.600330392046583
OLS-All,3,3.3478,3.8025125669992286,0.4547125669992287,10.36,4.91643115132698,-5.44356884867302
OLS-All,7,4.3505,4.225220920477754,-0.12527907952224648,13.5918,5.83127286994783,-7.76052713005217
OLS-All,30,4.9182,4.768301448543354,-0.149898551456646,13.4894,5.969434125535819,-7.519965874464181
OLS-All,90,5.5018,5.432136395556645,-0.06966360444335518,15.1647,6.819683623104056,-8.345016376895945
OLS-All,180,5.2441,5.604072723018791,0.3599727230187906,15.3099,7.310904594630683,-7.9989954053693175
Filter,1,2.5172,2.785708283451807,0.2685082834518071,8.0357,3.4025201589589362,-4.6331798410410645
Filter,3,3.4366,3.8558472039608565,0.4192472039608566,10.4056,4.924468684166042,-5.481131315833958
Filter,7,4.49,4.287308264429582,-0.20269173557041853,13.6919,5.828492022710534,-7.863407977289467
Filter,30,4.6912,4.5868696895483545,-0.10433031045164576,12.8186,5.706230515440096,-7.112369484559904
Filter,90,5.0501,5.339265570613729,0.2891655706137293,14.1351,6.611581255633283,-7.523518744366717
Filter,180,4.8111,5.3802126454977435,0.5691126454977438,13.7952,7.075246993912445,-6.719953006087555
PCA,1,2.6929,3.064529227954796,0.37162922795479636,8.73,3.7835871860112924,-4.946412813988708
PCA,3,3.9456,4.128094593484715,0.18249459348471442,12.2804,5.466280781604823,-6.814119218395177
PCA,7,4.4192,4.731948407667717,0.3127484076677174,13.4542,5.936048720177823,-7.5181512798221775
PCA,30,4.5323,4.545408347245598,0.013108347245597507,12.0121,5.560590506968352,-6.451509493031648
PCA,90,4.9944,5.070736020479242,0.0763360204792427,13.393,6.208966102039172,-7.184033897960829
PCA,180,4.4581,4.424196518305811,-0.033903481694189,12.5704,5.691638536066783,-6.878761463933216
Ridge,1,2.4354,2.720214286932102,0.284814286932102,7.7878,3.359800132700088,-4.427999867299912
Ridge,3,3.3308,3.8193344711568966,0.48853447115689663,10.2903,4.914531876738157,-5.375768123261843
Ridge,7,4.2766,4.133160517836945,-0.14343948216305513,13.2742,5.721808358959938,-7.552391641040063
Ridge,30,4.8032,4.639570897743137,-0.16362910225686367,13.1145,5.78849902784201,-7.326000972157989
Ridge,90,5.3566,5.295827255669472,-0.06077274433052793,14.811,6.635478731945015,-8.175521268054986
Ridge,180,5.1125,5.407373902011084,0.29487390201108443,14.813,7.05767275415267,-7.75532724584733
Lasso,1,2.5217,2.765477914345658,0.243777914345658,8.0504,3.4160553434968475,-4.634344656503153
Lasso,3,3.4084,3.802703812918888,0.39430381291888805,10.5439,4.916419980496449,-5.627480019503552
Lasso,7,4.2131,4.224972213643292,0.011872213643291829,13.3419,5.8307685624572825,-7.511131437542718
Lasso,30,4.8397,4.766853981049539,-0.07284601895046094,13.316,5.967710342450883,-7.348289657549118
Lasso,90,5.4623,5.430909701889844,-0.031390298110156145,15.1035,6.818016737331095,-8.285483262668905
Lasso,180,5.2576,5.602634398625182,0.3450343986251818,15.369,7.308992877502093,-8.060007122497908
