strategy,nlags,lm_stat,lm_pvalue,f_stat,f_pvalue
OLS-All,7,478.7510819010695,2.9592867729652327e-99,76.87627194134053,2.3904265951569817e-105
OLS-All,28,499.7915682741212,7.435797495799323e-88,20.0887132663863,5.139412387900094e-94
Filter,7,489.1315248540928,1.738984730544394e-101,78.75854296918924,7.320200490875033e-108
Filter,28,512.2271300347775,2.0378110270601504e-90,20.656993625939947,6.382332642479292e-97
PCA,7,454.529528652154,4.7282840456466457e-94,72.52400127100155,1.642845348614308e-99
PCA,28,470.3203143640603,8.497163291895784e-82,18.756856183741903,3.4952555041238766e-87
Ridge,7,456.8991805002293,1.4647417426699887e-94,72.94735665264142,4.429134172094329e-100
Ridge,28,482.98183513023395,2.1339384826556956e-84,19.326500964528837,4.144437683370865e-90
Lasso,7,483.6766951626143,2.5862525047661544e-100,77.76814104222987,1.536422085563532e-106
Lasso,28,504.4054740349166,8.338652278187987e-89,20.299119610654593,4.308368267600832e-95
