strategy,lag,n,lb_stat,df_unadjusted,p_unadjusted,df_adjusted,p_adjusted
OLS-All,7,4281,80.95464394863109,7,8.797308222268046e-15,3,1.9153669716728402e-17
OLS-All,14,4281,111.51407985238892,14,2.84399681362703e-17,10,2.640708319306663e-19
OLS-All,21,4281,114.13825493895564,21,8.394777864951927e-15,17,1.9995466640328117e-16
OLS-All,28,4281,115.76860391804594,28,1.2246052299308532e-12,24,5.465758999665753e-14
OLS-All,365,4281,833.5350564299554,365,1.1680029061578939e-38,361,2.1846003688304723e-39
Filter,7,4281,81.34790122257635,7,7.312830111752651e-15,3,1.5771918776271035e-17
Filter,14,4281,111.1114528610234,14,3.404983256770594e-17,10,3.184073842529964e-19
Filter,21,4281,113.61745597203432,21,1.0437820331123152e-14,17,2.50849697667918e-16
Filter,28,4281,114.95160049023032,28,1.6837160116781104e-12,24,7.619325017730219e-14
Filter,365,4281,832.799810279392,365,1.438241635588854e-38,361,2.6947647943942543e-39
PCA,7,4281,79.29029874674885,7,1.9220850875229932e-14,3,4.357703818697449e-17
PCA,14,4281,115.30703308063654,14,5.197661914654169e-18,10,4.519966121179612e-20
PCA,21,4281,118.6849549884924,21,1.2436799079324454e-15,17,2.7444639569153582e-17
PCA,28,4281,120.8657418411151,28,1.657387241126234e-13,24,6.801164436034128e-15
PCA,365,4281,870.1850622970278,365,3.069940936095542e-43,361,5.271576932524446e-44
Ridge,7,4281,85.52741286016928,7,1.0223402401409867e-15,3,1.9995977658169174e-18
Ridge,14,4281,112.76518998371353,14,1.62468706587247e-17,10,1.4759409110253372e-19
Ridge,21,4281,115.1613404295179,21,5.4693026781865566e-15,17,1.2802040618252726e-16
Ridge,28,4281,116.546728418866,28,9.037620461822423e-13,24,3.981421320549436e-14
Ridge,365,4281,843.4907818108569,365,6.880266607430035e-40,361,1.2568813191281018e-40
Lasso,7,4281,83.1843713265238,7,3.082790365676277e-15,3,6.365522132599776e-18
Lasso,14,4281,114.96143544523302,14,6.0698423589946245e-18,10,5.3095771984350647e-20
Lasso,21,4281,117.7280294011691,21,1.860996900314101e-15,17,4.1722720771194963e-17
Lasso,28,4281,119.6215101547528,28,2.7062159457731155e-13,24,1.1331603968812118e-14
Lasso,365,4281,843.9012627481965,365,6.118759698092285e-40,361,1.1166904220771184e-40
