pair,strategy_A,strategy_B,horizon_days,dm_stat,p_two_sided,p_holm_within_pair,p_holm_joint,significant_5pct,significant_holm_within_pair,significant_holm_joint,mape_A,mape_B,delta_mape_pp
OLS-All vs Filter,OLS-All,Filter,1,0.0934,0.9259,0.9259,1.0,False,False,False,2.5252,2.5172,0.008000000000000007
OLS-All vs Filter,OLS-All,Filter,3,-1.1507,0.2554,0.866,1.0,False,False,False,3.3478,3.4366,-0.08879999999999999
OLS-All vs Filter,OLS-All,Filter,7,-1.0845,0.2835,0.866,1.0,False,False,False,4.3505,4.49,-0.13949999999999996
OLS-All vs Filter,OLS-All,Filter,30,1.4388,0.1566,0.7829999999999999,1.0,False,False,False,4.9182,4.6912,0.22699999999999942
OLS-All vs Filter,OLS-All,Filter,90,1.6293,0.1097,0.6582,1.0,False,False,False,5.5018,5.0501,0.45170000000000066
OLS-All vs Filter,OLS-All,Filter,180,1.2519,0.2165,0.866,1.0,False,False,False,5.2441,4.8111,0.4330000000000007
OLS-All vs Ridge,OLS-All,Ridge,1,2.0612,0.0446,0.2676,1.0,True,False,False,2.5252,2.4354,0.08979999999999988
OLS-All vs Ridge,OLS-All,Ridge,3,0.4996,0.6196,0.6196,1.0,False,False,False,3.3478,3.3308,0.016999999999999904
OLS-All vs Ridge,OLS-All,Ridge,7,1.2119,0.2314,0.5252,1.0,False,False,False,4.3505,4.2766,0.07390000000000008
OLS-All vs Ridge,OLS-All,Ridge,30,1.6912,0.0971,0.48550000000000004,1.0,False,False,False,4.9182,4.8032,0.11499999999999932
OLS-All vs Ridge,OLS-All,Ridge,90,1.4105,0.1647,0.5252,1.0,False,False,False,5.5018,5.3566,0.1452
OLS-All vs Ridge,OLS-All,Ridge,180,1.5345,0.1313,0.5252,1.0,False,False,False,5.2441,5.1125,0.1316000000000006
Filter vs Ridge,Filter,Ridge,1,1.4692,0.1482,0.6015,1.0,False,False,False,2.5172,2.4354,0.08179999999999987
Filter vs Ridge,Filter,Ridge,3,1.5402,0.1299,0.6015,1.0,False,False,False,3.4366,3.3308,0.1057999999999999
Filter vs Ridge,Filter,Ridge,7,1.8739,0.0669,0.4014,1.0,False,False,False,4.49,4.2766,0.21340000000000003
Filter vs Ridge,Filter,Ridge,30,-1.0441,0.3016,0.6015,1.0,False,False,False,4.6912,4.8032,-0.1120000000000001
Filter vs Ridge,Filter,Ridge,90,-1.5811,0.1203,0.6015,1.0,False,False,False,5.0501,5.3566,-0.30650000000000066
Filter vs Ridge,Filter,Ridge,180,-1.1474,0.2568,0.6015,1.0,False,False,False,4.8111,5.1125,-0.3014000000000001
Filter vs Lasso,Filter,Lasso,1,-0.0861,0.9317,1.0,1.0,False,False,False,2.5172,2.5217,-0.0045000000000001705
Filter vs Lasso,Filter,Lasso,3,0.304,0.7624,1.0,1.0,False,False,False,3.4366,3.4084,0.028200000000000003
Filter vs Lasso,Filter,Lasso,7,2.1099,0.04,0.24,1.0,True,False,False,4.49,4.2131,0.27690000000000037
Filter vs Lasso,Filter,Lasso,30,-0.9812,0.3313,0.9939,1.0,False,False,False,4.6912,4.8397,-0.1484999999999994
Filter vs Lasso,Filter,Lasso,90,-1.4319,0.1585,0.7925,1.0,False,False,False,5.0501,5.4623,-0.41220000000000034
Filter vs Lasso,Filter,Lasso,180,-1.3295,0.1898,0.7925,1.0,False,False,False,4.8111,5.2576,-0.44650000000000034
Ridge vs Lasso,Ridge,Lasso,1,-1.6826,0.0988,0.5928,1.0,False,False,False,2.4354,2.5217,-0.08630000000000004
Ridge vs Lasso,Ridge,Lasso,3,-0.9929,0.3256,1.0,1.0,False,False,False,3.3308,3.4084,-0.07759999999999989
Ridge vs Lasso,Ridge,Lasso,7,0.7348,0.466,1.0,1.0,False,False,False,4.2766,4.2131,0.06350000000000033
Ridge vs Lasso,Ridge,Lasso,30,-0.6053,0.5478,1.0,1.0,False,False,False,4.8032,4.8397,-0.03649999999999931
Ridge vs Lasso,Ridge,Lasso,90,-0.9484,0.3476,1.0,1.0,False,False,False,5.3566,5.4623,-0.10569999999999968
Ridge vs Lasso,Ridge,Lasso,180,-1.5916,0.1179,0.5928,1.0,False,False,False,5.1125,5.2576,-0.14510000000000023
Filter vs PCA,Filter,PCA,1,-0.7491,0.4574,1.0,1.0,False,False,False,2.5172,2.6929,-0.17569999999999997
Filter vs PCA,Filter,PCA,3,-1.461,0.1504,0.9024000000000001,1.0,False,False,False,3.4366,3.9456,-0.5090000000000003
Filter vs PCA,Filter,PCA,7,0.1675,0.8677,1.0,1.0,False,False,False,4.49,4.4192,0.0708000000000002
Filter vs PCA,Filter,PCA,30,0.3328,0.7407,1.0,1.0,False,False,False,4.6912,4.5323,0.15890000000000004
Filter vs PCA,Filter,PCA,90,0.1749,0.8618,1.0,1.0,False,False,False,5.0501,4.9944,0.05569999999999986
Filter vs PCA,Filter,PCA,180,0.8945,0.3754,1.0,1.0,False,False,False,4.8111,4.4581,0.35299999999999976
PCA vs Ridge,PCA,Ridge,1,1.0808,0.2851,1.0,1.0,False,False,False,2.6929,2.4354,0.25749999999999984
PCA vs Ridge,PCA,Ridge,3,1.6997,0.0955,0.573,1.0,False,False,False,3.9456,3.3308,0.6148000000000002
PCA vs Ridge,PCA,Ridge,7,0.5889,0.5586,1.0,1.0,False,False,False,4.4192,4.2766,0.14259999999999984
PCA vs Ridge,PCA,Ridge,30,-0.6585,0.5133,1.0,1.0,False,False,False,4.5323,4.8032,-0.27090000000000014
PCA vs Ridge,PCA,Ridge,90,-0.9647,0.3394,1.0,1.0,False,False,False,4.9944,5.3566,-0.3622000000000005
PCA vs Ridge,PCA,Ridge,180,-1.286,0.2045,1.0,1.0,False,False,False,4.4581,5.1125,-0.6543999999999999
