pair,strategy_A,strategy_B,horizon_days,n_origins,m_origin_units,nw_truncation,dm_stat_original,p_original,dm_stat_corrected,p_corrected,sig_original,sig_corrected,p_holm_within_pair,significant_holm_within_pair,p_holm_joint,significant_holm_joint
OLS-All vs Filter,OLS-All,Filter,1,50,1,0,0.0925,0.9267,0.0934,0.9259,False,False,0.9259,False,1.0,False
OLS-All vs Filter,OLS-All,Filter,3,50,1,0,-1.1871,0.2409,-1.1507,0.2554,False,False,0.866,False,1.0,False
OLS-All vs Filter,OLS-All,Filter,7,50,1,0,-1.2217,0.2277,-1.0845,0.2835,False,False,0.866,False,1.0,False
OLS-All vs Filter,OLS-All,Filter,30,50,2,1,3.9464,0.0003,1.4388,0.1566,True,False,0.783,False,1.0,False
OLS-All vs Filter,OLS-All,Filter,90,50,6,5,3.0737,0.0034,1.6293,0.1097,True,False,0.6582,False,1.0,False
OLS-All vs Filter,OLS-All,Filter,180,50,12,11,0.6999,0.4873,1.2519,0.2165,False,False,0.866,False,1.0,False
OLS-All vs Ridge,OLS-All,Ridge,1,50,1,0,2.0405,0.0467,2.0612,0.0446,True,True,0.2676,False,1.0,False
OLS-All vs Ridge,OLS-All,Ridge,3,50,1,0,0.5154,0.6086,0.4996,0.6196,False,False,0.6196,False,1.0,False
OLS-All vs Ridge,OLS-All,Ridge,7,50,1,0,1.3652,0.1784,1.2119,0.2314,False,False,0.5252,False,1.0,False
OLS-All vs Ridge,OLS-All,Ridge,30,50,2,1,4.3813,0.0001,1.6912,0.0971,True,False,0.4855,False,1.0,False
OLS-All vs Ridge,OLS-All,Ridge,90,50,6,5,2.4166,0.0194,1.4105,0.1647,True,False,0.5252,False,1.0,False
OLS-All vs Ridge,OLS-All,Ridge,180,50,12,11,0.6574,0.514,1.5345,0.1313,False,False,0.5252,False,1.0,False
Filter vs Ridge,Filter,Ridge,1,50,1,0,1.4545,0.1522,1.4692,0.1482,False,False,0.6015,False,1.0,False
Filter vs Ridge,Filter,Ridge,3,50,1,0,1.589,0.1185,1.5402,0.1299,False,False,0.6015,False,1.0,False
Filter vs Ridge,Filter,Ridge,7,50,1,0,2.1109,0.0399,1.8739,0.0669,True,False,0.4014,False,1.0,False
Filter vs Ridge,Filter,Ridge,30,50,2,1,-2.8552,0.0063,-1.0441,0.3016,True,False,0.6015,False,1.0,False
Filter vs Ridge,Filter,Ridge,90,50,6,5,-2.8426,0.0065,-1.5811,0.1203,True,False,0.6015,False,1.0,False
Filter vs Ridge,Filter,Ridge,180,50,12,11,-0.66,0.5124,-1.1474,0.2568,False,False,0.6015,False,1.0,False
Filter vs Lasso,Filter,Lasso,1,50,1,0,-0.0852,0.9324,-0.0861,0.9317,False,False,1.0,False,1.0,False
Filter vs Lasso,Filter,Lasso,3,50,1,0,0.3136,0.7552,0.304,0.7624,False,False,1.0,False,1.0,False
Filter vs Lasso,Filter,Lasso,7,50,1,0,2.3769,0.0214,2.1099,0.04,True,True,0.24,False,1.0,False
Filter vs Lasso,Filter,Lasso,30,50,2,1,-2.7509,0.0083,-0.9812,0.3313,True,False,0.9939,False,1.0,False
Filter vs Lasso,Filter,Lasso,90,50,6,5,-2.6734,0.0102,-1.4319,0.1585,True,False,0.7925,False,1.0,False
Filter vs Lasso,Filter,Lasso,180,50,12,11,-0.6837,0.4974,-1.3295,0.1898,False,False,0.7925,False,1.0,False
Ridge vs Lasso,Ridge,Lasso,1,50,1,0,-1.6657,0.1022,-1.6826,0.0988,False,False,0.5928,False,1.0,False
Ridge vs Lasso,Ridge,Lasso,3,50,1,0,-1.0244,0.3107,-0.9929,0.3256,False,False,1.0,False,1.0,False
Ridge vs Lasso,Ridge,Lasso,7,50,1,0,0.8277,0.4118,0.7348,0.466,False,False,1.0,False,1.0,False
Ridge vs Lasso,Ridge,Lasso,30,50,2,1,-1.6581,0.1037,-0.6053,0.5478,False,False,1.0,False,1.0,False
Ridge vs Lasso,Ridge,Lasso,90,50,6,5,-1.6111,0.1136,-0.9484,0.3476,False,False,1.0,False,1.0,False
Ridge vs Lasso,Ridge,Lasso,180,50,12,11,-0.5854,0.561,-1.5916,0.1179,False,False,0.5928,False,1.0,False
Filter vs PCA,Filter,PCA,1,50,1,0,-0.7416,0.4619,-0.7491,0.4574,False,False,1.0,False,1.0,False
Filter vs PCA,Filter,PCA,3,50,1,0,-1.5073,0.1382,-1.461,0.1504,False,False,0.9024,False,1.0,False
Filter vs PCA,Filter,PCA,7,50,1,0,0.1886,0.8512,0.1675,0.8677,False,False,1.0,False,1.0,False
Filter vs PCA,Filter,PCA,30,50,2,1,0.8742,0.3863,0.3328,0.7407,False,False,1.0,False,1.0,False
