model,horizon_days,mape_pct,nrmse_pct,n_eval_points
SARIMAX-realistic (OLS-All),1,2.765718250369042,3.416269607953417,50
SARIMAX-realistic (OLS-All),3,3.8025125669992286,4.91643115132698,50
SARIMAX-realistic (OLS-All),7,4.225220920477754,5.83127286994783,50
SARIMAX-realistic (OLS-All),30,4.768301448543354,5.969434125535819,50
SARIMAX-realistic (OLS-All),90,5.432136395556645,6.819683623104056,50
SARIMAX-realistic (OLS-All),180,5.604072723018791,7.310904594630683,50
SARIMAX-realistic (Filter),1,2.785708283451807,3.4025201589589362,50
SARIMAX-realistic (Filter),3,3.8558472039608565,4.924468684166042,50
SARIMAX-realistic (Filter),7,4.287308264429582,5.828492022710534,50
SARIMAX-realistic (Filter),30,4.5868696895483545,5.706230515440096,50
SARIMAX-realistic (Filter),90,5.339265570613729,6.611581255633283,50
SARIMAX-realistic (Filter),180,5.3802126454977435,7.075246993912445,50
SARIMAX-realistic (PCA),1,3.064529227954796,3.7835871860112924,50
SARIMAX-realistic (PCA),3,4.128094593484715,5.466280781604823,50
SARIMAX-realistic (PCA),7,4.731948407667717,5.936048720177823,50
SARIMAX-realistic (PCA),30,4.545408347245598,5.560590506968352,50
SARIMAX-realistic (PCA),90,5.070736020479242,6.208966102039172,50
SARIMAX-realistic (PCA),180,4.424196518305811,5.691638536066783,50
SARIMAX-realistic (Ridge),1,2.720214286932102,3.359800132700088,50
SARIMAX-realistic (Ridge),3,3.8193344711568966,4.914531876738157,50
SARIMAX-realistic (Ridge),7,4.133160517836945,5.721808358959938,50
SARIMAX-realistic (Ridge),30,4.639570897743137,5.78849902784201,50
SARIMAX-realistic (Ridge),90,5.295827255669472,6.635478731945015,50
SARIMAX-realistic (Ridge),180,5.407373902011084,7.05767275415267,50
SARIMAX-realistic (Lasso),1,2.765477914345658,3.4160553434968475,50
SARIMAX-realistic (Lasso),3,3.802703812918888,4.916419980496449,50
SARIMAX-realistic (Lasso),7,4.224972213643292,5.8307685624572825,50
SARIMAX-realistic (Lasso),30,4.766853981049539,5.967710342450883,50
SARIMAX-realistic (Lasso),90,5.430909701889844,6.818016737331095,50
SARIMAX-realistic (Lasso),180,5.602634398625182,7.308992877502093,50
