strategy,window,feature,coef
OLS-All,train,temp_c,-76.29395284639281
OLS-All,train,wind_ms,-7.101585174695742
OLS-All,train,precip_mm,39.655821455860725
OLS-All,train,sunshine_h,-129.3821677904429
OLS-All,train,global_rad,31.180240753809045
OLS-All,train,pressure_hpa,-33.93349912082918
OLS-All,train,humidity_pct,-28.29812494124502
OLS-All,train,cloudiness,-23.59197396758602
OLS-All,train,nao,45.70704703229903
OLS-All,train,price_eur_kwh,-17.250249669979148
OLS-All,train,gdp_mln_eur,352.3931018582891
OLS-All,train,population,351.98382150583444
OLS-All,train,wind_energy_gwh,-220.22479470486437
OLS-All,train,solar_energy_gwh,-478.54095498330355
OLS-All,train,day_of_week,-2.294494598495182
OLS-All,train,month,-24.840670010687262
OLS-All,train,is_weekend,-1787.1117740408274
OLS-All,train,is_holiday,-1608.1534238115325
OLS-All,train,sin1_ann,29.150756942780177
OLS-All,train,cos1_ann,748.029289478772
OLS-All,train,sin2_ann,-2.858043939013671
OLS-All,train,cos2_ann,301.3756622247209
OLS-All,train+val,temp_c,-108.54805784131374
OLS-All,train+val,wind_ms,-2.258449831165194
OLS-All,train+val,precip_mm,48.774021663983696
OLS-All,train+val,sunshine_h,-143.83779992437573
OLS-All,train+val,global_rad,18.021619609550086
OLS-All,train+val,pressure_hpa,-19.159194002089087
OLS-All,train+val,humidity_pct,-9.12441274595625
OLS-All,train+val,cloudiness,3.7358596325593005
OLS-All,train+val,nao,71.64013448615815
OLS-All,train+val,price_eur_kwh,8.52230350908436
OLS-All,train+val,gdp_mln_eur,-84.85441394879066
OLS-All,train+val,population,680.8661714412722
OLS-All,train+val,wind_energy_gwh,-263.8776449268437
OLS-All,train+val,solar_energy_gwh,-351.56315634745647
OLS-All,train+val,day_of_week,-4.2802584780978155
OLS-All,train+val,month,-26.067387771207336
OLS-All,train+val,is_weekend,-1710.036445113006
OLS-All,train+val,is_holiday,-1501.136314733822
OLS-All,train+val,sin1_ann,35.40458547910808
OLS-All,train+val,cos1_ann,721.331802755125
OLS-All,train+val,sin2_ann,20.445284411940335
OLS-All,train+val,cos2_ann,253.4452318715087
OLS-All,train+val+test,temp_c,-118.71054844654134
OLS-All,train+val+test,wind_ms,11.802913638385462
OLS-All,train+val+test,precip_mm,35.793061226982616
OLS-All,train+val+test,sunshine_h,-183.72158568588605
OLS-All,train+val+test,global_rad,69.38786061400572
OLS-All,train+val+test,pressure_hpa,-26.416332020189657
OLS-All,train+val+test,humidity_pct,20.225870814754842
OLS-All,train+val+test,cloudiness,-24.24067524272467
OLS-All,train+val+test,nao,89.0094393436348
OLS-All,train+val+test,price_eur_kwh,44.914328104968234
OLS-All,train+val+test,gdp_mln_eur,309.6828313478244
OLS-All,train+val+test,population,161.0876022101966
OLS-All,train+val+test,wind_energy_gwh,-159.21479078105915
OLS-All,train+val+test,solar_energy_gwh,-319.5944977353239
OLS-All,train+val+test,day_of_week,-5.56045524879388
OLS-All,train+val+test,month,-27.10247815209445
OLS-All,train+val+test,is_weekend,-1665.7926431066226
OLS-All,train+val+test,is_holiday,-1460.8012879904345
OLS-All,train+val+test,sin1_ann,-39.741935067157755
OLS-All,train+val+test,cos1_ann,682.7385278488094
OLS-All,train+val+test,sin2_ann,11.086361101227514
OLS-All,train+val+test,cos2_ann,322.9465386090482
Filter,train,temp_c,-70.5298994953713
Filter,train,wind_ms,-7.374029439696756
Filter,train,precip_mm,37.56620819187226
Filter,train,global_rad,-112.82308609449358
Filter,train,pressure_hpa,-35.03205959017845
Filter,train,humidity_pct,-28.726254937607777
Filter,train,cloudiness,9.974159296515111
Filter,train,nao,56.25153366264201
Filter,train,price_eur_kwh,-57.16542506946683
Filter,train,gdp_mln_eur,637.5960059678217
Filter,train,wind_energy_gwh,-190.6818974469815
