strategy,horizon,mape_static,mape_refit,delta
OLS-All,1,2.5251868373537474,2.334524511648535,-0.19066232570521224
OLS-All,3,3.347820405526984,3.2814867426944545,-0.0663336628325295
OLS-All,7,4.350503257336104,4.301389348446312,-0.04911390888979206
OLS-All,30,4.918230232817474,5.966739934573237,1.048509701755763
OLS-All,90,5.5018461224754045,6.818707680637787,1.3168615581623824
OLS-All,180,5.244128518963113,6.7448153904007295,1.5006868714376163
Filter,1,2.5172102076951384,2.3694471298123934,-0.147763077882745
Filter,3,3.4366489350204725,3.3371338946403912,-0.0995150403800813
Filter,7,4.490026758754571,4.394598577705407,-0.09542818104916329
Filter,30,4.69120514044944,5.855763776833183,1.1645586363837435
Filter,90,5.050120889313758,6.617873490982898,1.5677526016691399
Filter,180,4.811108167475071,6.074514283786529,1.263406116311458
PCA,1,2.6929337538078415,2.284236591830276,-0.40869716197756567
PCA,3,3.945573675531894,3.4340098779814046,-0.5115637975504894
PCA,7,4.419165784097849,4.379319349177931,-0.03984643491991857
PCA,30,4.5323444940315385,5.403371245105809,0.8710267510742709
PCA,90,4.9943577325914905,5.927849775059607,0.9334920424681163
PCA,180,4.458093617358151,5.503387220537052,1.0452936031789006
Ridge,1,2.4353560322646555,2.2949342610491263,-0.14042177121552912
Ridge,3,3.3308417530896945,3.2734668551147683,-0.05737489797492623
Ridge,7,4.276555112184889,4.241219764688548,-0.03533534749634093
Ridge,30,4.803156465716045,5.934695826139879,1.131539360423834
Ridge,90,5.356563917768022,6.79778014386534,1.4412162260973176
Ridge,180,5.11245209817605,6.6636219209572785,1.5511698227812287
Lasso,1,2.5216649899867134,2.3323651764673072,-0.18929981351940617
Lasso,3,3.4083765036690234,3.263696102498809,-0.14468040117021452
Lasso,7,4.21308906352191,4.416470077720245,0.2033810141983352
Lasso,30,4.839674252127421,5.692235399501096,0.8525611473736756
Lasso,90,5.462316328625036,6.555179792791639,1.0928634641666033
Lasso,180,5.2576151237370485,5.9698028794304445,0.712187755693396
