Date,STN,SQ,SP,Q,Q_MJ_m2,NG,DR,RH,VVN,VVX
1990-01-01,260,0.0,0,83,0.8300000000000001,8.0,0,,20,50.0
1990-01-02,260,0.0,0,112,1.12,7.0,0,,6,36.0
1990-01-03,260,0.0,0,49,0.49,8.0,0,0.0,12,35.0
1990-01-04,260,0.0,0,48,0.48,7.0,10,1.0,7,50.0
1990-01-05,260,0.0,0,76,0.76,8.0,0,0.0,12,35.0
1990-01-06,260,0.7,9,245,2.45,7.0,13,15.0,25,59.0
1990-01-07,260,0.6,8,174,1.74,8.0,1,2.0,9,56.0
1990-01-08,260,0.0,0,43,0.43,8.0,0,,2,40.0
1990-01-09,260,0.0,0,104,1.04,8.0,10,2.0,1,35.0
1990-01-10,260,0.0,0,57,0.5700000000000001,8.0,9,5.0,2,50.0
1990-01-11,260,0.0,0,108,1.08,8.0,2,2.0,35,56.0
1990-01-12,260,3.8,47,297,2.97,4.0,0,0.0,12,65.0
1990-01-13,260,0.0,0,38,0.38,8.0,12,7.0,1,14.0
1990-01-14,260,0.0,0,132,1.32,7.0,0,0.0,1,38.0
1990-01-15,260,0.0,0,48,0.48,8.0,85,29.0,20,56.0
1990-01-16,260,0.0,0,136,1.36,8.0,0,,40,68.0
1990-01-17,260,3.4,41,356,3.56,5.0,16,26.0,20,80.0
1990-01-18,260,6.2,74,444,4.44,2.0,0,0.0,60,80.0
1990-01-19,260,,0,210,2.1,8.0,25,27.0,56,68.0
1990-01-20,260,2.3,27,350,3.5,6.0,11,4.0,38,70.0
1990-01-21,260,0.0,0,64,0.64,7.0,14,3.0,37,60.0
1990-01-22,260,0.0,0,43,0.43,8.0,25,6.0,35,62.0
1990-01-23,260,0.0,0,43,0.43,8.0,137,141.0,20,65.0
1990-01-24,260,2.4,28,255,2.5500000000000003,5.0,40,33.0,56,81.0
1990-01-25,260,0.0,0,58,0.58,7.0,54,73.0,35,78.0
1990-01-26,260,2.4,27,358,3.58,6.0,21,33.0,65,80.0
1990-01-27,260,2.3,26,315,3.15,6.0,5,4.0,63,75.0
1990-01-28,260,0.2,2,146,1.46,7.0,53,51.0,59,80.0
1990-01-29,260,3.6,40,428,4.28,5.0,0,,65,80.0
1990-01-30,260,1.3,15,263,2.63,7.0,22,12.0,65,75.0
1990-01-31,260,0.0,0,213,2.13,8.0,0,,65,80.0
1990-02-01,260,2.5,28,353,3.5300000000000002,5.0,0,,65,80.0
1990-02-02,260,5.1,56,473,4.73,5.0,44,45.0,59,80.0
1990-02-03,260,0.0,0,61,0.61,6.0,67,127.0,35,70.0
1990-02-04,260,4.0,43,542,5.42,4.0,0,0.0,60,75.0
1990-02-05,260,8.0,86,707,7.07,3.0,0,0.0,67,75.0
1990-02-06,260,6.6,70,660,6.6000000000000005,4.0,0,0.0,60,75.0
1990-02-07,260,0.0,0,89,0.89,7.0,43,30.0,56,75.0
1990-02-08,260,0.7,7,187,1.87,5.0,29,98.0,30,80.0
1990-02-09,260,4.0,42,501,5.01,3.0,0,,62,75.0
1990-02-10,260,0.6,6,281,2.81,7.0,37,45.0,26,75.0
1990-02-11,260,3.1,32,496,4.96,6.0,57,74.0,56,80.0
1990-02-12,260,1.0,10,303,3.0300000000000002,7.0,49,41.0,56,80.0
1990-02-13,260,1.2,12,416,4.16,7.0,72,83.0,56,80.0
1990-02-14,260,,0,419,4.19,7.0,9,4.0,57,75.0
1990-02-15,260,1.4,14,328,3.2800000000000002,6.0,88,94.0,45,80.0
1990-02-16,260,8.8,88,826,8.26,1.0,0,0.0,63,75.0
1990-02-17,260,0.0,0,222,2.22,7.0,9,5.0,40,70.0
1990-02-18,260,0.0,0,213,2.13,6.0,127,68.0,5,63.0
1990-02-19,260,5.2,51,695,6.95,7.0,0,,0,65.0
1990-02-20,260,0.7,7,537,5.37,7.0,0,0.0,63,70.0
1990-02-21,260,4.3,42,541,5.41,3.0,1,1.0,43,80.0
1990-02-22,260,8.8,85,996,9.96,3.0,0,0.0,58,68.0
1990-02-23,260,9.0,86,955,9.55,1.0,0,0.0,35,65.0
1990-02-24,260,3.8,36,762,7.62,5.0,0,0.0,25,68.0
1990-02-25,260,1.2,11,422,4.22,6.0,31,28.0,57,75.0
1990-02-26,260,1.9,18,395,3.95,7.0,80,80.0,3,80.0
1990-02-27,260,1.7,16,372,3.72,7.0,31,36.0,58,80.0
1990-02-28,260,0.9,8,304,3.04,8.0,89,241.0,18,75.0
1990-03-01,260,4.0,37,769,7.69,6.0,49,70.0,40,75.0
1990-03-02,260,5.2,48,813,8.13,4.0,17,8.0,15,80.0
1990-03-03,260,7.2,66,948,9.48,5.0,0,,60,75.0
1990-03-04,260,0.0,0,267,2.67,8.0,0,,62,70.0
1990-03-05,260,0.1,1,465,4.65,7.0,7,2.0,60,70.0
1990-03-06,260,0.0,0,409,4.09,8.0,17,8.0,57,68.0
1990-03-07,260,0.1,1,420,4.2,8.0,0,,58,70.0
1990-03-08,260,2.4,21,598,5.98,7.0,0,0.0,50,65.0
1990-03-09,260,0.8,7,415,4.15,8.0,0,,45,75.0
1990-03-10,260,0.4,3,439,4.39,7.0,50,30.0,20,67.0
1990-03-11,260,4.7,41,982,9.82,6.0,0,0.0,38,65.0
1990-03-12,260,9.1,79,1222,12.22,2.0,0,0.0,56,75.0
1990-03-13,260,3.0,26,1029,10.290000000000001,6.0,6,8.0,1,58.0
1990-03-14,260,8.4,72,1211,12.11,4.0,0,,23,70.0
1990-03-15,260,9.2,78,1389,13.89,3.0,0,0.0,30,70.0
1990-03-16,260,9.8,83,1412,14.120000000000001,0.0,0,0.0,30,61.0
1990-03-17,260,9.8,82,1406,14.06,0.0,0,0.0,25,59.0
1990-03-18,260,10.4,87,1475,14.75,0.0,0,0.0,45,65.0
1990-03-19,260,0.2,2,550,5.5,6.0,34,36.0,25,65.0
