fourier,strategy,feature,vif
without,OLS-All,temp_c,2.42
without,OLS-All,wind_ms,1.794
without,OLS-All,precip_mm,1.327
without,OLS-All,sunshine_h,10.239
without,OLS-All,global_rad,12.503
without,OLS-All,pressure_hpa,1.388
without,OLS-All,humidity_pct,3.617
without,OLS-All,cloudiness,3.382
without,OLS-All,nao,1.225
without,OLS-All,price_eur_kwh,1.541
without,OLS-All,gdp_mln_eur,26.494
without,OLS-All,population,33.54
without,OLS-All,wind_energy_gwh,4.503
without,OLS-All,solar_energy_gwh,3.4
without,Filter,temp_c,2.221
without,Filter,wind_ms,1.777
without,Filter,precip_mm,1.325
without,Filter,global_rad,6.141
without,Filter,pressure_hpa,1.388
without,Filter,humidity_pct,3.606
without,Filter,cloudiness,1.877
without,Filter,nao,1.211
without,Filter,price_eur_kwh,1.127
without,Filter,gdp_mln_eur,5.977
without,Filter,wind_energy_gwh,3.985
without,Filter,solar_energy_gwh,2.85
without,PCA,PC1,1.0
without,PCA,PC2,1.0
without,PCA,PC3,1.0
without,PCA,PC4,1.0
without,PCA,PC5,1.0
without,PCA,PC6,1.0
without,PCA,PC7,1.0
without,PCA,PC8,1.0
without,PCA,PC9,1.0
without,Ridge,temp_c,2.42
without,Ridge,wind_ms,1.794
without,Ridge,precip_mm,1.327
without,Ridge,sunshine_h,10.239
without,Ridge,global_rad,12.503
without,Ridge,pressure_hpa,1.388
without,Ridge,humidity_pct,3.617
without,Ridge,cloudiness,3.382
without,Ridge,nao,1.225
without,Ridge,price_eur_kwh,1.541
without,Ridge,gdp_mln_eur,26.494
without,Ridge,population,33.54
without,Ridge,wind_energy_gwh,4.503
without,Ridge,solar_energy_gwh,3.4
without,Lasso,temp_c,2.229
without,Lasso,precip_mm,1.221
without,Lasso,sunshine_h,5.578
without,Lasso,global_rad,8.806
without,Lasso,pressure_hpa,1.233
without,Lasso,nao,1.193
without,Lasso,gdp_mln_eur,19.282
without,Lasso,population,24.631
without,Lasso,wind_energy_gwh,4.424
without,Lasso,solar_energy_gwh,3.294
with,OLS-All,temp_c,4.5
with,OLS-All,wind_ms,1.836
with,OLS-All,precip_mm,1.369
with,OLS-All,sunshine_h,15.008
with,OLS-All,global_rad,27.469
with,OLS-All,pressure_hpa,1.393
with,OLS-All,humidity_pct,3.723
with,OLS-All,cloudiness,3.442
with,OLS-All,nao,1.389
with,OLS-All,price_eur_kwh,1.805
with,OLS-All,gdp_mln_eur,37.094
with,OLS-All,population,42.988
with,OLS-All,wind_energy_gwh,4.82
with,OLS-All,solar_energy_gwh,3.498
with,OLS-All,sin1_ann,2.164
with,OLS-All,cos1_ann,9.371
with,OLS-All,sin2_ann,1.027
with,OLS-All,cos2_ann,1.519
with,Filter,temp_c,4.458
with,Filter,wind_ms,1.83
with,Filter,precip_mm,1.364
with,Filter,global_rad,9.47
with,Filter,pressure_hpa,1.392
with,Filter,humidity_pct,3.723
with,Filter,cloudiness,2.34
with,Filter,nao,1.357
with,Filter,price_eur_kwh,1.236
with,Filter,gdp_mln_eur,6.832
with,Filter,wind_energy_gwh,4.549
with,Filter,solar_energy_gwh,3.105
with,Filter,sin1_ann,2.035
with,Filter,cos1_ann,6.843
with,Filter,sin2_ann,1.016
with,Filter,cos2_ann,1.158
with,PCA,PC1,3.555
with,PCA,PC2,1.122
with,PCA,PC3,2.331
with,PCA,PC4,2.056
with,PCA,PC5,1.078
with,PCA,PC6,1.056
with,PCA,PC7,1.418
with,PCA,PC8,1.04
with,PCA,PC9,1.16
with,PCA,sin1_ann,1.606
with,PCA,cos1_ann,6.16
with,PCA,sin2_ann,1.005
with,PCA,cos2_ann,1.025
with,Ridge,temp_c,4.5
with,Ridge,wind_ms,1.836
with,Ridge,precip_mm,1.369
with,Ridge,sunshine_h,15.008
with,Ridge,global_rad,27.469
with,Ridge,pressure_hpa,1.393
with,Ridge,humidity_pct,3.723
with,Ridge,cloudiness,3.442
with,Ridge,nao,1.389
with,Ridge,price_eur_kwh,1.805
with,Ridge,gdp_mln_eur,37.094
with,Ridge,population,42.988
with,Ridge,wind_energy_gwh,4.82
with,Ridge,solar_energy_gwh,3.498
with,Ridge,sin1_ann,2.164
with,Ridge,cos1_ann,9.371
with,Ridge,sin2_ann,1.027
with,Ridge,cos2_ann,1.519
with,Lasso,temp_c,4.312
with,Lasso,precip_mm,1.258
with,Lasso,sunshine_h,10.159
with,Lasso,global_rad,23.993
with,Lasso,pressure_hpa,1.262
with,Lasso,nao,1.375
with,Lasso,gdp_mln_eur,24.59
with,Lasso,population,29.438
with,Lasso,wind_energy_gwh,4.772
with,Lasso,solar_energy_gwh,3.448
with,Lasso,sin1_ann,1.882
with,Lasso,cos1_ann,9.123
with,Lasso,sin2_ann,1.023
with,Lasso,cos2_ann,1.364
