strategy,feature,mean_abs_shap_in_sample,mean_abs_shap_train_to_test
OLS-All,temp_c,179.3339385986328,120.01710510253906
OLS-All,wind_ms,48.023040771484375,8.02286434173584
OLS-All,precip_mm,6.419530868530273,5.844863414764404
OLS-All,sunshine_h,12.802173614501953,33.62959289550781
OLS-All,global_rad,106.10240936279297,44.84638595581055
OLS-All,pressure_hpa,13.729084968566895,5.045557498931885
OLS-All,humidity_pct,12.717161178588867,19.06039810180664
OLS-All,cloudiness,1.9640780687332153,10.199944496154785
OLS-All,nao,12.999979019165039,11.193037033081055
OLS-All,price_eur_kwh,4.851375579833984,19.109210968017578
OLS-All,gdp_mln_eur,79.25885009765625,83.21435546875
OLS-All,population,31.41407585144043,145.40159606933594
OLS-All,wind_energy_gwh,5.500023365020752,55.33557891845703
OLS-All,solar_energy_gwh,2.980436086654663,96.70639038085938
OLS-All,day_of_week,97.29463195800781,99.42134094238281
OLS-All,month,11.394217491149902,9.235122680664062
OLS-All,is_weekend,22.27975082397461,2.5802600383758545
OLS-All,is_holiday,28.03148651123047,15.158413887023926
OLS-All,sin1_ann,61.42037582397461,22.32341957092285
OLS-All,cos1_ann,145.35031127929688,62.197025299072266
OLS-All,sin2_ann,10.703015327453613,10.22123908996582
OLS-All,cos2_ann,10.844429969787598,7.48142147064209
Filter,temp_c,181.4121856689453,120.2611312866211
Filter,wind_ms,43.884849548339844,7.178873538970947
Filter,precip_mm,8.865046501159668,2.5707831382751465
Filter,sunshine_h,22.667566299438477,54.58782958984375
Filter,global_rad,124.88636016845703,42.07020950317383
Filter,pressure_hpa,14.745210647583008,3.996090888977051
Filter,humidity_pct,9.071540832519531,18.194416046142578
Filter,cloudiness,3.9595911502838135,2.875361919403076
Filter,nao,12.444132804870605,15.836703300476074
Filter,price_eur_kwh,12.74111557006836,20.52654266357422
Filter,gdp_mln_eur,79.03559875488281,150.68099975585938
Filter,population,109.22886657714844,96.9944839477539
Filter,wind_energy_gwh,6.788468360900879,20.330341339111328
Filter,solar_energy_gwh,0.9748844504356384,71.5783462524414
Filter,day_of_week,89.29914855957031,90.87775421142578
Filter,month,11.694886207580566,9.268546104431152
Filter,is_weekend,29.869443893432617,2.839616537094116
Filter,is_holiday,28.0048885345459,15.88819408416748
Filter,sin1_ann,53.97203063964844,29.326210021972656
Filter,cos1_ann,102.14845275878906,65.21581268310547
Filter,sin2_ann,16.865102767944336,10.289690971374512
Filter,cos2_ann,11.415050506591797,8.740558624267578
PCA,temp_c,219.68360900878906,135.93649291992188
PCA,wind_ms,56.01134490966797,9.371526718139648
PCA,precip_mm,10.746932029724121,11.411701202392578
PCA,sunshine_h,26.66112518310547,56.45170593261719
PCA,global_rad,86.00914764404297,12.243756294250488
PCA,pressure_hpa,15.968011856079102,4.600964069366455
PCA,humidity_pct,13.137065887451172,5.565625190734863
PCA,cloudiness,1.8333368301391602,21.807310104370117
PCA,nao,13.517376899719238,12.09614372253418
PCA,price_eur_kwh,1.800305724143982,9.17705249786377
PCA,gdp_mln_eur,50.97241973876953,10.142308235168457
PCA,population,35.02943801879883,468.79217529296875
PCA,wind_energy_gwh,2.4523351192474365,100.54422760009766
PCA,solar_energy_gwh,0.6721991300582886,21.463441848754883
PCA,day_of_week,96.9395751953125,89.77433776855469
PCA,month,35.48419952392578,12.69615650177002
PCA,is_weekend,19.437572479248047,17.14044952392578
PCA,is_holiday,29.221113204956055,17.93083381652832
PCA,sin1_ann,93.04120635986328,16.24059295654297
PCA,cos1_ann,109.20340728759766,52.86902618408203
PCA,sin2_ann,11.257792472839355,14.161599159240723
PCA,cos2_ann,13.641249656677246,7.346036434173584
Ridge,temp_c,179.9633331298828,119.35781860351562
Ridge,wind_ms,47.79082489013672,9.008528709411621
Ridge,precip_mm,7.0491042137146,9.903046607971191
Ridge,sunshine_h,14.397418022155762,31.4943904876709
Ridge,global_rad,99.46197509765625,39.95082092285156
Ridge,pressure_hpa,12.864572525024414,3.519335985183716
Ridge,humidity_pct,11.18819808959961,20.393142700195312
Ridge,cloudiness,2.231416702270508,8.043841361999512
Ridge,nao,14.272554397583008,11.606010437011719
Ridge,price_eur_kwh,4.901028156280518,16.380130767822266
Ridge,gdp_mln_eur,77.92828369140625,90.8316421508789
Ridge,population,29.815753936767578,146.6807098388672
Ridge,wind_energy_gwh,5.5498433113098145,59.44123458862305
Ridge,solar_energy_gwh,2.93796443939209,57.52054977416992
Ridge,day_of_week,91.41429138183594,96.8047103881836
Ridge,month,14.178955078125,10.031250953674316
Ridge,is_weekend,19.742277145385742,2.4790244102478027
Ridge,is_holiday,22.919628143310547,11.46688461303711
Ridge,sin1_ann,59.54176712036133,33.75820541381836
Ridge,cos1_ann,149.1358642578125,67.64840698242188
Ridge,sin2_ann,12.296119689941406,12.734075546264648
Ridge,cos2_ann,13.98112964630127,5.848548889160156
Lasso,temp_c,180.6430206298828,115.6608657836914
Lasso,wind_ms,48.87836456298828,8.194470405578613
Lasso,precip_mm,7.240077972412109,6.362612247467041
Lasso,sunshine_h,13.899238586425781,34.74851989746094
Lasso,global_rad,106.19164276123047,41.01161193847656
Lasso,pressure_hpa,12.836105346679688,4.106013298034668
Lasso,humidity_pct,13.084919929504395,25.997344970703125
Lasso,cloudiness,1.7509044408798218,9.03713607788086
Lasso,nao,13.264310836791992,14.43222713470459
Lasso,price_eur_kwh,5.645355701446533,20.906524658203125
Lasso,gdp_mln_eur,76.25869750976562,82.31349182128906
Lasso,population,31.25513458251953,156.80551147460938
Lasso,wind_energy_gwh,6.012547016143799,61.29149627685547
Lasso,solar_energy_gwh,3.506823778152466,81.81838989257812
Lasso,day_of_week,96.66429901123047,97.01353454589844
Lasso,month,12.051839828491211,10.174262046813965
Lasso,is_weekend,21.976736068725586,2.1080050468444824
Lasso,is_holiday,28.198612213134766,15.241793632507324
Lasso,sin1_ann,61.179847717285156,19.928993225097656
Lasso,cos1_ann,143.9685821533203,60.42112350463867
Lasso,sin2_ann,11.584846496582031,12.362224578857422
Lasso,cos2_ann,11.953757286071777,5.890625476837158
