"Prijscomponenten";"Belastingen";"Perioden";"Aardgasprijs/Verbruiksklassen huishoudens/Minder dan 569 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen huishoudens/569 tot 5 687 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen huishoudens/5 687 m3 en meer (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/Minder dan 28 433 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/28 433 tot 284 333 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/284 333 tot 2 843 332 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/2 843 332 tot 28 433 324 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/28 433 324 m3 en meer (euro per m3)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/Minder dan 1 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/1 tot 2,5 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/2,5 tot 5 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/5 tot 15 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/15 MWh en meer (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/Minder dan 20 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/20 tot 500 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/500 tot 2 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/2 000 tot 20 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/20 000 tot 70 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/70 000 tot 150 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/150 000 MWh en meer (euro per kWh)"
"Totaalprijs";"Inclusief btw en belastingen";"2009 1e halfjaar";"   1.057";"   0.791";"   0.722";"   0.752";"   0.662";"   0.459";"   0.374";"   0.276";"  -0.103";"   0.144";"   0.198";"   0.216";"   0.257";"   0.212";"   0.187";"   0.132";"   0.118";"   0.108";"   0.104";"   0.080"
"Totaalprijs";"Inclusief btw en belastingen";"2009 2e halfjaar";"   1.031";"   0.658";"   0.572";"   0.622";"   0.612";"   0.407";"   0.330";"   0.240";"  -0.117";"   0.136";"   0.190";"   0.209";"   0.205";"   0.211";"   0.147";"   0.127";"   0.116";"   0.099";"   0.094";"   0.072"
"Totaalprijs";"Inclusief btw en belastingen";"2009";"   1.045";"   0.735";"   0.656";"   0.706";"   0.644";"   0.435";"   0.352";"   0.255";"  -0.110";"   0.140";"   0.195";"   0.213";"   0.232";"   0.211";"   0.167";"   0.129";"   0.117";"   0.104";"   0.098";"   0.076"
"Totaalprijs";"Inclusief btw en belastingen";"2010 1e halfjaar";"   0.943";"   0.664";"   0.593";"   0.621";"   0.545";"   0.390";"   0.296";"   0.226";"  -0.142";"   0.120";"   0.177";"   0.196";"   0.237";"   0.211";"   0.175";"   0.120";"   0.106";"   0.091";"   0.087";"   0.074"
"Totaalprijs";"Inclusief btw en belastingen";"2010 2e halfjaar";"   1.060";"   0.703";"   0.608";"   0.621";"   0.590";"   0.360";"   0.302";"   0.256";"  -0.131";"   0.125";"   0.179";"   0.197";"   0.189";"   0.198";"   0.134";"   0.115";"   0.106";"   0.085";"   0.086";"   0.076"
"Totaalprijs";"Inclusief btw en belastingen";"2010";"   0.994";"   0.681";"   0.599";"   0.623";"   0.565";"   0.377";"   0.299";"   0.241";"  -0.137";"   0.123";"   0.178";"   0.197";"   0.216";"   0.204";"   0.154";"   0.118";"   0.106";"   0.088";"   0.087";"   0.075"
"Totaalprijs";"Inclusief btw en belastingen";"2011 1e halfjaar";"   0.955";"   0.674";"   0.627";"   0.612";"   0.570";"   0.417";"   0.323";"   0.287";"  -0.123";"   0.128";"   0.180";"   0.196";"   0.244";"   0.182";"   0.166";"   0.117";"   0.103";"   0.089";"   0.087";"   0.076"
"Totaalprijs";"Inclusief btw en belastingen";"2011 2e halfjaar";"   1.170";"   0.768";"   0.687";"   0.685";"   0.610";"   0.376";"   0.316";"   0.298";"  -0.126";"   0.127";"   0.180";"   0.197";"   0.195";"   0.183";"   0.129";"   0.113";"   0.104";"   0.084";"   0.089";"   0.078"
"Totaalprijs";"Inclusief btw en belastingen";"2011";"   1.045";"   0.713";"   0.653";"   0.644";"   0.588";"   0.400";"   0.319";"   0.292";"  -0.125";"   0.128";"   0.180";"   0.196";"   0.219";"   0.182";"   0.148";"   0.116";"   0.104";"   0.087";"   0.088";"   0.077"
"Totaalprijs";"Inclusief btw en belastingen";"2012 1e halfjaar";"   1.001";"   0.724";"   0.667";"   0.689";"   0.606";"   0.439";"   0.346";"   0.311";"  -0.116";"   0.134";"   0.185";"   0.200";"   0.254";"   0.194";"   0.171";"   0.116";"   0.101";"   0.087";"   0.083";"   0.070"
"Totaalprijs";"Inclusief btw en belastingen";"2012 2e halfjaar";"   1.235";"   0.825";"   0.723";"   0.744";"   0.621";"   0.411";"   0.357";"   0.321";"  -0.131";"   0.134";"   0.187";"   0.201";"   0.209";"   0.193";"   0.131";"   0.115";"   0.104";"   0.086";"   0.084";"   0.076"
"Totaalprijs";"Inclusief btw en belastingen";"2012";"   1.095";"   0.763";"   0.689";"   0.708";"   0.612";"   0.426";"   0.351";"   0.316";"  -0.123";"   0.134";"   0.186";"   0.201";"   0.232";"   0.194";"   0.151";"   0.115";"   0.102";"   0.087";"   0.084";"   0.073"
"Totaalprijs";"Inclusief btw en belastingen";"2013 1e halfjaar";"   1.034";"   0.772";"   0.747";"   0.740";"   0.665";"   0.492";"   0.385";"   0.341";"  -0.110";"   0.140";"   0.190";"   0.204";"   0.262";"   0.192";"   0.177";"   0.115";"   0.107";"   0.094";"   0.090";"   0.088"
"Totaalprijs";"Inclusief btw en belastingen";"2013 2e halfjaar";"   1.340";"   0.843";"   0.757";"   0.758";"   0.687";"   0.411";"   0.370";"   0.337";"  -0.119";"   0.139";"   0.191";"   0.204";"   0.213";"   0.203";"   0.135";"   0.115";"   0.105";"   0.093";"   0.094";"   0.090"
"Totaalprijs";"Inclusief btw en belastingen";"2013";"   1.140";"   0.797";"   0.750";"   0.748";"   0.676";"   0.460";"   0.380";"   0.340";"  -0.114";"   0.139";"   0.190";"   0.204";"   0.239";"   0.198";"   0.155";"   0.115";"   0.106";"   0.093";"   0.092";"   0.089"
"Totaalprijs";"Inclusief btw en belastingen";"2014 1e halfjaar";"   1.111";"   0.771";"   0.707";"   0.739";"   0.682";"   0.484";"   0.363";"   0.321";"  -0.161";"   0.125";"   0.184";"   0.201";"   0.268";"   0.216";"   0.175";"   0.113";"   0.102";"   0.089";"   0.089";"   0.079"
"Totaalprijs";"Inclusief btw en belastingen";"2014 2e halfjaar";"   1.248";"   0.801";"   0.715";"   0.745";"   0.686";"   0.397";"   0.321";"   0.278";"  -0.169";"   0.120";"   0.180";"   0.199";"   0.206";"   0.201";"   0.132";"   0.107";"   0.099";"   0.082";"   0.086";"   0.080"
"Totaalprijs";"Inclusief btw en belastingen";"2014";"   1.170";"   0.784";"   0.710";"   0.741";"   0.684";"   0.446";"   0.342";"   0.300";"  -0.165";"   0.122";"   0.182";"   0.201";"   0.237";"   0.208";"   0.153";"   0.110";"   0.101";"   0.086";"   0.087";"   0.079"
"Totaalprijs";"Inclusief btw en belastingen";"2015 1e halfjaar";"   1.037";"   0.739";"   0.680";"   0.715";"   0.648";"   0.460";"   0.360";"   0.298";"  -0.025";"   0.156";"   0.199";"   0.209";"   0.263";"   0.220";"   0.173";"   0.110";"   0.099";"   0.086";"   0.086";"   0.081"
"Totaalprijs";"Inclusief btw en belastingen";"2015 2e halfjaar";"   1.312";"   0.784";"   0.678";"   0.719";"   0.670";"   0.379";"   0.312";"   0.265";"  -0.096";"   0.135";"   0.184";"   0.199";"   0.198";"   0.214";"   0.128";"   0.103";"   0.097";"   0.077";"   0.081";"   0.078"
"Totaalprijs";"Inclusief btw en belastingen";"2015";"   1.139";"   0.755";"   0.673";"   0.717";"   0.657";"   0.430";"   0.339";"   0.283";"  -0.060";"   0.146";"   0.192";"   0.204";"   0.218";"   0.217";"   0.151";"   0.106";"   0.098";"   0.081";"   0.084";"   0.079"
"Totaalprijs";"Inclusief btw en belastingen";"2016 1e halfjaar";"   1.063";"   0.762";"   0.698";"   0.750";"   0.684";"   0.453";"   0.303";"   0.214";"  -0.110";"   0.114";"   0.162";"   0.175";"   0.243";"   0.189";"   0.168";"   0.105";"   0.093";"   0.079";"   0.074";"   0.070"
"Totaalprijs";"Inclusief btw en belastingen";"2016 2e halfjaar";"   1.277";"   0.790";"   0.696";"   0.751";"   0.667";"   0.340";"   0.286";"   0.220";"  -0.106";"   0.112";"   0.159";"   0.173";"   0.202";"   0.179";"   0.123";"   0.097";"   0.093";"   0.071";"   0.071";"   0.071"
"Totaalprijs";"Inclusief btw en belastingen";"2016";"   1.142";"   0.771";"   0.696";"   0.749";"   0.676";"   0.407";"   0.295";"   0.217";"  -0.108";"   0.113";"   0.160";"   0.174";"   0.222";"   0.184";"   0.145";"   0.102";"   0.093";"   0.075";"   0.072";"   0.070"
"Totaalprijs";"Inclusief btw en belastingen";"2017 1e halfjaar";"   1.112";"   0.746";"   0.659";"   0.738";"   0.655";"   0.432";"   0.300";"   0.247";"  -0.117";"   0.106";"   0.156";"   0.173";"   0.225";"   0.196";"   0.165";"   0.100";"   0.094";"   0.074";"   0.067";"   0.066"
"Totaalprijs";"Inclusief btw en belastingen";"2017 2e halfjaar";"   1.328";"   0.795";"   0.680";"   0.743";"   0.645";"   0.318";"   0.271";"   0.238";"  -0.118";"   0.105";"   0.156";"   0.173";"   0.188";"   0.199";"   0.113";"   0.092";"   0.092";"   0.063";"   0.062";"   0.065"
"Totaalprijs";"Inclusief btw en belastingen";"2017";"   1.200";"   0.766";"   0.668";"   0.739";"   0.651";"   0.381";"   0.286";"   0.242";"  -0.118";"   0.106";"   0.156";"   0.172";"   0.207";"   0.197";"   0.140";"   0.095";"   0.093";"   0.069";"   0.064";"   0.065"
"Totaalprijs";"Inclusief btw en belastingen";"2018 1e halfjaar";"   1.155";"   0.796";"   0.711";"   0.741";"   0.675";"   0.454";"   0.310";"   0.273";"  -0.026";"   0.126";"   0.171";"   0.185";"   0.240";"   0.166";"   0.173";"   0.105";"   0.094";"   0.077";"   0.068";"   0.065"
"Totaalprijs";"Inclusief btw en belastingen";"2018 2e halfjaar";"   1.336";"   0.826";"   0.705";"   0.777";"   0.664";"   0.351";"   0.296";"   0.307";"  -0.097";"   0.108";"   0.162";"   0.184";"   0.203";"   0.196";"   0.127";"   0.098";"   0.096";"   0.069";"   0.071";"   0.069"
"Totaalprijs";"Inclusief btw en belastingen";"2018";"   1.227";"   0.808";"   0.709";"   0.755";"   0.670";"   0.408";"   0.303";"   0.297";"  -0.062";"   0.117";"   0.167";"   0.184";"   0.222";"   0.171";"   0.150";"   0.101";"   0.095";"   0.073";"   0.070";"   0.067"
"Totaalprijs";"Inclusief btw en belastingen";"2019 1e halfjaar";"   1.272";"   0.902";"   0.821";"   0.842";"   0.754";"   0.457";"   0.308";"   0.264";"   0.078";"   0.181";"   0.205";"   0.211";"   0.267";"   0.222";"   0.165";"   0.114";"   0.105";"   0.085";"   0.076";"   0.073"
