"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"1995 1st quarter";"  161241";"  116638";"   46462";"   35506";"   10547";"  161241";"  106146";"   85042";"   57096";"   28035";"   21525";"   17760";"    3683";"    -266";"   56007";"   43846";"   11790"
"Prices of 2015";"1995 2nd quarter";"  164687";"  116624";"   49419";"   35624";"   12796";"  164687";"  109263";"   86841";"   57519";"   29418";"   24128";"   19911";"    4164";"   -1753";"   56397";"   43170";"   12867"
"Prices of 2015";"1995 3rd quarter";"  159766";"  114315";"   47036";"   33141";"   13732";"  159766";"  107405";"   85511";"   58757";"   26788";"   20393";"   16585";"    3794";"    1498";"   53887";"   39934";"   13806"
"Prices of 2015";"1995 4th quarter";"  169886";"  121939";"   49888";"   35513";"   14133";"  169886";"  114964";"   86983";"   57947";"   28996";"   25294";"   20081";"    5196";"    2448";"   57007";"   42203";"   14699"
"Prices of 2015";"1995";"  655525";"  469502";"  192815";"  139776";"   51285";"  655525";"  437744";"  344372";"  231328";"  113245";"   91511";"   74543";"   16828";"    1936";"  223221";"  169054";"   53175"
"Prices of 2015";"1996 1st quarter";"  166848";"  119460";"   49057";"   37299";"   11379";"  166848";"  109096";"   87623";"   60108";"   27538";"   21519";"   17884";"    3546";"     136";"   58588";"   45613";"   12627"
"Prices of 2015";"1996 2nd quarter";"  170353";"  121240";"   50619";"   36038";"   13664";"  170353";"  115095";"   89320";"   60382";"   28951";"   25557";"   20925";"    4588";"     -23";"   56613";"   42634";"   13741"
"Prices of 2015";"1996 3rd quarter";"  167541";"  118805";"   50211";"   35743";"   14202";"  167541";"  112207";"   87852";"   61318";"   26493";"   22808";"   18437";"    4357";"    1419";"   56860";"   41922";"   14820"
"Prices of 2015";"1996 4th quarter";"  177729";"  126417";"   53110";"   37867";"   14967";"  177729";"  119258";"   89898";"   60910";"   28850";"   27631";"   21934";"    5679";"    1463";"   60465";"   44541";"   15860"
"Prices of 2015";"1996";"  682437";"  485928";"  203043";"  146963";"   54294";"  682437";"  455608";"  354685";"  242724";"  111836";"   97679";"   79384";"   18156";"    2982";"  232474";"  174636";"   57060"
