"Periods";"Gross production (mln kWh)";"Net production/Net production, total (mln kWh)";"Net production/Nuclear energy (mln kWh)";"Net production/Fuels/Fuels, total (mln kWh)";"Net production/Fuels/Coal (mln kWh)";"Net production/Fuels/Petroleum products (mln kWh)";"Net production/Fuels/Natural gas (mln kWh)";"Net production/Fuels/Biomass (mln kWh)";"Net production/Fuels/Other fuels (non-renewable) (mln kWh)";"Net production/Hydro power (mln kWh)";"Net production/Wind energy/Wind energy, total (mln kWh)";"Net production/Wind energy/Wind energy on shore (mln kWh)";"Net production/Wind energy/Wind energy off shore (mln kWh)";"Net production/Solar photovoltaic (mln kWh)";"Net production/Other sources (mln kWh)";"Imports/Imports, total (mln kWh)";"Exports/Exports, total (mln kWh)";"Net consumption (calculated) (mln kWh)"
"2015 January";"   10700";"   10301";"     364";"    8918";"    3771";"      96";"    4605";"     349";"      98";"       9";"     870";"     773";"      98";"      28";"     111";"    2432";"    1979";"   10263"
"2015 February";"    9695";"    9328";"     329";"    8310";"    3348";"      79";"    4464";"     328";"      91";"      12";"     504";"     440";"      65";"      58";"     116";"    2371";"    2110";"    9150"
"2015 March";"    9642";"    9302";"     363";"    8038";"    3249";"      49";"    4257";"     366";"     118";"      13";"     684";"     605";"      79";"      86";"     118";"    2729";"    2151";"    9427"
"2015 April";"    8602";"    8216";"     345";"    7211";"    3604";"      53";"    3099";"     342";"     113";"      12";"     420";"     376";"      44";"     133";"      94";"    2414";"    1805";"    8410"
"2015 May";"    7585";"    7248";"     132";"    6295";"    2982";"      97";"    2730";"     361";"     125";"      10";"     564";"     499";"      65";"     152";"      94";"    2782";"    1094";"    8520"
"2015 June";"    7312";"    6977";"     229";"    6105";"    2747";"     115";"    2765";"     353";"     124";"       5";"     420";"     352";"      68";"     120";"      97";"    3259";"    1377";"    8451"
"2015 July";"    8468";"    8102";"     329";"    6938";"    3317";"     136";"    2982";"     370";"     134";"       2";"     572";"     471";"     100";"     142";"     120";"    2619";"    1473";"    8821"
"2015 August";"    8010";"    7667";"     353";"    6665";"    2988";"     145";"    3035";"     367";"     130";"       2";"     395";"     312";"      83";"     136";"     115";"    2892";"    1478";"    8677"
"2015 September";"    9367";"    8975";"     345";"    7891";"    3801";"     123";"    3491";"     353";"     124";"       4";"     531";"     428";"     103";"     125";"      78";"    2583";"    2335";"    8808"
"2015 October";"   10352";"    9936";"     360";"    9091";"    3783";"     158";"    4649";"     381";"     120";"       3";"     312";"     238";"      73";"      65";"     106";"    2551";"    2622";"    9413"
"2015 November";"   10064";"    9672";"     349";"    8027";"    3119";"     103";"    4316";"     372";"     119";"       6";"    1101";"     938";"     163";"      38";"     150";"    2052";"    1817";"    9445"
"2015 December";"   10417";"   10028";"     363";"    8312";"    3487";"     124";"    4174";"     400";"     128";"      13";"    1177";"     989";"     188";"      26";"     137";"    2077";"    1771";"    9851"
"2016 January";"   10362";"   10009";"     364";"    8519";"    3077";"     104";"    4823";"     383";"     132";"      14";"     930";"     771";"     158";"      41";"     140";"    2011";"    1518";"    9994"
"2016 February";"    9637";"    9262";"     340";"    7854";"    3143";"      81";"    4140";"     368";"     122";"       5";"     865";"     739";"     126";"      83";"     115";"    2034";"    1445";"    9398"
"2016 March";"    9961";"    9617";"     363";"    8368";"    3277";"      59";"    4528";"     380";"     124";"      14";"     640";"     525";"     115";"     124";"     108";"    1987";"    1528";"    9610"
"2016 April";"    8778";"    8444";"     344";"    7210";"    2935";"      86";"    3721";"     341";"     127";"      16";"     591";"     478";"     114";"     192";"      91";"    2107";"    1459";"    8664"
"2016 May";"    8334";"    7883";"     135";"    6815";"    2885";"     100";"    3377";"     324";"     129";"      13";"     604";"     463";"     142";"     219";"      95";"    2397";"    1245";"    8605"
"2016 June";"    7882";"    7584";"     117";"    6844";"    3093";"     104";"    3236";"     312";"      99";"       9";"     358";"     262";"      96";"     174";"      82";"    2413";"     998";"    8579"
"2016 July";"    8089";"    7773";"     343";"    6603";"    2836";"     121";"    3169";"     357";"     120";"      11";"     505";"     364";"     141";"     205";"     105";"    2422";"     977";"    8778"
"2016 August";"    8765";"    8469";"     350";"    7191";"    2494";"     130";"    4064";"     376";"     127";"       5";"     613";"     415";"     198";"     197";"     112";"    2026";"    1327";"    8751"
"2016 September";"    9696";"    9386";"     338";"    8298";"    3223";"     120";"    4476";"     356";"     123";"       2";"     503";"     309";"     194";"     180";"      65";"    1742";"    1923";"    8777"
"2016 October";"   10971";"   10636";"     343";"    9422";"    3654";"     105";"    5162";"     373";"     128";"       2";"     646";"     353";"     293";"      93";"     130";"    1686";"    2456";"    9399"
"2016 November";"   11152";"   10803";"     349";"    9343";"    3571";"     101";"    5198";"     353";"     120";"       5";"     948";"     593";"     354";"      55";"     103";"    1720";"    2255";"    9789"
"2016 December";"   11532";"   11192";"     362";"    9710";"    3575";"     108";"    5530";"     373";"     125";"       3";"     968";"     629";"     339";"      38";"     110";"    1713";"    2212";"   10194"
"2017 January";"   11970";"   11623";"     363";"   10189";"    3721";"     110";"    5849";"     376";"     133";"       5";"     860";"     538";"     322";"      70";"     136";"    1640";"    2331";"   10427"
"2017 February";"   10370";"   10037";"     328";"    8382";"    3262";"     119";"    4574";"     317";"     110";"      11";"    1144";"     765";"     379";"      69";"     104";"    1468";"    1813";"    9240"
"2017 March";"   10038";"    9711";"     359";"    8068";"    2932";"      91";"    4583";"     343";"     119";"      14";"     974";"     669";"     305";"     184";"     113";"    1915";"    1660";"    9501"
"2017 April";"    9106";"    8786";"     276";"    7401";"    2614";"      88";"    4242";"     335";"     121";"       3";"     732";"     464";"     268";"     244";"     130";"    1920";"    1778";"    8501"
"2017 May";"    8322";"    8047";"";"    7058";"    2350";"     102";"    4164";"     320";"     122";"       2";"     590";"     356";"     235";"     259";"     138";"    2327";"    1190";"    8756"
"2017 June";"    8539";"    8252";"";"    7132";"    2742";"     121";"    3818";"     321";"     130";"       1";"     741";"     498";"     243";"     262";"     116";"    1984";"    1104";"    8713"
"2017 July";"    9383";"    9088";"     174";"    7922";"    2803";"     102";"    4564";"     323";"     130";"       2";"     587";"     383";"     204";"     266";"     137";"    1556";"    1257";"    8947"
"2017 August";"    8238";"    7941";"     336";"    6606";"    2180";"      86";"    3866";"     337";"     137";"       1";"     558";"     340";"     218";"     313";"     128";"    2204";"     909";"    8821"
"2017 September";"    8582";"    8304";"     342";"    6959";"    1743";"      69";"    4739";"     302";"     107";"       2";"     622";"     407";"     215";"     240";"     139";"    2159";"    1202";"    8834"
"2017 October";"   10321";"   10003";"     335";"    7986";"    2600";"      64";"    4922";"     302";"      99";"       3";"    1394";"     899";"     494";"     168";"     117";"    1842";"    1857";"    9524"
"2017 November";"   11043";"   10728";"     349";"    9142";"    3034";"      86";"    5571";"     336";"     115";"       8";"    1008";"     634";"     374";"      86";"     136";"    1632";"    2015";"    9870"
"2017 December";"   11256";"   10934";"     362";"    9057";"    2755";"      99";"    5706";"     380";"     118";"      10";"    1359";"     918";"     441";"      43";"     103";"    1812";"    1835";"   10414"
"2018 January";"   10760";"   10442";"     362";"    8579";"    2870";"     110";"    5169";"     286";"     144";"       3";"    1393";"     965";"     428";"      47";"      58";"    2023";"    1576";"   10391"
"2018 February";"   10615";"   10295";"     327";"    8827";"    2885";"     112";"    5407";"     291";"     131";"      11";"     933";"     619";"     314";"     143";"      55";"    1711";"    2008";"    9553"
"2018 March";"   10272";"    9945";"     362";"    8226";"    2559";"     140";"    5090";"     310";"     127";"      16";"    1069";"     739";"     330";"     213";"      59";"    2071";"    1538";"   10020"
"2018 April";"    8307";"    8020";"     343";"    6501";"    2232";"     114";"    3716";"     310";"     130";"      13";"     778";"     487";"     292";"     336";"      48";"    2391";"    1218";"    8772"
"2018 May";"    7587";"    7358";"      95";"    6020";"    1965";"     102";"    3515";"     288";"     150";"       7";"     627";"     395";"     232";"     561";"      48";"    2979";"     899";"    9016"
"2018 June";"    7795";"    7576";"     223";"    6241";"    1864";"     108";"    3861";"     268";"     140";"       8";"     570";"     369";"     201";"     511";"      23";"    2521";"    1052";"    8633"
"2018 July";"    9370";"    9078";"     348";"    7598";"    2349";"     132";"    4674";"     300";"     144";"       1";"     424";"     294";"     130";"     668";"      38";"    2205";"    1400";"    9450"
"2018 August";"    9115";"    8831";"      40";"    7690";"    2296";"     115";"    4818";"     316";"     145";"       1";"     591";"     375";"     216";"     470";"      39";"    2178";"    1611";"    8989"
"2018 September";"    9094";"    8795";"     170";"    7411";"    2331";"      68";"    4503";"     364";"     145";"       1";"     824";"     501";"     323";"     352";"      37";"    2420";"    1882";"    8913"
"2018 October";"   10340";"    9997";"     355";"    8420";"    2864";"      77";"    4899";"     426";"     153";"       1";"     941";"     576";"     364";"     242";"      39";"    1843";"    1977";"    9406"
"2018 November";"   10373";"   10081";"     347";"    8491";"    2428";"      83";"    5489";"     359";"     133";"       1";"    1095";"     702";"     393";"     108";"      38";"    2132";"    1801";"    9942"
"2018 December";"   10751";"   10423";"     360";"    8656";"    2675";"     129";"    5321";"     388";"     142";"      10";"    1303";"     896";"     407";"      56";"      38";"    2281";"    1823";"   10392"
"2019 January";"   12024";"   11697";"     361";"    9920";"    2733";"     118";"    6511";"     394";"     165";"      10";"    1269";"     899";"     371";"      81";"      56";"    1607";"    2138";"   10695"
"2019 February";"   10552";"   10259";"     247";"    8807";"    2332";"      90";"    5898";"     344";"     143";"       8";"     953";"     656";"     298";"     194";"      49";"    1349";"    1892";"    9294"
"2019 March";"   10852";"   10545";"     359";"    8380";"    1979";"      91";"    5755";"     423";"     132";"       9";"    1440";"    1059";"     381";"     305";"      52";"    1682";"    1900";"    9891"
"2019 April";"    9023";"    8733";"     347";"    6900";"    1610";"      82";"    4726";"     359";"     123";"       8";"     813";"     549";"     264";"     613";"      51";"    1670";"    1175";"    8829"
"2019 May";"    9706";"    9408";"     329";"    7604";"    1347";"     103";"    5655";"     369";"     130";"       8";"     688";"     451";"     238";"     729";"      50";"    2132";"    1801";"    9339"
"2019 June";"    8286";"    8038";"      32";"    6547";"    1049";"      79";"    4924";"     366";"     129";"       6";"     583";"     414";"     169";"     860";"      10";"    2035";"    1077";"    8606"
"2019 July";"    9438";"    9162";"     309";"    7432";"    1136";"     143";"    5635";"     387";"     131";"       1";"     549";"     341";"     207";"     834";"      38";"    1763";"    1377";"    9139"
"2019 August";"    9197";"    8942";"     318";"    7069";"     638";"     121";"    5762";"     418";"     129";"       1";"     761";"     502";"     258";"     756";"      39";"    1843";"    1424";"    8974"
"2019 September";"    9262";"    9000";"     337";"    7208";"     547";"     142";"    6172";"     249";"      98";"       1";"     925";"     612";"     313";"     493";"      38";"    1636";"    1411";"    8827"
"2019 October";"   10943";"   10625";"     354";"    8842";"    1628";"     151";"    6553";"     379";"     131";"       5";"    1111";"     753";"     358";"     276";"      37";"    1254";"    1679";"    9766"
"2019 November";"   11271";"   10910";"     348";"    9429";"    2259";"     129";"    6245";"     668";"     127";"       8";"     937";"     632";"     306";"     150";"      38";"    1454";"    1963";"    9955"
"2019 December";"   10858";"   10546";"     360";"    8550";"    1993";"     136";"    5572";"     712";"     137";"       8";"    1478";"    1068";"     411";"     109";"      40";"    1978";"    1712";"   10347"
"2020 January";"   11582";"   11274";"     361";"    9227";"     935";"     147";"    7498";"     513";"     136";"      11";"    1522";"    1105";"     417";"     113";"      40";"    1746";"    2002";"   10576"
"2020 February";"   10334";"   10054";"     330";"    7574";"     842";"     145";"    5875";"     588";"     125";"       2";"    1893";"    1471";"     423";"     215";"      39";"    1669";"    1508";"    9819"
"2020 March";"   10014";"    9720";"     360";"    7213";"     920";"     139";"    5337";"     705";"     112";"       6";"    1446";"    1077";"     370";"     654";"      41";"    2029";"    1764";"    9577"
