DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1995-Q1,83633.0,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1995-Q2,86665.8,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1995-Q3,85510.2,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1995-Q4,90770.1,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1996-Q1,86316.5,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1996-Q2,88965.0,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1996-Q3,87814.8,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1996-Q4,92303.2,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1997-Q1,88740.3,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1997-Q2,92153.3,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1997-Q3,90464.1,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1997-Q4,97394.4,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1998-Q1,94615.5,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1998-Q2,97929.6,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1998-Q3,96355.5,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1998-Q4,103165.8,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1999-Q1,101220.0,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1999-Q2,104865.0,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1999-Q3,103098.0,,
ESTAT:NAMQ_10_GDP(1.0),13/02/26 11:00:00,Quarterly,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices,Netherlands,1999-Q4,110729.0,,
