DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1995-Q1,15432.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1995-Q2,15450.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1995-Q3,15468.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1995-Q4,15486.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1996-Q1,15504.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1996-Q2,15518.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1996-Q3,15538.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1996-Q4,15562.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1997-Q1,15578.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1997-Q2,15597.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1997-Q3,15622.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1997-Q4,15646.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1998-Q1,15669.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1998-Q2,15690.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1998-Q3,15719.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1998-Q4,15751.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1999-Q1,15773.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1999-Q2,15795.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1999-Q3,15825.00,,
ESTAT:NAMQ_10_PE(1.0),13/02/26 11:00:00,Quarterly,Thousand persons,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total population national concept,Netherlands,1999-Q4,15855.00,,
