"Periods";"Price components";"Electricity price|Consumption bands households|Less than 1 MWh";"Electricity price|Consumption bands households|1 until 2,5 MWh";"Electricity price|Consumption bands households|2,5 until 5 MWh";"Electricity price|Consumption bands households|5 until 15 MWh";"Electricity price|Consumption bands households|15 MWh and higher";"Electricity price|Consumption bands non-households|Less than 20 MWh";"Electricity price|Consumption bands non-households|20 unitl 500 MWh";"Electricity price|Consumption bands non-households|500 until 2 000 MWh";"Electricity price|Consumption bands non-households|2 000 until 20 000 MWh";"Electricity price|Consumption bands non-households|20 000 until 70 000 MWh";"Electricity price|Consumption bands non-households|70 000 until 150 000 MWh";"Electricity price|Consumption bands non-households|150 000 MWh and higher"
"2009 1st semester";"Total price";"-0.025";"0.184";"0.213";"0.224";"0.223";"0.293";"0.210";"0.141";"0.122";"0.102";"0.100";"0.075"
"2009 2nd semester";"Total price";"-0.043";"0.174";"0.204";"0.217";"0.170";"0.292";"0.170";"0.136";"0.120";"0.093";"0.090";"0.067"
"2009";"Total price";"-0.034";"0.179";"0.209";"0.221";"0.197";"0.292";"0.190";"0.138";"0.121";"0.098";"0.094";"0.071"
"2010 1st semester";"Total price";"-0.094";"0.147";"0.185";"0.202";"0.198";"0.274";"0.192";"0.126";"0.107";"0.084";"0.082";"0.069"
"2010 2nd semester";"Total price";"-0.088";"0.150";"0.186";"0.202";"0.148";"0.261";"0.151";"0.121";"0.107";"0.078";"0.081";"0.071"
"2010";"Total price";"-0.091";"0.149";"0.186";"0.202";"0.176";"0.267";"0.171";"0.124";"0.107";"0.081";"0.082";"0.070"
"2011 1st semester";"Total price";"-0.108";"0.141";"0.180";"0.198";"0.196";"0.243";"0.180";"0.121";"0.103";"0.080";"0.080";"0.070"
"2011 2nd semester";"Total price";"-0.108";"0.141";"0.180";"0.199";"0.148";"0.241";"0.142";"0.116";"0.103";"0.075";"0.082";"0.072"
"2011";"Total price";"-0.108";"0.141";"0.180";"0.198";"0.171";"0.242";"0.161";"0.119";"0.103";"0.078";"0.081";"0.071"
"2012 1st semester";"Total price";"-0.145";"0.130";"0.176";"0.198";"0.198";"0.237";"0.181";"0.117";"0.099";"0.078";"0.075";"0.064"
"2012 2nd semester";"Total price";"-0.179";"0.122";"0.173";"0.197";"0.148";"0.234";"0.140";"0.116";"0.102";"0.077";"0.075";"0.070"
"2012";"Total price";"-0.161";"0.125";"0.175";"0.198";"0.173";"0.236";"0.161";"0.116";"0.100";"0.078";"0.075";"0.067"
"2013 1st semester";"Total price";"-0.073";"0.164";"0.196";"0.209";"0.205";"0.272";"0.200";"0.122";"0.107";"0.082";"0.078";"0.073"
"2013 2nd semester";"Total price";"-0.096";"0.158";"0.194";"0.208";"0.152";"0.279";"0.157";"0.120";"0.105";"0.078";"0.078";"0.071"
"2013";"Total price";"-0.084";"0.161";"0.195";"0.208";"0.180";"0.276";"0.178";"0.121";"0.106";"0.079";"0.078";"0.072"
"2014 1st semester";"Total price";"-0.110";"0.154";"0.192";"0.208";"0.212";"0.283";"0.197";"0.123";"0.104";"0.077";"0.073";"0.060"
"2014 2nd semester";"Total price";"-0.124";"0.147";"0.187";"0.205";"0.149";"0.275";"0.152";"0.116";"0.100";"0.069";"0.069";"0.060"
"2014";"Total price";"-0.117";"0.150";"0.189";"0.207";"0.181";"0.279";"0.174";"0.119";"0.102";"0.073";"0.071";"0.060"
"2015 1st semester";"Total price";"-0.005";"0.173";"0.201";"0.212";"0.208";"0.264";"0.191";"0.118";"0.100";"0.075";"0.070";"0.064"
"2015 2nd semester";"Total price";"-0.073";"0.153";"0.187";"0.203";"0.144";"0.259";"0.146";"0.111";"0.098";"0.066";"0.066";"0.061"
"2015";"Total price";"-0.038";"0.163";"0.195";"0.208";"0.163";"0.261";"0.169";"0.114";"0.099";"0.070";"0.068";"0.062"
"2016 1st semester";"Total price";"-0.056";"0.144";"0.171";"0.182";"0.189";"0.239";"0.191";"0.116";"0.095";"0.068";"0.064";"0.056"
"2016 2nd semester";"Total price";"-0.048";"0.143";"0.169";"0.180";"0.148";"0.231";"0.147";"0.109";"0.095";"0.060";"0.061";"0.057"
"2016";"Total price";"-0.052";"0.144";"0.170";"0.181";"0.168";"0.235";"0.169";"0.113";"0.095";"0.064";"0.062";"0.056"
"2017 1st semester";"Total price";"-0.087";"0.127";"0.160";"0.176";"0.181";"0.234";"0.182";"0.105";"0.089";"0.066";"0.059";"0.053"
"2017 2nd semester";"Total price";"-0.092";"0.125";"0.159";"0.175";"0.143";"0.239";"0.130";"0.098";"0.087";"0.054";"0.054";"0.052"
"2017";"Total price";"-0.090";"0.126";"0.159";"0.175";"0.162";"0.236";"0.157";"0.101";"0.088";"0.060";"0.056";"0.052"
"2018 1st semester";"Total price";"-0.016";"0.157";"0.180";"0.191";"0.198";"0.206";"0.191";"0.110";"0.091";"0.069";"0.060";"0.053"
"2018 2nd semester";"Total price";"-0.046";"0.153";"0.180";"0.194";"0.162";"0.240";"0.147";"0.104";"0.094";"0.061";"0.063";"0.058"
"2018";"Total price";"-0.032";"0.155";"0.180";"0.192";"0.180";"0.213";"0.169";"0.107";"0.093";"0.065";"0.062";"0.056"
"2019 1st semester";"Total price";"0.098";"0.201";"0.207";"0.214";"0.221";"0.251";"0.184";"0.121";"0.105";"0.077";"0.071";"0.061"
"2019 2nd semester";"Total price";"0.113";"0.201";"0.206";"0.213";"0.191";"0.232";"0.148";"0.116";"0.104";"0.064";"0.063";"0.059"
"2019";"Total price";"0.105";"0.201";"0.206";"0.213";"0.206";"0.241";"0.166";"0.118";"0.105";"0.070";"0.067";"0.060"
"2020 1st semester";"Total price";"-0.207";"0.079";"0.144";"0.188";"0.218";"0.269";"0.196";"0.136";"0.120";"0.082";"0.073";"0.064"
"2020 2nd semester";"Total price";"-0.248";"0.066";"0.136";"0.182";"0.187";"0.269";"0.158";"0.132";"0.120";"0.067";"0.069";"0.062"
"2020";"Total price";"-0.226";"0.073";"0.140";"0.185";"0.203";"0.269";"0.172";"0.133";"0.120";"0.076";"0.072";"0.063"
"2021 1st semester";"Total price";"-0.246";"0.060";"0.129";"0.178";"0.212";"0.274";"0.203";"0.143";"0.128";"0.089";"0.072";"0.067"
"2021 2nd semester";"Total price";"-0.244";"0.074";"0.144";"0.193";"0.204";"0.282";"0.180";"0.157";"0.154";"0.095";"0.083";"0.112"
"2021";"Total price";"-0.245";"0.066";"0.137";"0.185";"0.208";"0.278";"0.191";"0.150";"0.142";"0.092";"0.077";"0.090"
"2022 1st semester";"Total price";"-0.665";"-0.103";"0.048";"0.148";"0.231";"0.246";"0.256";"0.215";"0.210";"0.176";"0.162";"0.169"
"2022 2nd semester";"Total price";"-0.453";"0.026";"0.165";"0.257";"0.351";"0.343";"0.248";"0.203";"0.228";"0.168";"0.161";"0.179"
"2022";"Total price";"-0.552";"-0.038";"0.106";"0.201";"0.289";"0.299";"0.252";"0.208";"0.219";"0.172";"0.162";"0.174"
"2023 1st semester";"Total price";"0.014";"0.263";"0.371";"0.476";"0.576";"0.587";"0.374";"0.296";"0.300";"0.250";"0.269";"0.246"
"2023 2nd semester";"Total price";"0.007";"0.201";"0.263";"0.307";"0.325";"0.442";"0.310";"0.263";"0.274";"0.202";"0.272";"0.221"
"2023";"Total price";"0.011";"0.231";"0.316";"0.389";"0.450";"0.515";"0.343";"0.279";"0.287";"0.224";"0.270";"0.232"
"2024 1st semester";"Total price";"-0.046";"0.191";"0.252";"0.292";"0.335";"0.456";"0.339";"0.253";"0.232";"0.181";"0.209";"0.139"
"2024 2nd semester*";"Total price";"-0.117";"0.154";"0.214";"0.247";"0.281";"0.443";"0.310";"0.255";"0.233";"0.157";"0.180";"0.127"
"2024*";"Total price";"-0.085";"0.172";"0.233";"0.270";"0.311";"0.450";"0.325";"0.254";"0.233";"0.169";"0.194";"0.132"
"2025 1st semester*";"Total price";"0.059";"0.199";"0.234";"0.252";"0.288";"0.443";"0.321";"0.248";"0.219";"0.162";"0.158";"0.110"
"Source: CBS"
