"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)"
"Current prices";"1995 1st quarter";"   79959"
"Current prices";"1995 2nd quarter";"   81711"
"Current prices";"1995 3rd quarter";"   81551"
"Current prices";"1995 4th quarter";"   86326"
"Current prices";"1995";"  329547"
"Current prices";"1996 1st quarter";"   82878"
"Current prices";"1996 2nd quarter";"   86168"
"Current prices";"1996 3rd quarter";"   85184"
"Current prices";"1996 4th quarter";"   90395"
"Current prices";"1996";"  344625"
"Current prices";"1997 1st quarter";"   87870"
"Current prices";"1997 2nd quarter";"   92123"
"Current prices";"1997 3rd quarter";"   91152"
"Current prices";"1997 4th quarter";"   97901"
"Current prices";"1997";"  369046"
"Current prices";"1998 1st quarter";"   95497"
"Current prices";"1998 2nd quarter";"   98541"
"Current prices";"1998 3rd quarter";"   97016"
"Current prices";"1998 4th quarter";"  103241"
"Current prices";"1998";"  394295"
"Current prices";"1999 1st quarter";"  101009"
"Current prices";"1999 2nd quarter";"  104536"
"Current prices";"1999 3rd quarter";"  102986"
"Current prices";"1999 4th quarter";"  110928"
"Current prices";"1999";"  419459"
"Current prices";"2000 1st quarter";"  109154"
"Current prices";"2000 2nd quarter";"  113124"
"Current prices";"2000 3rd quarter";"  110955"
"Current prices";"2000 4th quarter";"  118774"
"Current prices";"2000";"  452007"
"Current prices";"2001 1st quarter";"  118182"
"Current prices";"2001 2nd quarter";"  121417"
"Current prices";"2001 3rd quarter";"  117448"
"Current prices";"2001 4th quarter";"  124834"
"Current prices";"2001";"  481881"
"Current prices";"2002 1st quarter";"  122569"
"Current prices";"2002 2nd quarter";"  126495"
"Current prices";"2002 3rd quarter";"  122746"
"Current prices";"2002 4th quarter";"  129327"
"Current prices";"2002";"  501137"
"Current prices";"2003 1st quarter";"  126435"
"Current prices";"2003 2nd quarter";"  129110"
"Current prices";"2003 3rd quarter";"  124858"
"Current prices";"2003 4th quarter";"  132407"
"Current prices";"2003";"  512810"
"Current prices";"2004 1st quarter";"  129524"
"Current prices";"2004 2nd quarter";"  133599"
"Current prices";"2004 3rd quarter";"  129034"
"Current prices";"2004 4th quarter";"  137129"
"Current prices";"2004";"  529286"
"Current prices";"2005 1st quarter";"  133745"
"Current prices";"2005 2nd quarter";"  139040"
"Current prices";"2005 3rd quarter";"  134684"
"Current prices";"2005 4th quarter";"  143414"
"Current prices";"2005";"  550883"
"Current prices";"2006 1st quarter";"  142446"
"Current prices";"2006 2nd quarter";"  147405"
"Current prices";"2006 3rd quarter";"  142476"
"Current prices";"2006 4th quarter";"  152219"
