"Housing characteristics";"Periods";"Regions";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)"
"Total dwellings";"2010";"The Netherlands";"    1850";"    3300"
"Total dwellings";"2011";"The Netherlands";"    1450";"    3250"
"Total dwellings";"2012";"The Netherlands";"    1500";"    3200"
"Total dwellings";"2013";"The Netherlands";"    1600";"    3150"
"Total dwellings";"2014";"The Netherlands";"    1200";"    3050"
"Total dwellings";"2015";"The Netherlands";"    1250";"    2980"
"Total dwellings";"2016";"The Netherlands";"    1300";"    2910"
"Total dwellings";"2017";"The Netherlands";"    1240";"    2860"
"Total dwellings";"2018";"The Netherlands";"    1270";"    2790"
"Total dwellings";"2019";"The Netherlands";"    1180";"    2730"
"Total dwellings";"2020";"The Netherlands";"    1120";"    2760"
"Total dwellings";"2021";"The Netherlands";"    1250";"    2810"
"Total dwellings";"2022*";"The Netherlands";"     980";"    2640"
"Total dwellings";"2010";"Groningen (PV)";"    2150";"    3100"
"Total dwellings";"2011";"Groningen (PV)";"    1700";"    3100"
"Total dwellings";"2012";"Groningen (PV)";"    1850";"    3050"
"Total dwellings";"2013";"Groningen (PV)";"    1900";"    3000"
"Total dwellings";"2014";"Groningen (PV)";"    1400";"    2850"
"Total dwellings";"2015";"Groningen (PV)";"    1500";"    2760"
"Total dwellings";"2016";"Groningen (PV)";"    1570";"    2690"
"Total dwellings";"2017";"Groningen (PV)";"    1480";"    2640"
"Total dwellings";"2018";"Groningen (PV)";"    1510";"    2580"
"Total dwellings";"2019";"Groningen (PV)";"    1350";"    2450"
"Total dwellings";"2020";"Groningen (PV)";"    1320";"    2530"
"Total dwellings";"2021";"Groningen (PV)";"    1460";"    2570"
"Total dwellings";"2022*";"Groningen (PV)";"    1140";"    2440"
"Total dwellings";"2010";"Fryslân (PV)";"    2150";"    3050"
"Total dwellings";"2011";"Fryslân (PV)";"    1650";"    3050"
"Total dwellings";"2012";"Fryslân (PV)";"    1750";"    3000"
"Total dwellings";"2013";"Fryslân (PV)";"    1850";"    2900"
"Total dwellings";"2014";"Fryslân (PV)";"    1350";"    2800"
"Total dwellings";"2015";"Fryslân (PV)";"    1450";"    2730"
"Total dwellings";"2016";"Fryslân (PV)";"    1520";"    2640"
"Total dwellings";"2017";"Fryslân (PV)";"    1430";"    2570"
"Total dwellings";"2018";"Fryslân (PV)";"    1470";"    2490"
"Total dwellings";"2019";"Fryslân (PV)";"    1350";"    2540"
"Total dwellings";"2020";"Fryslân (PV)";"    1310";"    2630"
"Total dwellings";"2021";"Fryslân (PV)";"    1460";"    2680"
"Total dwellings";"2022*";"Fryslân (PV)";"    1140";"    2520"
"Total dwellings";"2010";"Drenthe (PV)";"    2350";"    3500"
"Total dwellings";"2011";"Drenthe (PV)";"    1850";"    3450"
"Total dwellings";"2012";"Drenthe (PV)";"    1950";"    3400"
"Total dwellings";"2013";"Drenthe (PV)";"    2050";"    3350"
"Total dwellings";"2014";"Drenthe (PV)";"    1500";"    3200"
"Total dwellings";"2015";"Drenthe (PV)";"    1600";"    3110"
"Total dwellings";"2016";"Drenthe (PV)";"    1680";"    3050"
"Total dwellings";"2017";"Drenthe (PV)";"    1590";"    2980"
"Total dwellings";"2018";"Drenthe (PV)";"    1610";"    2910"
"Total dwellings";"2019";"Drenthe (PV)";"    1480";"    2810"
"Total dwellings";"2020";"Drenthe (PV)";"    1400";"    2840"
"Total dwellings";"2021";"Drenthe (PV)";"    1560";"    2890"
"Total dwellings";"2022*";"Drenthe (PV)";"    1230";"    2750"
"Total dwellings";"2010";"Overijssel (PV)";"    2100";"    3450"
"Total dwellings";"2011";"Overijssel (PV)";"    1650";"    3450"
"Total dwellings";"2012";"Overijssel (PV)";"    1750";"    3400"
"Total dwellings";"2013";"Overijssel (PV)";"    1850";"    3350"
"Total dwellings";"2014";"Overijssel (PV)";"    1300";"    3250"
"Total dwellings";"2015";"Overijssel (PV)";"    1390";"    3130"
"Total dwellings";"2016";"Overijssel (PV)";"    1430";"    3070"
"Total dwellings";"2017";"Overijssel (PV)";"    1390";"    3010"
"Total dwellings";"2018";"Overijssel (PV)";"    1410";"    2940"
"Total dwellings";"2019";"Overijssel (PV)";"    1280";"    2850"
"Total dwellings";"2020";"Overijssel (PV)";"    1220";"    2870"
"Total dwellings";"2021";"Overijssel (PV)";"    1400";"    2930"
"Total dwellings";"2022*";"Overijssel (PV)";"    1100";"    2770"
"Total dwellings";"2010";"Flevoland (PV)";"    1150";"    3650"
"Total dwellings";"2011";"Flevoland (PV)";"     950";"    3600"
"Total dwellings";"2012";"Flevoland (PV)";"     950";"    3500"
"Total dwellings";"2013";"Flevoland (PV)";"    1000";"    3450"
"Total dwellings";"2014";"Flevoland (PV)";"     750";"    3350"
"Total dwellings";"2015";"Flevoland (PV)";"     760";"    3270"
"Total dwellings";"2016";"Flevoland (PV)";"     850";"    3140"
"Total dwellings";"2017";"Flevoland (PV)";"     810";"    3050"
"Total dwellings";"2018";"Flevoland (PV)";"     830";"    2930"
"Total dwellings";"2019";"Flevoland (PV)";"     770";"    2950"
"Total dwellings";"2020";"Flevoland (PV)";"     760";"    3010"
"Total dwellings";"2021";"Flevoland (PV)";"     850";"    3040"
"Total dwellings";"2022*";"Flevoland (PV)";"     670";"    2880"
"Total dwellings";"2010";"Gelderland (PV)";"    2000";"    3450"
"Total dwellings";"2011";"Gelderland (PV)";"    1600";"    3450"
"Total dwellings";"2012";"Gelderland (PV)";"    1650";"    3400"
"Total dwellings";"2013";"Gelderland (PV)";"    1750";"    3300"
"Total dwellings";"2014";"Gelderland (PV)";"    1300";"    3200"
"Total dwellings";"2015";"Gelderland (PV)";"    1390";"    3130"
"Total dwellings";"2016";"Gelderland (PV)";"    1440";"    3030"
"Total dwellings";"2017";"Gelderland (PV)";"    1390";"    2950"
"Total dwellings";"2018";"Gelderland (PV)";"    1400";"    2850"
"Total dwellings";"2019";"Gelderland (PV)";"    1290";"    2850"
"Total dwellings";"2020";"Gelderland (PV)";"    1220";"    2910"
"Total dwellings";"2021";"Gelderland (PV)";"    1370";"    2950"
"Total dwellings";"2022*";"Gelderland (PV)";"    1080";"    2790"
"Total dwellings";"2010";"Utrecht (PV)";"    1750";"    3350"
"Total dwellings";"2011";"Utrecht (PV)";"    1350";"    3350"
"Total dwellings";"2012";"Utrecht (PV)";"    1350";"    3250"
"Total dwellings";"2013";"Utrecht (PV)";"    1450";"    3200"
"Total dwellings";"2014";"Utrecht (PV)";"    1050";"    3100"
"Total dwellings";"2015";"Utrecht (PV)";"    1150";"    3020"
"Total dwellings";"2016";"Utrecht (PV)";"    1200";"    2980"
"Total dwellings";"2017";"Utrecht (PV)";"    1140";"    2930"
"Total dwellings";"2018";"Utrecht (PV)";"    1160";"    2850"
"Total dwellings";"2019";"Utrecht (PV)";"    1070";"    2750"
"Total dwellings";"2020";"Utrecht (PV)";"    1020";"    2760"
"Total dwellings";"2021";"Utrecht (PV)";"    1150";"    2830"
"Total dwellings";"2022*";"Utrecht (PV)";"     890";"    2650"
"Total dwellings";"2010";"Noord-Holland (PV)";"    1650";"    3000"
"Total dwellings";"2011";"Noord-Holland (PV)";"    1300";"    3000"
"Total dwellings";"2012";"Noord-Holland (PV)";"    1350";"    2950"
"Total dwellings";"2013";"Noord-Holland (PV)";"    1450";"    2900"
"Total dwellings";"2014";"Noord-Holland (PV)";"    1100";"    2800"
"Total dwellings";"2015";"Noord-Holland (PV)";"    1140";"    2740"
"Total dwellings";"2016";"Noord-Holland (PV)";"    1190";"    2680"
"Total dwellings";"2017";"Noord-Holland (PV)";"    1130";"    2620"
"Total dwellings";"2018";"Noord-Holland (PV)";"    1160";"    2550"
"Total dwellings";"2019";"Noord-Holland (PV)";"    1070";"    2520"
"Total dwellings";"2020";"Noord-Holland (PV)";"    1020";"    2550"
"Total dwellings";"2021";"Noord-Holland (PV)";"    1150";"    2600"
"Total dwellings";"2022*";"Noord-Holland (PV)";"     900";"    2430"
"Total dwellings";"2010";"Zuid-Holland (PV)";"    1600";"    3100"
"Total dwellings";"2011";"Zuid-Holland (PV)";"    1250";"    3050"
"Total dwellings";"2012";"Zuid-Holland (PV)";"    1300";"    3000"
"Total dwellings";"2013";"Zuid-Holland (PV)";"    1400";"    2950"
"Total dwellings";"2014";"Zuid-Holland (PV)";"    1050";"    2850"
"Total dwellings";"2015";"Zuid-Holland (PV)";"    1090";"    2810"
"Total dwellings";"2016";"Zuid-Holland (PV)";"    1120";"    2770"
"Total dwellings";"2017";"Zuid-Holland (PV)";"    1080";"    2730"
"Total dwellings";"2018";"Zuid-Holland (PV)";"    1100";"    2670"
"Total dwellings";"2019";"Zuid-Holland (PV)";"    1020";"    2590"
"Total dwellings";"2020";"Zuid-Holland (PV)";"     980";"    2620"
"Total dwellings";"2021";"Zuid-Holland (PV)";"    1100";"    2680"
"Total dwellings";"2022*";"Zuid-Holland (PV)";"     850";"    2520"
"Total dwellings";"2010";"Zeeland (PV)";"    1850";"    3100"
"Total dwellings";"2011";"Zeeland (PV)";"    1450";"    3100"
"Total dwellings";"2012";"Zeeland (PV)";"    1550";"    3000"
"Total dwellings";"2013";"Zeeland (PV)";"    1650";"    3000"
"Total dwellings";"2014";"Zeeland (PV)";"    1250";"    2850"
"Total dwellings";"2015";"Zeeland (PV)";"    1330";"    2800"
"Total dwellings";"2016";"Zeeland (PV)";"    1360";"    2740"
"Total dwellings";"2017";"Zeeland (PV)";"    1280";"    2670"
"Total dwellings";"2018";"Zeeland (PV)";"    1310";"    2600"
"Total dwellings";"2019";"Zeeland (PV)";"    1220";"    2520"
"Total dwellings";"2020";"Zeeland (PV)";"    1170";"    2540"
"Total dwellings";"2021";"Zeeland (PV)";"    1330";"    2710"
"Total dwellings";"2022*";"Zeeland (PV)";"    1050";"    2570"
"Total dwellings";"2010";"Noord-Brabant (PV)";"    1950";"    3600"
"Total dwellings";"2011";"Noord-Brabant (PV)";"    1500";"    3550"
"Total dwellings";"2012";"Noord-Brabant (PV)";"    1600";"    3550"
"Total dwellings";"2013";"Noord-Brabant (PV)";"    1700";"    3450"
"Total dwellings";"2014";"Noord-Brabant (PV)";"    1250";"    3350"
